  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-241                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.22500000E+02    -0.11333067E+01     0.14578333E+00     0.13000000E+02     0.39863124E-01     0.74029136E+00     0.11543189E-01     0.14287938E+00      91     0.66662058E-01
-0.21500002E+02    -0.11122735E+01     0.13411509E+00     0.13000000E+02     0.29759057E-01     0.70914418E+00     0.11997858E-01     0.13103256E+00      92     0.60598541E-01
-0.20500000E+02    -0.10907427E+01     0.12254978E+00     0.13000000E+02     0.20581089E-01     0.66807854E+00     0.12694495E-01     0.11926937E+00      92     0.60598541E-01
-0.19500000E+02    -0.10700499E+01     0.11107663E+00     0.13000000E+02     0.12257496E-01     0.63067663E+00     0.13450511E-01     0.10761156E+00      93     0.54798860E-01
-0.18500002E+02    -0.10407101E+01     0.99798381E-01     0.13000000E+02     0.33263052E-02     0.50000001E-01     0.14588635E-01     0.95291547E-01      94     0.49270716E-01
-0.17500000E+02    -0.10177169E+01     0.89123949E-01     0.13000000E+02    -0.29332549E-02     0.50000001E-01     0.15579013E-01     0.84498294E-01      94     0.49270716E-01
-0.17000002E+02    -0.98927593E+00     0.85726105E-01     0.13000000E+02    -0.68102581E-02     0.50000001E-01     0.16087675E-01     0.81078768E-01      95     0.44024732E-01
-0.16500000E+02    -0.97976553E+00     0.80284648E-01     0.13000000E+02    -0.91260448E-02     0.50000001E-01     0.16514292E-01     0.75572066E-01      95     0.44024732E-01
-0.16000002E+02    -0.97057813E+00     0.74855998E-01     0.13000000E+02    -0.11402354E-01     0.50000001E-01     0.17510964E-01     0.70080578E-01      96     0.39074790E-01
-0.15500001E+02    -0.96193665E+00     0.69413424E-01     0.13000000E+02    -0.13680710E-01     0.50000001E-01     0.18157011E-01     0.64572901E-01      96     0.39074790E-01
-0.15000001E+02    -0.94857687E+00     0.64822301E-01     0.13000000E+02    -0.15512583E-01     0.50000001E-01     0.18700536E-01     0.59928164E-01      96     0.39074790E-01
-0.14500000E+02    -0.93485963E+00     0.60356811E-01     0.13000000E+02    -0.17186925E-01     0.50000001E-01     0.19797876E-01     0.55412896E-01      97     0.34436636E-01
-0.14000001E+02    -0.91899270E+00     0.56244075E-01     0.13000000E+02    -0.18695960E-01     0.50000001E-01     0.20624394E-01     0.51249601E-01      97     0.34436636E-01
-0.13500001E+02    -0.90293217E+00     0.52257951E-01     0.13000000E+02    -0.20027554E-01     0.50000001E-01     0.21321950E-01     0.47216233E-01      97     0.34436636E-01
-0.13000001E+02    -0.88653541E+00     0.48434276E-01     0.13000000E+02    -0.21240018E-01     0.50000001E-01     0.22154508E-01     0.43347020E-01      98     0.30126231E-01
-0.12500001E+02    -0.87009329E+00     0.44709660E-01     0.13000000E+02    -0.22373119E-01     0.50000001E-01     0.23755934E-01     0.39580178E-01      98     0.30126231E-01
-0.12000000E+02    -0.85123014E+00     0.41340131E-01     0.13000000E+02    -0.23318054E-01     0.50000001E-01     0.23971206E-01     0.36161274E-01      99     0.26156712E-01
-0.11500001E+02    -0.83532768E+00     0.37822880E-01     0.13000000E+02    -0.24205126E-01     0.50000001E-01     0.24812708E-01     0.32598391E-01      99     0.26156712E-01
-0.11000001E+02    -0.81887245E+00     0.34584507E-01     0.13000000E+02    -0.24866590E-01     0.50000001E-01     0.26960710E-01     0.29326580E-01      99     0.26156712E-01
-0.10000001E+02    -0.78412086E+00     0.28766621E-01     0.13000000E+02    -0.25738796E-01     0.50000001E-01     0.30315649E-01     0.23437086E-01     100     0.22535883E-01
-0.95000010E+01    -0.77150977E+00     0.25824489E-01     0.13000000E+02    -0.25919152E-01     0.50000001E-01     0.31658974E-01     0.20448662E-01     101     0.19263344E-01
-0.90000000E+01    -0.76300138E+00     0.22939650E-01     0.13000000E+02    -0.25738483E-01     0.50000001E-01     0.34953862E-01     0.17533958E-01     101     0.19263344E-01
-0.85000019E+01    -0.75238937E+00     0.20166490E-01     0.13000000E+02    -0.25611641E-01     0.50000001E-01     0.36029067E-01     0.14714386E-01     101     0.19263344E-01
-0.80000010E+01    -0.73476207E+00     0.17276147E-01     0.13000000E+02    -0.27709629E-01     0.50000001E-01     0.40515807E-01     0.11782192E-01     102     0.16330708E-01
-0.75000005E+01    -0.67627031E+00     0.15364548E-01     0.13000000E+02    -0.33968933E-01     0.50000001E-01     0.43445311E-01     0.98278802E-02     103     0.13722315E-01
