  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_21                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.5914   0.00810  12.00000  -0.0574  0.3985  0.0399   0.00309
  -7.000  -0.4722   0.00762  12.00000  -0.0583  0.3831  0.0505   0.00263
  -6.000  -0.3525   0.00717  12.00000  -0.0593  0.3690  0.0662   0.00222
  -5.000  -0.2322   0.00677  12.00000  -0.0603  0.3571  0.0896   0.00188
  -4.000  -0.1116   0.00639  12.00000  -0.0614  0.3447  0.1263   0.00160
  -3.000   0.0089   0.00592  12.00000  -0.0626  0.3336  0.1959   0.00133
  -2.000   0.1295   0.00540  12.00000  -0.0638  0.3240  0.2973   0.00109
  -1.000   0.2508   0.00519  12.00000  -0.0650  0.3131  0.3619   0.00101
   0.000   0.3726   0.00517  12.00000  -0.0662  0.3033  0.4002   0.00104
   1.000   0.4945   0.00519  12.00000  -0.0675  0.2949  0.4306   0.00111
   2.000   0.6159   0.00533  12.00000  -0.0687  0.2849  0.4484   0.00124
   3.000   0.7370   0.00550  12.00000  -0.0699  0.2761  0.4627   0.00139
   4.000   0.8577   0.00568  12.00000  -0.0711  0.2671  0.4755   0.00157
   5.000   0.9774   0.00593  12.00000  -0.0722  0.2576  0.4878   0.00180
   6.000   1.0964   0.00620  12.00000  -0.0733  0.2490  0.4998   0.00206
   7.000   1.2145   0.00650  12.00000  -0.0744  0.2387  0.5122   0.00236
   8.000   1.3304   0.00693  12.00000  -0.0752  0.2243  0.5255   0.00277
   9.000   1.4436   0.00753  12.00000  -0.0757  0.2043  0.5387   0.00329
  10.000   1.5533   0.00830  12.00000  -0.0758  0.1828  0.5522   0.00398
  11.000   1.6582   0.00931  12.00000  -0.0754  0.1569  0.5643   0.00487
  12.000   1.7523   0.01087  12.00000  -0.0735  0.1223  0.5791   0.00625
  13.000   1.8265   0.01318  12.00000  -0.0691  0.0843  0.5945   0.00835
  14.000   1.8709   0.01564  12.00000  -0.0606  0.0667  0.6090   0.01078
  15.000   1.8688   0.02181  12.00000  -0.0532  0.0568  0.6252   0.01711
  16.000   1.6952   0.04837  12.00000  -0.0559  0.0572  0.6331   0.04433
