  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_18                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.4190   0.00902  10.00000  -0.0825  0.0500  0.0170   0.00316
  -7.000  -0.3012   0.00870  10.00000  -0.0824  0.0500  0.0201   0.00279
  -6.000  -0.1829   0.00848  10.00000  -0.0823  0.0500  0.0231   0.00252
  -5.000  -0.0644   0.00831  10.00000  -0.0823  0.0500  0.0280   0.00232
  -4.000   0.0543   0.00821  10.00000  -0.0825  0.0500  0.0344   0.00220
  -3.000   0.1729   0.00818  10.00000  -0.0827  0.0500  0.0425   0.00215
  -2.000   0.2916   0.00824  10.00000  -0.0829  0.0500  0.0500   0.00219
  -1.000   0.4100   0.00840  10.00000  -0.0832  0.0500  0.0500   0.00231
   0.000   0.5280   0.00861  10.00000  -0.0836  0.0500  0.0500   0.00248
   1.000   0.6454   0.00886  10.00000  -0.0840  0.0500  0.0500   0.00271
   2.000   0.7622   0.00917  10.00000  -0.0844  0.0500  0.0500   0.00299
   3.000   0.8780   0.00952  10.00000  -0.0848  0.0500  0.0500   0.00334
   4.000   0.9928   0.00994  10.00000  -0.0853  0.0500  0.0500   0.00375
   5.000   1.1062   0.01041  10.00000  -0.0856  0.0500  0.0500   0.00423
   6.000   1.2180   0.01095  10.00000  -0.0859  0.0500  0.0500   0.00478
   7.000   1.3278   0.01157  10.00000  -0.0860  0.0500  0.0500   0.00541
   8.000   1.4349   0.01228  10.00000  -0.0859  0.0500  0.0500   0.00615
   9.000   1.5382   0.01310  10.00000  -0.0854  0.0500  0.0500   0.00701
  10.000   1.6358   0.01408  10.00000  -0.0843  0.0500  0.0500   0.00803
  11.000   1.7160   0.01533  10.00000  -0.0808  0.0500  0.0500   0.00936
  12.000   1.7566   0.01876  10.00000  -0.0754  0.0500  0.0500   0.01295
  14.000   1.4749   0.06424  10.00000  -0.0754  0.0500  0.0500   0.05942
  15.000   1.3971   0.08588  10.00000  -0.0803  0.0450  0.0500   0.08134
  16.000   1.3724   0.10250  10.00000  -0.0850  0.0408  0.0500   0.09815
  17.000   1.3478   0.12012  10.00000  -0.0912  0.0339  0.0500   0.11593
  18.000   1.3379   0.13649  10.00000  -0.0982  0.0304  0.0500   0.13246
  20.000   1.3364   0.16684  10.00000  -0.1145  0.0210  0.0500   0.16306
