  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T21                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.22000000E+02    -0.10351434E+01     0.88139534E-01     0.12000000E+02    -0.70088871E-01     0.75638360E+00     0.91078896E-02     0.85513026E-01      96     0.83475739E-01
-0.21000000E+02    -0.10590606E+01     0.69196448E-01     0.12000000E+02    -0.85383832E-01     0.70710570E+00     0.93351388E-02     0.66177920E-01      97     0.75851202E-01
-0.20500000E+02    -0.10584273E+01     0.62806711E-01     0.12000000E+02    -0.90092592E-01     0.68984735E+00     0.94905971E-02     0.59654877E-01      97     0.75851202E-01
-0.20000002E+02    -0.10505630E+01     0.57767648E-01     0.12000000E+02    -0.93634374E-01     0.67169136E+00     0.96109379E-02     0.54493625E-01      97     0.75851202E-01
-0.19500000E+02    -0.10415457E+01     0.53089820E-01     0.12000000E+02    -0.96826248E-01     0.65926939E+00     0.97038336E-02     0.49714535E-01      97     0.75851202E-01
-0.19000002E+02    -0.10266551E+01     0.49300250E-01     0.12000000E+02    -0.99281333E-01     0.64787400E+00     0.97534126E-02     0.45836732E-01      98     0.68454914E-01
-0.18500002E+02    -0.10157285E+01     0.45352068E-01     0.12000000E+02    -0.10164198E+00     0.63591599E+00     0.10137754E-01     0.41795433E-01      98     0.68454914E-01
-0.18000000E+02    -0.10017828E+01     0.41817669E-01     0.12000000E+02    -0.10367005E+00     0.62668157E+00     0.10426160E-01     0.38184486E-01      98     0.68454914E-01
-0.17500000E+02    -0.98590481E+00     0.38626023E-01     0.12000000E+02    -0.10541706E+00     0.61643535E+00     0.10736531E-01     0.34920555E-01      99     0.61320473E-01
-0.17000002E+02    -0.96695369E+00     0.35812065E-01     0.12000000E+02    -0.10687335E+00     0.60821998E+00     0.11000364E-01     0.32045238E-01      99     0.61320473E-01
-0.16500000E+02    -0.94536567E+00     0.33299662E-01     0.12000000E+02    -0.10810922E+00     0.60097903E+00     0.11256965E-01     0.29480303E-01      99     0.61320473E-01
-0.16000002E+02    -0.92168862E+00     0.31031864E-01     0.12000000E+02    -0.10917718E+00     0.59249598E+00     0.11534126E-01     0.27158462E-01     100     0.54487012E-01
-0.15500001E+02    -0.89558345E+00     0.28995117E-01     0.12000000E+02    -0.11013430E+00     0.58550918E+00     0.11744964E-01     0.25072072E-01     100     0.54487012E-01
-0.15000001E+02    -0.87030828E+00     0.26983775E-01     0.12000000E+02    -0.11100751E+00     0.57920188E+00     0.12191538E-01     0.23012420E-01     100     0.54487012E-01
-0.14500000E+02    -0.84521109E+00     0.25052931E-01     0.12000000E+02    -0.11179677E+00     0.57195169E+00     0.12672608E-01     0.21040013E-01     101     0.47999002E-01
-0.14000001E+02    -0.81934565E+00     0.23242742E-01     0.12000000E+02    -0.11253910E+00     0.56573683E+00     0.13071654E-01     0.19192124E-01     101     0.47999002E-01
-0.13500001E+02    -0.79229772E+00     0.21547670E-01     0.12000000E+02    -0.11328891E+00     0.56045091E+00     0.13499857E-01     0.17465666E-01     102     0.41903831E-01
-0.13000001E+02    -0.76322120E+00     0.19966710E-01     0.12000000E+02    -0.11414942E+00     0.55377388E+00     0.13853255E-01     0.15846185E-01     102     0.41903831E-01
-0.12500001E+02    -0.73092055E+00     0.18463265E-01     0.12000000E+02    -0.11523161E+00     0.54858398E+00     0.14243809E-01     0.14305115E-01     102     0.41903831E-01
-0.12000000E+02    -0.69808722E+00     0.16901283E-01     0.12000000E+02    -0.11691286E+00     0.54242170E+00     0.14968429E-01     0.12709407E-01     103     0.36247686E-01
-0.11500001E+02    -0.64478219E+00     0.15463104E-01     0.12000000E+02    -0.12156336E+00     0.53704011E+00     0.15868887E-01     0.11245446E-01     103     0.36247686E-01
-0.11000001E+02    -0.58342844E+00     0.14246141E-01     0.12000000E+02    -0.12674847E+00     0.53189522E+00     0.16566094E-01     0.10001725E-01     104     0.31069152E-01
-0.10500001E+02    -0.51693046E+00     0.13091918E-01     0.12000000E+02    -0.13263009E+00     0.52560753E+00     0.17618395E-01     0.88101048E-02     104     0.31069152E-01
-0.10000001E+02    -0.44578862E+00     0.11983232E-01     0.12000000E+02    -0.13909900E+00     0.52093649E+00     0.18796146E-01     0.76848022E-02     105     0.26392410E-01
-0.95000010E+01    -0.37294260E+00     0.11051034E-01     0.12000000E+02    -0.14533053E+00     0.51483738E+00     0.20070164E-01     0.67135021E-02     106     0.22223158E-01
-0.90000000E+01    -0.29638863E+00     0.10076310E-01     0.12000000E+02    -0.15228303E+00     0.51054776E+00     0.21744832E-01     0.57204580E-02     106     0.22223158E-01
-0.85000019E+01    -0.22092235E+00     0.92976755E-02     0.12000000E+02    -0.15843299E+00     0.50557458E+00     0.23311608E-01     0.49014925E-02     107     0.18548056E-01
-0.80000010E+01    -0.14394854E+00     0.85065058E-02     0.12000000E+02    -0.16480130E+00     0.50068152E+00     0.25687406E-01     0.40837075E-02     108     0.15338226E-01
-0.75000005E+01    -0.69651507E-01     0.78930110E-02     0.12000000E+02    -0.17012888E+00     0.49608272E+00     0.27866891E-01     0.34217057E-02     108     0.15338226E-01
-0.70000014E+01    -0.89417945E-03     0.75207590E-02     0.12000000E+02    -0.17358226E+00     0.49143261E+00     0.30457772E-01     0.30413470E-02     109     0.12555218E-01
-0.65000010E+01     0.65634400E-01     0.72562979E-02     0.12000000E+02    -0.17630862E+00     0.48739135E+00     0.33426560E-01     0.27685780E-02     110     0.10156807E-01
-0.60000000E+01     0.13116941E+00     0.70410552E-02     0.12000000E+02    -0.17870161E+00     0.48328269E+00     0.36813375E-01     0.25506555E-02     111     0.81014242E-02
-0.55000014E+01     0.19625026E+00     0.68510100E-02     0.12000000E+02    -0.18095373E+00     0.47903785E+00     0.40347781E-01     0.23632692E-02     112     0.63508647E-02
-0.50000010E+01     0.26086381E+00     0.66897389E-02     0.12000000E+02    -0.18306978E+00     0.47474366E+00     0.45137461E-01     0.22047926E-02     112     0.63508647E-02
-0.45000000E+01     0.32512465E+00     0.65425360E-02     0.12000000E+02    -0.18506081E+00     0.47092292E+00     0.50441269E-01     0.20690616E-02     113     0.48715551E-02
-0.40000014E+01     0.38882974E+00     0.64341296E-02     0.12000000E+02    -0.18691190E+00     0.46719062E+00     0.56080628E-01     0.19630874E-02     114     0.36345050E-02
-0.35000007E+01     0.45247033E+00     0.63240607E-02     0.12000000E+02    -0.18873927E+00     0.46354339E+00     0.63339859E-01     0.18695584E-02     115     0.26149573E-02
-0.30000000E+01     0.51583862E+00     0.62309341E-02     0.12000000E+02    -0.19050606E+00     0.45967856E+00     0.72088793E-01     0.17942339E-02     116     0.17916226E-02
-0.25000012E+01     0.57894814E+00     0.61553749E-02     0.12000000E+02    -0.19222121E+00     0.45580029E+00     0.83026737E-01     0.17373310E-02     117     0.11454731E-02
-0.20000007E+01     0.64194465E+00     0.60782256E-02     0.12000000E+02    -0.19389893E+00     0.45212317E+00     0.95658436E-01     0.16901679E-02     118     0.65983500E-03
-0.15000000E+01     0.70504791E+00     0.59937630E-02     0.12000000E+02    -0.19564378E+00     0.44885528E+00     0.12041029E+00     0.16535744E-02     119     0.32014173E-03
-0.10000012E+01     0.76900011E+00     0.58484618E-02     0.12000000E+02    -0.19766049E+00     0.44505036E+00     0.17269400E+00     0.16096416E-02     120     0.10680849E-03
-0.50000060E+00     0.84135389E+00     0.50551561E-02     0.12000000E+02    -0.20221233E+00     0.44156876E+00     0.41569358E+00     0.13522734E-02     121     0.68437912E-05
 0.00000000E+00     0.90269113E+00     0.50837826E-02     0.12000000E+02    -0.20350316E+00     0.43827146E+00     0.43079838E+00     0.13941682E-02     122     0.29858100E-04
 0.49999887E+00     0.96372753E+00     0.51271417E-02     0.12000000E+02    -0.20472598E+00     0.43438247E+00     0.44264942E+00     0.14463633E-02     123     0.20689871E-03
 0.99999946E+00     0.10245459E+01     0.51779924E-02     0.12000000E+02    -0.20590638E+00     0.43143505E+00     0.45003080E+00     0.15026596E-02     124     0.56264474E-03
 0.14999983E+01     0.10847883E+01     0.52673817E-02     0.12000000E+02    -0.20698416E+00     0.42752865E+00     0.45563287E+00     0.15777079E-02     125     0.10895970E-02
 0.19999989E+01     0.11452489E+01     0.53254808E-02     0.12000000E+02    -0.20812781E+00     0.42442703E+00     0.46363369E+00     0.16499241E-02     126     0.17883774E-02
 0.24999995E+01     0.12052599E+01     0.54095369E-02     0.12000000E+02    -0.20918977E+00     0.42096764E+00     0.46651086E+00     0.17284229E-02     127     0.26592987E-02
 0.29999983E+01     0.12648674E+01     0.55143656E-02     0.12000000E+02    -0.21020319E+00     0.41686365E+00     0.46950644E+00     0.18251527E-02     128     0.37040592E-02
 0.34999990E+01     0.13246491E+01     0.55896328E-02     0.12000000E+02    -0.21125340E+00     0.41408587E+00     0.47218293E+00     0.19098725E-02     128     0.37040592E-02
 0.39999995E+01     0.13838216E+01     0.56988136E-02     0.12000000E+02    -0.21220782E+00     0.41052747E+00     0.47493505E+00     0.20135592E-02     129     0.49269553E-02
 0.44999986E+01     0.14427656E+01     0.58124415E-02     0.12000000E+02    -0.21315096E+00     0.40646046E+00     0.47844335E+00     0.21305170E-02     130     0.63347779E-02
 0.49999990E+01     0.14999149E+01     0.60439557E-02     0.12000000E+02    -0.21379192E+00     0.39215067E+00     0.48129860E+00     0.23107857E-02     131     0.79378914E-02
 0.54999995E+01     0.15554144E+01     0.63755983E-02     0.12000000E+02    -0.21415101E+00     0.37322816E+00     0.48417729E+00     0.25571638E-02     132     0.97505655E-02
 0.60000000E+01     0.16079316E+01     0.68944707E-02     0.12000000E+02    -0.21401244E+00     0.34414682E+00     0.48763058E+00     0.29343977E-02     133     0.11791578E-01
 0.65000010E+01     0.16507305E+01     0.80351736E-02     0.12000000E+02    -0.21218711E+00     0.28276539E+00     0.49059480E+00     0.37392648E-02     134     0.14084773E-01
 0.74999986E+01     0.17210716E+01     0.10838943E-01     0.12000000E+02    -0.20587295E+00     0.15721193E+00     0.49659058E+00     0.58565983E-02     135     0.16660098E-01
 0.79999990E+01     0.17498509E+01     0.12240475E-01     0.12000000E+02    -0.20159233E+00     0.10774826E+00     0.49970946E+00     0.70048482E-02     135     0.16660098E-01
 0.85000000E+01     0.17719728E+01     0.13282754E-01     0.12000000E+02    -0.19585076E+00     0.83263300E-01     0.50243598E+00     0.79338048E-02     136     0.19554034E-01
 0.90000000E+01     0.17909853E+01     0.14466364E-01     0.12000000E+02    -0.18986163E+00     0.66853642E-01     0.50478840E+00     0.90564806E-02     136     0.19554034E-01
