  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T30                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     18.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.22000000E+02    -0.88361627E+00     0.14569764E+00     0.18000000E+02    -0.95741004E-02     0.45120406E+00     0.39964557E-01     0.14213359E+00      89     0.52287284E-01
-0.21000000E+02    -0.84287691E+00     0.13834935E+00     0.18000000E+02    -0.16648518E-01     0.44362307E+00     0.42756073E-01     0.13473679E+00      89     0.52287284E-01
-0.20000002E+02    -0.79933375E+00     0.13087991E+00     0.18000000E+02    -0.23547675E-01     0.50000001E-01     0.46054456E-01     0.12665753E+00      90     0.46679072E-01
-0.19000002E+02    -0.75310189E+00     0.12382048E+00     0.18000000E+02    -0.29570909E-01     0.50000001E-01     0.47654331E-01     0.11952319E+00      91     0.41550286E-01
-0.18000000E+02    -0.70779926E+00     0.11674138E+00     0.18000000E+02    -0.35202257E-01     0.50000001E-01     0.50000001E-01     0.11238010E+00      92     0.36888096E-01
-0.16500000E+02    -0.63072366E+00     0.10686603E+00     0.18000000E+02    -0.42730719E-01     0.50000001E-01     0.50000001E-01     0.10238580E+00      94     0.28860003E-01
-0.16000002E+02    -0.58173752E+00     0.10670801E+00     0.18000000E+02    -0.47410570E-01     0.50000001E-01     0.50000001E-01     0.10224311E+00      95     0.25427796E-01
-0.15500001E+02    -0.55594748E+00     0.10348916E+00     0.18000000E+02    -0.49165953E-01     0.50000001E-01     0.50000001E-01     0.98986648E-01      95     0.25427796E-01
-0.15000001E+02    -0.53654665E+00     0.99068396E-01     0.18000000E+02    -0.51231507E-01     0.50000001E-01     0.50000001E-01     0.94514944E-01      96     0.22336682E-01
