  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-270                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21000000E+02    -0.10346624E+01     0.13869950E+00     0.16000000E+02     0.31198055E-01     0.60878772E+00     0.19821448E-01     0.13543484E+00      89     0.57481699E-01
-0.20000002E+02    -0.10103761E+01     0.12755980E+00     0.16000000E+02     0.22417109E-01     0.57164669E+00     0.21314284E-01     0.12412849E+00      90     0.52318491E-01
-0.19000002E+02    -0.97722590E+00     0.11657827E+00     0.16000000E+02     0.13266065E-01     0.50000001E-01     0.22183428E-01     0.11221736E+00      91     0.47386728E-01
-0.18000000E+02    -0.95168006E+00     0.10581398E+00     0.16000000E+02     0.61750389E-02     0.50000001E-01     0.23685258E-01     0.10134606E+00      92     0.42691726E-01
-0.17000002E+02    -0.92692679E+00     0.95229998E-01     0.16000000E+02    -0.15505234E-03     0.50000001E-01     0.26500590E-01     0.90663329E-01      93     0.38241334E-01
-0.16500000E+02    -0.88729233E+00     0.93516260E-01     0.16000000E+02    -0.41481527E-02     0.50000001E-01     0.27707919E-01     0.88959396E-01      93     0.38241334E-01
-0.15500001E+02    -0.88346696E+00     0.80389701E-01     0.16000000E+02    -0.79925861E-02     0.50000001E-01     0.29386548E-01     0.75669050E-01      94     0.34045596E-01
-0.15000001E+02    -0.85790557E+00     0.80757521E-01     0.16000000E+02    -0.11005799E-01     0.50000001E-01     0.30528739E-01     0.76015458E-01      94     0.34045596E-01
-0.14500000E+02    -0.84564036E+00     0.77077925E-01     0.16000000E+02    -0.12941677E-01     0.50000001E-01     0.32686889E-01     0.72289929E-01      95     0.30115513E-01
-0.14000001E+02    -0.83007431E+00     0.73719569E-01     0.16000000E+02    -0.14736149E-01     0.50000001E-01     0.33916552E-01     0.68882808E-01      95     0.30115513E-01
