  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-332                      
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.19000002E+02    -0.11388328E+01     0.10321788E+00     0.16000000E+02     0.88995108E-02     0.70981926E+00     0.14270633E+00     0.10060517E+00      82     0.47333021E-01
-0.18000000E+02    -0.11091584E+01     0.93747243E-01     0.16000000E+02     0.32617757E-02     0.65321761E+00     0.15082107E+00     0.90957209E-01      83     0.43529231E-01
-0.17000002E+02    -0.10714539E+01     0.84795803E-01     0.16000000E+02    -0.35697040E-02     0.61114031E+00     0.16025825E+00     0.81887998E-01      84     0.39890479E-01
-0.16000002E+02    -0.10597019E+01     0.73574014E-01     0.16000000E+02    -0.76204292E-02     0.57446671E+00     0.16988711E+00     0.70524156E-01      85     0.36419749E-01
-0.15500001E+02    -0.10488783E+01     0.68652228E-01     0.16000000E+02    -0.94309812E-02     0.55915159E+00     0.17455064E+00     0.65536015E-01      86     0.33120055E-01
-0.15000001E+02    -0.10397657E+01     0.63660547E-01     0.16000000E+02    -0.11144622E-01     0.53925240E+00     0.17906556E+00     0.60472280E-01      86     0.33120055E-01
-0.14500000E+02    -0.10275010E+01     0.59125911E-01     0.16000000E+02    -0.12710614E-01     0.52475816E+00     0.18369503E+00     0.55878107E-01      87     0.29994039E-01
-0.14000001E+02    -0.10133992E+01     0.54845862E-01     0.16000000E+02    -0.14178089E-01     0.51093835E+00     0.18777539E+00     0.51540453E-01      87     0.29994039E-01
-0.13500001E+02    -0.10024115E+01     0.50432321E-01     0.16000000E+02    -0.15496043E-01     0.49398413E+00     0.19292358E+00     0.47067203E-01      88     0.27043583E-01
-0.13000001E+02    -0.98316443E+00     0.46798695E-01     0.16000000E+02    -0.16739482E-01     0.48185658E+00     0.19602336E+00     0.43373633E-01      88     0.27043583E-01
-0.12500001E+02    -0.96955550E+00     0.42842835E-01     0.16000000E+02    -0.17812725E-01     0.46749038E+00     0.20061974E+00     0.39362933E-01      89     0.24269752E-01
-0.12000000E+02    -0.95183039E+00     0.39291672E-01     0.16000000E+02    -0.18792272E-01     0.45649296E+00     0.20467788E+00     0.35760406E-01      89     0.24269752E-01
-0.11500001E+02    -0.93622124E+00     0.35737775E-01     0.16000000E+02    -0.19589456E-01     0.44389728E+00     0.20839109E+00     0.32152504E-01      90     0.21672376E-01
-0.11000001E+02    -0.92941862E+00     0.31596433E-01     0.16000000E+02    -0.20174757E-01     0.43480137E+00     0.21247040E+00     0.27948989E-01      90     0.21672376E-01
-0.10500001E+02    -0.91831988E+00     0.28171392E-01     0.16000000E+02    -0.20429891E-01     0.42407909E+00     0.21774165E+00     0.24479836E-01      91     0.19250162E-01
-0.10000001E+02    -0.90124363E+00     0.25320666E-01     0.16000000E+02    -0.20576926E-01     0.41777149E+00     0.22009744E+00     0.21582464E-01      91     0.19250162E-01
-0.95000010E+01    -0.90887719E+00     0.21365052E-01     0.16000000E+02    -0.19451894E-01     0.40926719E+00     0.22491993E+00     0.17560486E-01      92     0.17000455E-01
-0.90000000E+01    -0.94934654E+00     0.16892277E-01     0.16000000E+02    -0.14444068E-01     0.40470636E+00     0.22834633E+00     0.13017498E-01      92     0.17000455E-01
-0.85000019E+01    -0.89726514E+00     0.14981750E-01     0.16000000E+02    -0.19603852E-01     0.39326844E+00     0.23242764E+00     0.11047683E-01      93     0.14919549E-01
-0.80000010E+01    -0.82596254E+00     0.13444901E-01     0.16000000E+02    -0.27271176E-01     0.38263553E+00     0.23717821E+00     0.94688833E-02      94     0.13002763E-01
-0.75000005E+01    -0.74628282E+00     0.12327292E-01     0.16000000E+02    -0.35259672E-01     0.37577409E+00     0.24262699E+00     0.83278213E-02      95     0.11244465E-01
-0.70000014E+01    -0.66195220E+00     0.11418696E-01     0.16000000E+02    -0.43628648E-01     0.36571726E+00     0.24841191E+00     0.73867077E-02      96     0.96386345E-02
-0.65000010E+01    -0.57701868E+00     0.10747755E-01     0.16000000E+02    -0.51511642E-01     0.35287234E+00     0.25299007E+00     0.66695302E-02      97     0.81787594E-02
-0.60000000E+01    -0.48865175E+00     0.10406912E-01     0.16000000E+02    -0.61120380E-01     0.34760982E+00     0.25937369E+00     0.62744436E-02      98     0.68583628E-02
-0.55000014E+01    -0.40151453E+00     0.99404883E-02     0.16000000E+02    -0.68831883E-01     0.33858180E+00     0.26456419E+00     0.57763522E-02     100     0.46106302E-02
-0.50000010E+01    -0.31556106E+00     0.95527833E-02     0.16000000E+02    -0.76032624E-01     0.33183298E+00     0.27095336E+00     0.53609996E-02     101     0.36713616E-02
-0.45000000E+01    -0.23109800E+00     0.92238262E-02     0.16000000E+02    -0.82710378E-01     0.32382715E+00     0.27608562E+00     0.49988646E-02     102     0.28480261E-02
-0.40000014E+01    -0.14718747E+00     0.89325579E-02     0.16000000E+02    -0.89162640E-01     0.31575823E+00     0.28303370E+00     0.46758945E-02     104     0.15308292E-02
-0.35000007E+01    -0.71301349E-01     0.88211345E-02     0.16000000E+02    -0.93430407E-01     0.30901012E+00     0.28972244E+00     0.45482763E-02     105     0.10295658E-02
-0.30000000E+01     0.34502107E-02     0.87297885E-02     0.16000000E+02    -0.97363755E-01     0.30295622E+00     0.29527426E+00     0.44465857E-02     106     0.62919408E-03
-0.25000012E+01     0.77709518E-01     0.86645652E-02     0.16000000E+02    -0.10116120E+00     0.29634744E+00     0.30262104E+00     0.43701110E-02     107     0.32736250E-03
