  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-360                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.17500000E+02    -0.66646463E+00     0.12279322E+00     0.13000000E+02    -0.82616345E-03     0.50000001E-01     0.50000001E-01     0.11797148E+00      86     0.28038993E-01
-0.16500000E+02    -0.62071353E+00     0.11425275E+00     0.13000000E+02    -0.76147979E-02     0.50000001E-01     0.50000001E-01     0.10932633E+00      87     0.25497263E-01
-0.15500001E+02    -0.58119184E+00     0.10466405E+00     0.13000000E+02    -0.14370287E-01     0.50000001E-01     0.50000001E-01     0.99618763E-01      89     0.20747129E-01
-0.15000001E+02    -0.51567245E+00     0.10681009E+00     0.13000000E+02    -0.20249069E-01     0.50000001E-01     0.50000001E-01     0.10181355E+00      89     0.20747129E-01
-0.14000001E+02    -0.51181847E+00     0.92007808E-01     0.13000000E+02    -0.22916801E-01     0.50000001E-01     0.50000001E-01     0.86808085E-01      90     0.18548559E-01
-0.13500001E+02    -0.46760508E+00     0.90665743E-01     0.13000000E+02    -0.27468992E-01     0.50000001E-01     0.50000001E-01     0.85469410E-01      91     0.16473502E-01
-0.13000001E+02    -0.44301584E+00     0.86703084E-01     0.13000000E+02    -0.29441621E-01     0.50000001E-01     0.50000001E-01     0.81458896E-01      92     0.14525522E-01
-0.12500001E+02    -0.42302129E+00     0.82103960E-01     0.13000000E+02    -0.31565987E-01     0.50000001E-01     0.50000001E-01     0.76801993E-01      92     0.14525522E-01
-0.12000000E+02    -0.40291116E+00     0.77588424E-01     0.13000000E+02    -0.33634007E-01     0.50000001E-01     0.50000001E-01     0.72228752E-01      93     0.12706937E-01
