  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W1-152                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000002E+02    -0.15513158E+01     0.46648707E-01     0.12000000E+02    -0.49478307E-01     0.64248949E+00     0.35629366E-02     0.43507051E-01     100     0.88207811E-01
-0.19500000E+02    -0.16000389E+01     0.35752736E-01     0.12000000E+02    -0.56020327E-01     0.63812608E+00     0.35373485E-02     0.32350704E-01     100     0.88207811E-01
-0.19000002E+02    -0.16179746E+01     0.29459810E-01     0.12000000E+02    -0.56396749E-01     0.62883008E+00     0.37332722E-02     0.25874240E-01     100     0.88207811E-01
-0.18000000E+02    -0.16032491E+01     0.23081830E-01     0.12000000E+02    -0.51608283E-01     0.61344182E+00     0.38357670E-02     0.19235671E-01     100     0.88207811E-01
-0.17500000E+02    -0.15813102E+01     0.21406462E-01     0.12000000E+02    -0.48096675E-01     0.60764855E+00     0.38810936E-02     0.17471660E-01     101     0.80508366E-01
-0.17000002E+02    -0.15437540E+01     0.20077135E-01     0.12000000E+02    -0.46472263E-01     0.59820890E+00     0.39247954E-02     0.16056735E-01     101     0.80508366E-01
-0.16500000E+02    -0.15028181E+01     0.18823467E-01     0.12000000E+02    -0.45143597E-01     0.58899122E+00     0.39964635E-02     0.14719901E-01     102     0.72999552E-01
-0.16000002E+02    -0.14585648E+01     0.17719122E-01     0.12000000E+02    -0.44101555E-01     0.57987601E+00     0.40747318E-02     0.13540078E-01     102     0.72999552E-01
-0.15500001E+02    -0.14119737E+01     0.16712904E-01     0.12000000E+02    -0.43260224E-01     0.57424057E+00     0.41647390E-02     0.12469582E-01     103     0.65698698E-01
-0.15000001E+02    -0.13634933E+01     0.15799243E-01     0.12000000E+02    -0.42600080E-01     0.56534445E+00     0.42625326E-02     0.11490921E-01     103     0.65698698E-01
-0.14500000E+02    -0.13135260E+01     0.14956439E-01     0.12000000E+02    -0.42080317E-01     0.55677277E+00     0.43602935E-02     0.10586638E-01     104     0.58628060E-01
-0.14000001E+02    -0.12623930E+01     0.14163582E-01     0.12000000E+02    -0.41669168E-01     0.55128759E+00     0.44830111E-02     0.97435098E-02     104     0.58628060E-01
-0.13500001E+02    -0.12101357E+01     0.13436528E-01     0.12000000E+02    -0.41380677E-01     0.54270369E+00     0.46090237E-02     0.89612687E-02     105     0.51817045E-01
-0.13000001E+02    -0.11569061E+01     0.12768843E-01     0.12000000E+02    -0.41193232E-01     0.53423238E+00     0.47432408E-02     0.82425987E-02     105     0.51817045E-01
-0.12500001E+02    -0.11000608E+01     0.12816374E-01     0.12000000E+02    -0.42150512E-01     0.50000001E-01     0.49038450E-02     0.75300317E-02     106     0.45305714E-01
-0.12000000E+02    -0.10453651E+01     0.12281068E-01     0.12000000E+02    -0.42124636E-01     0.50000001E-01     0.50901561E-02     0.69427360E-02     106     0.45305714E-01
-0.11500001E+02    -0.98997927E+00     0.11797076E-01     0.12000000E+02    -0.42178281E-01     0.50000001E-01     0.52815671E-02     0.64091324E-02     106     0.45305714E-01
-0.11000001E+02    -0.93408811E+00     0.11341142E-01     0.12000000E+02    -0.42297397E-01     0.50000001E-01     0.56331959E-02     0.59024962E-02     107     0.39146107E-01
-0.10500001E+02    -0.87765533E+00     0.10927784E-01     0.12000000E+02    -0.42484429E-01     0.50000001E-01     0.58487686E-02     0.54431902E-02     107     0.39146107E-01
-0.10000001E+02    -0.82080519E+00     0.10540401E-01     0.12000000E+02    -0.42727794E-01     0.50000001E-01     0.60881772E-02     0.50123790E-02     108     0.33400845E-01
-0.95000010E+01    -0.76354706E+00     0.10187904E-01     0.12000000E+02    -0.43033570E-01     0.50000001E-01     0.63339737E-02     0.46200114E-02     108     0.33400845E-01
-0.90000000E+01    -0.70590442E+00     0.98689925E-02     0.12000000E+02    -0.43394189E-01     0.50000001E-01     0.66725202E-02     0.42623766E-02     109     0.28135514E-01
-0.85000019E+01    -0.64789003E+00     0.95901992E-02     0.12000000E+02    -0.43809757E-01     0.50000001E-01     0.70007066E-02     0.39470317E-02     109     0.28135514E-01
-0.80000010E+01    -0.58958918E+00     0.93395226E-02     0.12000000E+02    -0.44273373E-01     0.50000001E-01     0.73342957E-02     0.36576227E-02     110     0.23404533E-01
-0.75000005E+01    -0.53104711E+00     0.91067012E-02     0.12000000E+02    -0.44776883E-01     0.50000001E-01     0.77541522E-02     0.33920314E-02     111     0.19236458E-01
-0.70000014E+01    -0.47234666E+00     0.88807456E-02     0.12000000E+02    -0.45326188E-01     0.50000001E-01     0.85702399E-02     0.31412314E-02     111     0.19236458E-01
-0.65000010E+01    -0.41334620E+00     0.87063899E-02     0.12000000E+02    -0.45918994E-01     0.50000001E-01     0.90994565E-02     0.29353173E-02     112     0.15626414E-01
-0.60000000E+01    -0.35418355E+00     0.85523985E-02     0.12000000E+02    -0.46547618E-01     0.50000001E-01     0.96551822E-02     0.27545113E-02     112     0.15626414E-01
-0.55000014E+01    -0.29489475E+00     0.84108459E-02     0.12000000E+02    -0.47209982E-01     0.50000001E-01     0.10386244E-01     0.25902782E-02     113     0.12540261E-01
-0.50000010E+01    -0.23547222E+00     0.82933176E-02     0.12000000E+02    -0.47906768E-01     0.50000001E-01     0.11599081E-01     0.24503823E-02     114     0.99259540E-02
-0.45000000E+01    -0.17593709E+00     0.81956638E-02     0.12000000E+02    -0.48634313E-01     0.50000001E-01     0.12639822E-01     0.23351447E-02     114     0.99259540E-02
-0.40000014E+01    -0.11631650E+00     0.81232395E-02     0.12000000E+02    -0.49391229E-01     0.50000001E-01     0.13767764E-01     0.22440352E-02     115     0.77264826E-02
-0.35000007E+01    -0.56648128E-01     0.80606937E-02     0.12000000E+02    -0.50174594E-01     0.50000001E-01     0.15708156E-01     0.21682642E-02     116     0.58877096E-02
-0.30000000E+01     0.30787133E-02     0.80284048E-02     0.12000000E+02    -0.50979346E-01     0.50000001E-01     0.17246960E-01     0.21194052E-02     116     0.58877096E-02
-0.25000012E+01     0.62808812E-01     0.80027804E-02     0.12000000E+02    -0.51807210E-01     0.50000001E-01     0.19862933E-01     0.20865756E-02     117     0.43630847E-02
-0.20000007E+01     0.12254155E+00     0.79964278E-02     0.12000000E+02    -0.52653283E-01     0.50000001E-01     0.23019582E-01     0.20734272E-02     118     0.31143362E-02
-0.15000000E+01     0.18226302E+00     0.80146128E-02     0.12000000E+02    -0.53514261E-01     0.50000001E-01     0.25887007E-01     0.20817374E-02     119     0.21109337E-02
-0.10000012E+01     0.24194106E+00     0.80426559E-02     0.12000000E+02    -0.54392170E-01     0.50000001E-01     0.30363070E-01     0.21069371E-02     120     0.13280829E-02
-0.50000060E+00     0.30156022E+00     0.80860304E-02     0.12000000E+02    -0.55282690E-01     0.50000001E-01     0.35945415E-01     0.21509412E-02     120     0.13280829E-02
 0.00000000E+00     0.36110419E+00     0.81430627E-02     0.12000000E+02    -0.56184378E-01     0.50000001E-01     0.43184962E-01     0.22130548E-02     121     0.74461394E-03
 0.49999887E+00     0.42055413E+00     0.82229720E-02     0.12000000E+02    -0.57090860E-01     0.50000001E-01     0.49589515E-01     0.22933804E-02     122     0.34357238E-03
