  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-241                      
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.19000002E+02    -0.10871549E+01     0.10205449E+00     0.13000000E+02     0.71782721E-02     0.10000000E+01     0.20406315E-01     0.99578395E-01      93     0.54798860E-01
-0.18000000E+02    -0.10683359E+01     0.91050632E-01     0.13000000E+02     0.11103409E-02     0.87357789E+00     0.22270244E-01     0.88150926E-01      94     0.49270716E-01
-0.17500000E+02    -0.10389638E+01     0.89657426E-01     0.13000000E+02    -0.30467180E-02     0.80017370E+00     0.23095265E-01     0.86544648E-01      94     0.49270716E-01
-0.17000002E+02    -0.10288814E+01     0.85517280E-01     0.13000000E+02    -0.55308030E-02     0.76046902E+00     0.24001762E-01     0.82244627E-01      95     0.44024732E-01
-0.16500000E+02    -0.10191889E+01     0.81524268E-01     0.13000000E+02    -0.78571327E-02     0.73321277E+00     0.25016811E-01     0.78141838E-01      95     0.44024732E-01
-0.16000002E+02    -0.10097947E+01     0.77574283E-01     0.13000000E+02    -0.10069412E-01     0.71576810E+00     0.26264515E-01     0.74110687E-01      95     0.44024732E-01
-0.15500001E+02    -0.99803305E+00     0.73696434E-01     0.13000000E+02    -0.12148218E-01     0.69626015E+00     0.27259797E-01     0.70135660E-01      96     0.39074790E-01
-0.15000001E+02    -0.98621815E+00     0.69779627E-01     0.13000000E+02    -0.14066959E-01     0.67897356E+00     0.28554300E-01     0.66135839E-01      96     0.39074790E-01
-0.14500000E+02    -0.97297114E+00     0.65966241E-01     0.13000000E+02    -0.15680082E-01     0.66520625E+00     0.30066781E-01     0.62261641E-01      96     0.39074790E-01
-0.14000001E+02    -0.95701998E+00     0.62191237E-01     0.13000000E+02    -0.17099308E-01     0.64911830E+00     0.31556323E-01     0.58414996E-01      97     0.34436636E-01
-0.13500001E+02    -0.94220436E+00     0.58242407E-01     0.13000000E+02    -0.18349979E-01     0.63627827E+00     0.33549268E-01     0.54412849E-01      97     0.34436636E-01
-0.13000001E+02    -0.92560005E+00     0.54268051E-01     0.13000000E+02    -0.19479215E-01     0.62097096E+00     0.34966201E-01     0.50373886E-01      98     0.30126231E-01
-0.12500001E+02    -0.91027981E+00     0.50034251E-01     0.13000000E+02    -0.20557368E-01     0.60832995E+00     0.38010661E-01     0.46088222E-01      98     0.30126231E-01
-0.12000000E+02    -0.89706165E+00     0.45362506E-01     0.13000000E+02    -0.21543216E-01     0.59203118E+00     0.40219959E-01     0.41349184E-01      98     0.30126231E-01
-0.11500001E+02    -0.88003910E+00     0.41056149E-01     0.13000000E+02    -0.22257024E-01     0.57947934E+00     0.43142486E-01     0.36992930E-01      99     0.26156712E-01
-0.11000001E+02    -0.86495870E+00     0.36575120E-01     0.13000000E+02    -0.22822347E-01     0.56677151E+00     0.47070749E-01     0.32471560E-01      99     0.26156712E-01
-0.10500001E+02    -0.85623538E+00     0.31196913E-01     0.13000000E+02    -0.23323691E-01     0.55417311E+00     0.51983323E-01     0.27046552E-01     100     0.22535883E-01
-0.10000001E+02    -0.84346205E+00     0.26396360E-01     0.13000000E+02    -0.23518845E-01     0.54187506E+00     0.56104861E-01     0.22200746E-01     100     0.22535883E-01
-0.95000010E+01    -0.84475702E+00     0.20926446E-01     0.13000000E+02    -0.23503277E-01     0.52477622E+00     0.63652970E-01     0.16671401E-01     100     0.22535883E-01
-0.90000000E+01    -0.84315288E+00     0.17471904E-01     0.13000000E+02    -0.23748390E-01     0.51458198E+00     0.68999350E-01     0.13158275E-01     100     0.22535883E-01
-0.85000019E+01    -0.78975987E+00     0.15684450E-01     0.13000000E+02    -0.39887272E-01     0.50246018E+00     0.10547570E+00     0.11384757E-01     101     0.19263344E-01
-0.80000010E+01    -0.66750705E+00     0.93193809E-02     0.13000000E+02    -0.65093800E-01     0.48510379E+00     0.17969099E+00     0.51762131E-02     102     0.16330708E-01
-0.75000005E+01    -0.59431469E+00     0.84725879E-02     0.13000000E+02    -0.69938906E-01     0.47100836E+00     0.20878100E+00     0.44011432E-02     103     0.13722315E-01
-0.70000014E+01    -0.52376920E+00     0.78692148E-02     0.13000000E+02    -0.73760144E-01     0.46001768E+00     0.23746592E+00     0.38763140E-02     104     0.11417158E-01
-0.65000010E+01    -0.45496064E+00     0.74425060E-02     0.13000000E+02    -0.76928869E-01     0.44794220E+00     0.26345041E+00     0.35087680E-02     105     0.93917735E-02
-0.60000000E+01    -0.38765597E+00     0.71594645E-02     0.13000000E+02    -0.79536721E-01     0.43885902E+00     0.28405675E+00     0.32696263E-02     106     0.76221991E-02
-0.55000014E+01    -0.32056671E+00     0.69159307E-02     0.13000000E+02    -0.82047932E-01     0.42863414E+00     0.30609423E+00     0.30691870E-02     107     0.60852915E-02
