  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-332                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000002E+02    -0.88639623E+00     0.14656116E+00     0.16000000E+02     0.30425208E-01     0.50000001E-01     0.50000001E-01     0.14231032E+00      84     0.39890479E-01
-0.18500002E+02    -0.82708901E+00     0.13247897E+00     0.16000000E+02     0.18427512E-01     0.50000001E-01     0.50000001E-01     0.12806064E+00      85     0.36419749E-01
-0.17500000E+02    -0.78511697E+00     0.12363304E+00     0.16000000E+02     0.11343255E-01     0.50000001E-01     0.50000001E-01     0.11910952E+00      86     0.33120055E-01
-0.16500000E+02    -0.74975783E+00     0.11349437E+00     0.16000000E+02     0.41724984E-02     0.50000001E-01     0.50000001E-01     0.10885066E+00      87     0.29994039E-01
-0.15000001E+02    -0.68856305E+00     0.99779353E-01     0.16000000E+02    -0.49597099E-02     0.50000001E-01     0.50000001E-01     0.94974905E-01      89     0.24269752E-01
-0.14500000E+02    -0.64119637E+00     0.98795205E-01     0.16000000E+02    -0.10247926E-01     0.50000001E-01     0.50000001E-01     0.93998216E-01      90     0.21672376E-01
-0.14000001E+02    -0.62709087E+00     0.93296170E-01     0.16000000E+02    -0.12580291E-01     0.50000001E-01     0.50000001E-01     0.88433139E-01      90     0.21672376E-01
-0.13500001E+02    -0.61209178E+00     0.88036560E-01     0.16000000E+02    -0.14813498E-01     0.50000001E-01     0.50000001E-01     0.83109044E-01      91     0.19250162E-01
-0.13000001E+02    -0.59011889E+00     0.83857112E-01     0.16000000E+02    -0.16695555E-01     0.50000001E-01     0.50000001E-01     0.78880705E-01      91     0.19250162E-01
-0.12500001E+02    -0.57226485E+00     0.79146966E-01     0.16000000E+02    -0.18721659E-01     0.50000001E-01     0.50000001E-01     0.74112341E-01      92     0.17000455E-01
-0.12000000E+02    -0.55429244E+00     0.74472077E-01     0.16000000E+02    -0.20681612E-01     0.50000001E-01     0.50000001E-01     0.69379613E-01      92     0.17000455E-01
-0.11500001E+02    -0.53567606E+00     0.70012361E-01     0.16000000E+02    -0.22557890E-01     0.50000001E-01     0.50000001E-01     0.64863741E-01      93     0.14919549E-01
-0.11000001E+02    -0.51634061E+00     0.65727673E-01     0.16000000E+02    -0.24336310E-01     0.50000001E-01     0.50000001E-01     0.60524717E-01      94     0.13002763E-01
-0.10500001E+02    -0.49610379E+00     0.61651424E-01     0.16000000E+02    -0.26036214E-01     0.50000001E-01     0.50000001E-01     0.56396447E-01      94     0.13002763E-01
-0.10000001E+02    -0.47515416E+00     0.57771187E-01     0.16000000E+02    -0.27637217E-01     0.50000001E-01     0.50000001E-01     0.52466352E-01      95     0.11244465E-01
-0.95000010E+01    -0.45339787E+00     0.54053161E-01     0.16000000E+02    -0.29134791E-01     0.50000001E-01     0.50000001E-01     0.48700541E-01      96     0.96386345E-02
-0.90000000E+01    -0.43099427E+00     0.50501745E-01     0.16000000E+02    -0.30538609E-01     0.50000001E-01     0.50000001E-01     0.45103595E-01      96     0.96386345E-02
