  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-360                      
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.19000002E+02    -0.92310834E+00     0.11503579E+00     0.13000000E+02     0.20833313E-02     0.62656385E+00     0.11246383E+00     0.11197498E+00      83     0.36273099E-01
-0.17000002E+02    -0.88519257E+00     0.92590272E-01     0.13000000E+02    -0.11673043E-01     0.55666858E+00     0.13346036E+00     0.89271411E-01      85     0.30685179E-01
-0.16500000E+02    -0.84327608E+00     0.91222011E-01     0.13000000E+02    -0.15998207E-01     0.53268135E+00     0.13995783E+00     0.87893926E-01      85     0.30685179E-01
-0.15500001E+02    -0.85295630E+00     0.77096239E-01     0.13000000E+02    -0.19592326E-01     0.50700527E+00     0.15129095E+00     0.73612548E-01      86     0.28038993E-01
-0.15000001E+02    -0.81743819E+00     0.74772336E-01     0.13000000E+02    -0.22388695E-01     0.48766932E+00     0.15640652E+00     0.71265459E-01      87     0.25497263E-01
-0.14500000E+02    -0.80414015E+00     0.70017844E-01     0.13000000E+02    -0.24254762E-01     0.47583187E+00     0.16175106E+00     0.66457450E-01      88     0.23064958E-01
-0.14000001E+02    -0.79247820E+00     0.65283082E-01     0.13000000E+02    -0.25982535E-01     0.46556774E+00     0.16762832E+00     0.61684653E-01      88     0.23064958E-01
-0.13500001E+02    -0.77927935E+00     0.60805630E-01     0.13000000E+02    -0.27596656E-01     0.45522746E+00     0.17291473E+00     0.57165526E-01      89     0.20747129E-01
-0.13000001E+02    -0.76492715E+00     0.56548100E-01     0.13000000E+02    -0.29118283E-01     0.44418317E+00     0.17892617E+00     0.52864451E-01      89     0.20747129E-01
-0.12500001E+02    -0.74609196E+00     0.52722778E-01     0.13000000E+02    -0.30563721E-01     0.43379888E+00     0.18326758E+00     0.48992664E-01      90     0.18548559E-01
-0.12000000E+02    -0.72929502E+00     0.48849165E-01     0.13000000E+02    -0.31879053E-01     0.42583969E+00     0.18812680E+00     0.45082919E-01      90     0.18548559E-01
-0.11500001E+02    -0.70326930E+00     0.45997411E-01     0.13000000E+02    -0.33001870E-01     0.41857800E+00     0.19364922E+00     0.42214099E-01      91     0.16473502E-01
-0.11000001E+02    -0.68443519E+00     0.42528171E-01     0.13000000E+02    -0.34082666E-01     0.40998349E+00     0.19887854E+00     0.38709208E-01      92     0.14525522E-01
-0.10500001E+02    -0.66442895E+00     0.39184239E-01     0.13000000E+02    -0.35100911E-01     0.40533629E+00     0.20349912E+00     0.35343107E-01      92     0.14525522E-01
-0.10000001E+02    -0.64465362E+00     0.35945579E-01     0.13000000E+02    -0.36012679E-01     0.39632344E+00     0.20835264E+00     0.32057811E-01      93     0.12706937E-01
-0.95000010E+01    -0.63103867E+00     0.32456961E-01     0.13000000E+02    -0.36575049E-01     0.39194608E+00     0.21490556E+00     0.28557990E-01      93     0.12706937E-01
-0.90000000E+01    -0.61027330E+00     0.29567096E-01     0.13000000E+02    -0.37172467E-01     0.38568866E+00     0.21916394E+00     0.25627371E-01      94     0.11019023E-01
-0.85000019E+01    -0.59709883E+00     0.26409024E-01     0.13000000E+02    -0.37340868E-01     0.38029599E+00     0.22444558E+00     0.22441063E-01      94     0.11019023E-01
-0.80000010E+01    -0.59928983E+00     0.22576489E-01     0.13000000E+02    -0.36671247E-01     0.37423751E+00     0.23033553E+00     0.18562725E-01      95     0.94618015E-02
-0.75000005E+01    -0.59657985E+00     0.19644309E-01     0.13000000E+02    -0.35212222E-01     0.37112525E+00     0.23458290E+00     0.15597194E-01      95     0.94618015E-02
-0.70000014E+01    -0.61879903E+00     0.15802013E-01     0.13000000E+02    -0.32671493E-01     0.36517441E+00     0.23972653E+00     0.11684085E-01      96     0.80342703E-02
