  
       RFOIL         Version 3.00
  
 Calculated polar for: MHKF1-180                       
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      1.50000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.15000001E+02    -0.93509734E+00     0.54387126E-01     0.15000000E+01    -0.58666307E-01     0.50000001E-01     0.12274974E-01     0.48518181E-01     102     0.43458544E-01
-0.14000000E+02    -0.96800804E+00     0.41840043E-01     0.15000000E+01    -0.64755656E-01     0.50000001E-01     0.12793940E-01     0.35656098E-01     102     0.43458544E-01
-0.13000001E+02    -0.96761340E+00     0.32028180E-01     0.15000000E+01    -0.68191133E-01     0.50000001E-01     0.13533562E-01     0.25566475E-01     102     0.43458544E-01
-0.12000000E+02    -0.93624192E+00     0.24502438E-01     0.15000000E+01    -0.71558610E-01     0.50000001E-01     0.14341382E-01     0.17733878E-01     103     0.37775740E-01
-0.10000001E+02    -0.67872387E+00     0.17338838E-01     0.15000000E+01    -0.96140623E-01     0.50000001E-01     0.20116322E-01     0.10004608E-01     105     0.27709089E-01
-0.90000000E+01    -0.54819858E+00     0.16017562E-01     0.15000000E+01    -0.10269819E+00     0.50000001E-01     0.24782166E-01     0.84901517E-02     107     0.19534720E-01
-0.80000010E+01    -0.41710949E+00     0.14948787E-01     0.15000000E+01    -0.10873988E+00     0.50000001E-01     0.33311591E-01     0.72949547E-02     108     0.16155733E-01
-0.70000005E+01    -0.28672513E+00     0.14164801E-01     0.15000000E+01    -0.11411867E+00     0.50000001E-01     0.49544595E-01     0.64287018E-02     109     0.13216374E-01
-0.60000000E+01    -0.15947136E+00     0.13841974E-01     0.15000000E+01    -0.11811925E+00     0.50000001E-01     0.50000001E-01     0.59058145E-02     111     0.85080024E-02
-0.50000010E+01    -0.33234529E-01     0.13666075E-01     0.15000000E+01    -0.12178550E+00     0.50000001E-01     0.50000001E-01     0.55714604E-02     112     0.66598575E-02
-0.40000005E+01     0.92256606E-01     0.13594703E-01     0.15000000E+01    -0.12522267E+00     0.50000001E-01     0.50000001E-01     0.53692991E-02     114     0.37973730E-02
-0.30000000E+01     0.21699318E+00     0.13614791E-01     0.15000000E+01    -0.12845896E+00     0.50000001E-01     0.50000001E-01     0.52846028E-02     115     0.27254361E-02
-0.20000007E+01     0.34090862E+00     0.13720160E-01     0.15000000E+01    -0.13150263E+00     0.50000001E-01     0.50000001E-01     0.53069545E-02     117     0.11851818E-02
-0.10000004E+01     0.46391815E+00     0.13907610E-01     0.15000000E+01    -0.13435210E+00     0.50000001E-01     0.50000001E-01     0.54332642E-02     119     0.32602239E-03
 0.00000000E+00     0.58589315E+00     0.14176275E-01     0.15000000E+01    -0.13699837E+00     0.50000001E-01     0.50000001E-01     0.56619467E-02     121     0.53411331E-05
 0.99999946E+00     0.70667750E+00     0.14527490E-01     0.15000000E+01    -0.13942279E+00     0.50000001E-01     0.50000001E-01     0.59938608E-02     123     0.25344582E-03
 0.19999989E+01     0.82605863E+00     0.14964791E-01     0.15000000E+01    -0.14159577E+00     0.50000001E-01     0.50000001E-01     0.64325789E-02     125     0.13074544E-02
 0.30000000E+01     0.94376588E+00     0.15493922E-01     0.15000000E+01    -0.14347491E+00     0.50000001E-01     0.50000001E-01     0.69838921E-02     127     0.31732148E-02
 0.39999995E+01     0.10593944E+01     0.16124237E-01     0.15000000E+01    -0.14499387E+00     0.50000001E-01     0.50000001E-01     0.76552071E-02     128     0.44156532E-02
 0.49999990E+01     0.11723627E+01     0.16870774E-01     0.15000000E+01    -0.14605060E+00     0.50000001E-01     0.50000001E-01     0.84655769E-02     130     0.75725182E-02
 0.60000000E+01     0.12818369E+01     0.17758129E-01     0.15000000E+01    -0.14649861E+00     0.50000001E-01     0.50000001E-01     0.94386358E-02     132     0.11774763E-01
 0.69999995E+01     0.13864822E+01     0.18829133E-01     0.15000000E+01    -0.14610270E+00     0.50000001E-01     0.50000001E-01     0.10616368E-01     133     0.14354134E-01
 0.79999990E+01     0.14839158E+01     0.20169213E-01     0.15000000E+01    -0.14444655E+00     0.50000001E-01     0.50000001E-01     0.12088269E-01     134     0.17318573E-01
 0.90000000E+01     0.15687951E+01     0.21986103E-01     0.15000000E+01    -0.14060490E+00     0.50000001E-01     0.50000001E-01     0.14070292E-01     136     0.24655489E-01
 0.10000000E+02     0.16142908E+01     0.25520813E-01     0.15000000E+01    -0.13013980E+00     0.50000001E-01     0.50000001E-01     0.17825825E-01     136     0.24655489E-01
 0.10999999E+02     0.16467576E+01     0.31342555E-01     0.15000000E+01    -0.12116741E+00     0.50000001E-01     0.50000001E-01     0.23937473E-01     137     0.29153295E-01
 0.11999999E+02     0.16582873E+01     0.39753620E-01     0.15000000E+01    -0.11407349E+00     0.50000001E-01     0.50000001E-01     0.32702822E-01     138     0.34271907E-01
 0.13000000E+02     0.16450994E+01     0.49889404E-01     0.15000000E+01    -0.10876783E+00     0.49298286E-01     0.50000001E-01     0.43234702E-01     138     0.34271907E-01
 0.13999999E+02     0.15922365E+01     0.61598338E-01     0.15000000E+01    -0.10362384E+00     0.42374082E-01     0.50000001E-01     0.55293839E-01     139     0.40035807E-01
 0.15000001E+02     0.15518265E+01     0.74104317E-01     0.15000000E+01    -0.10181932E+00     0.36359690E-01     0.50000001E-01     0.68109855E-01     139     0.40035807E-01
 0.15999998E+02     0.15345575E+01     0.87495364E-01     0.15000000E+01    -0.10370994E+00     0.31348612E-01     0.50000001E-01     0.81774011E-01     139     0.40035807E-01
 0.18000000E+02     0.15346967E+01     0.11516447E+00     0.15000000E+01    -0.11841040E+00     0.23773454E-01     0.77426875E+00     0.11095226E+00     140     0.46433873E-01
 0.18999998E+02     0.15357755E+01     0.12928584E+00     0.15000000E+01    -0.12822133E+00     0.21499546E-01     0.80286884E+00     0.12544031E+00     141     0.53419322E-01
