 RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     6.1727381
Re          => 0.15000000E+07
Cl          =>     1.2999998
Cd          =>     0.0179658
Cm          =>    -0.1464397
 240
       100.00000000     0.03128969
        99.58663177     0.02307916
        99.10323334     0.01332122
        98.51571655     0.00154543
        97.79356384    -0.01218986
        96.95672607    -0.02720225
        96.04918671    -0.04272270
        95.08684540    -0.05867898
        94.08689117    -0.07467818
        93.06652832    -0.09057056
        92.03372955    -0.10640442
        90.99295044    -0.12237703
        89.94741821    -0.13829933
        88.89911652    -0.15446769
        87.84941101    -0.17079853
        86.79926300    -0.18738709
        85.74931335    -0.20422934
        84.69996643    -0.22124980
        83.65145874    -0.23850821
        82.60393524    -0.25619134
        81.55741882    -0.27387545
        80.51184082    -0.29193541
        79.46713257    -0.31018230
        78.42318726    -0.32866129
        77.37989044    -0.34735855
        76.33711243    -0.36643872
        75.29478455    -0.38552329
        74.25284576    -0.40524265
        73.21125031    -0.42511937
        72.16997528    -0.44533452
        71.12907410    -0.46608469
        70.08861542    -0.48721442
        69.04870605    -0.50887221
        68.00947571    -0.53121513
        66.97108459    -0.55400926
        65.93373108    -0.57766694
        64.89761353    -0.60190159
        63.86296844    -0.62705451
        62.83001328    -0.65270621
        61.79901505    -0.67955011
        60.77020264    -0.70686644
        59.74379730    -0.73504394
        58.72002411    -0.76423103
        57.69905472    -0.79403943
        56.68110657    -0.82457083
        55.66631699    -0.85583466
        54.65478897    -0.88752431
        53.64661789    -0.92001909
        52.64189148    -0.95258385
        51.64065933    -0.98575169
        50.64288330    -1.01876891
        49.64850998    -1.05210698
        48.65750122    -1.08499849
        47.66975403    -1.11775053
        46.68514252    -1.15002859
        45.70355606    -1.18191445
        44.72477341    -1.21243680
        43.74858475    -1.24271476
        42.77479553    -1.27157223
        41.80311966    -1.29925740
        40.83340073    -1.32542932
        39.86536789    -1.35064447
        38.89867783    -1.37354100
        37.93313980    -1.39586771
        36.96851349    -1.41583979
        36.00452042    -1.43442333
        35.04093552    -1.45158613
        34.07756424    -1.46700227
        33.11424637    -1.48121321
        32.15077972    -1.49389112
        31.18712044    -1.50584424
        30.22326851    -1.51628530
        29.25918388    -1.52642930
        28.29500771    -1.53553164
        27.33088493    -1.54450262
        26.36713409    -1.55425751
        25.40413094    -1.56295836
        24.44231987    -1.57309997
        23.48231697    -1.58351099
        22.52489853    -1.59517014
        21.57083511    -1.60741436
        20.62104225    -1.62186992
        19.67666435    -1.63784349
        18.73873901    -1.65394914
        17.80852318    -1.67332780
        16.88725281    -1.69289887
        15.97617531    -1.71391809
        15.07654476    -1.73686397
        14.18963528    -1.75921047
        13.31662083    -1.78259885
        12.45862198    -1.80522811
        11.61672211    -1.82685554
        10.79191685    -1.84738052
         9.98521328    -1.86508071
         9.19761467    -1.87936270
         8.43021965    -1.89014471
         7.68427992    -1.89540732
         6.96132612    -1.89633644
         6.26327229    -1.90404093
         5.59254646    -1.93749630
         4.95219612    -1.94832051
         4.34585428    -1.93441737
         3.77757406    -1.92558229
         3.25144410    -1.91804850
         2.77090883    -1.91013682
         2.33812213    -1.90221202
         1.95347202    -1.89213812
         1.61557329    -1.88162220
         1.32163739    -1.86453140
         1.06803751    -1.84251654
         0.85080022    -1.81036985
         0.66598576    -1.76415670
         0.51000237    -1.70517814
         0.37973732    -1.62661898
         0.27254361    -1.52955329
         0.18615459    -1.41058862
         0.11851818    -1.27465999
         0.06784593    -1.11959422
         0.03260224    -0.95214182
         0.01062508    -0.79947907
         0.00053411    -0.68313688
         0.00386896    -0.55001217
         0.02534458    -0.32795236
         0.06793084    -0.04412114
         0.13074544     0.22438417
         0.21387661     0.45396528
         0.31732148     0.64051884
         0.44156530     0.77924520
         0.58765125     0.87894768
         0.75725180     0.94460678
         0.95279098     0.98244315
         1.17747641     0.99860197
         1.43541336     0.99743623
         1.73185730     0.98261374
         2.07305503     0.95726568
         2.46554899     0.92333204
         2.91532946     0.88347173
         3.42719078     0.83904177
         4.00358057     0.79232079
         4.64338732     0.74357218
         5.34193230     0.69623727
         6.09184837     0.65485770
         6.88468981     0.61122197
         7.71227551     0.56815636
         8.56748772     0.52894598
         9.44452763     0.49143919
        10.33888054     0.45701662
        11.24707413     0.42468342
        12.16648674     0.39425609
        13.09509754     0.36587182
        14.03142643     0.33946332
        14.97433949     0.31448129
        15.92296982     0.29154667
        16.87663460     0.27021959
        17.83483124     0.24983399
        18.79717445     0.23133568
        19.76330948     0.21464668
        20.73299599     0.19826011
        21.70600700     0.18434004
        22.68212509     0.17074542
        23.66116714     0.15859132
        24.64296341     0.14764403
        25.62734413     0.13771729
        26.61415291     0.12849097
        27.60320663     0.11995815
        28.59432411     0.11330574
        29.58736038     0.10648220
        30.58214760     0.10115718
        31.57850266     0.09603219
        32.57627106     0.09225457
        33.57532883     0.08866864
        34.57550049     0.08614551
        35.57667542     0.08412164
        36.57874298     0.08308237
        37.58157349     0.08219808
        38.58510971     0.08216166
        39.58928299     0.08319812
        40.59406662     0.08425092
        41.59943390     0.08642846
        42.60541153     0.08903777
        43.61204147     0.09254610
        44.61938858     0.09659266
        45.62754059     0.10117017
        46.63663101     0.10647219
        47.64682388     0.11250912
        48.65828323     0.11895012
        49.67124557     0.12645374
        50.68594742     0.13433419
        51.70262909     0.14287905
        52.72162628     0.15188591
        53.74324799     0.16139130
        54.76786041     0.17165236
        55.79582977     0.18227927
        56.82755280     0.19336407
        57.86342621     0.20479898
        58.90380096     0.21649711
        59.94889069     0.22876529
        60.99866104     0.24092047
        62.05210114     0.25330195
        63.10641861     0.26585409
        64.15753937     0.27814493
        65.20300293     0.29040155
        66.24215698     0.30227324
        67.27466583     0.31387880
        68.30045319     0.32495436
        69.31962585     0.33587399
        70.33226776     0.34597293
        71.33852386     0.35576168
        72.33860779     0.36491594
        73.33271790     0.37341943
        74.32110596     0.38147721
        75.30401611     0.38867947
        76.28171539     0.39531246
        77.25451660     0.40125492
        78.22270966     0.40657702
        79.18664551     0.41103759
        80.14661407     0.41479161
        81.10299683     0.41783294
        82.05615997     0.42007580
        83.00643158     0.42146292
        83.95420074     0.42207888
        84.89984131     0.42173705
        85.84371185     0.42057207
        86.78618622     0.41811886
        87.72760010     0.41512313
        88.66827393     0.41054127
        89.60845184     0.40500727
        90.54829407     0.39799246
        91.48779297     0.38972375
        92.42645264     0.37951365
        93.36303711     0.36769447
        94.29545593     0.35366061
        95.21791077     0.33686492
        96.11701965     0.31724432
        96.97885895     0.29431072
        97.78775024     0.26691249
        98.50027466     0.23265933
        99.09001923     0.18876414
        99.57958221     0.13284408
       100.00000000     0.03128969
