svbl RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     5.6713281
Re          => 0.15000000E+07
Cl          =>     1.2999998
Cd          =>     0.0129784
Cm          =>    -0.1554506
 240
       100.00000000     0.03747290
        99.58663177     0.02399617
        99.10323334     0.00816780
        98.51571655    -0.01012993
        97.79356384    -0.02958596
        96.95672607    -0.04879927
        96.04918671    -0.06704413
        95.08684540    -0.08476269
        94.08689117    -0.10151433
        93.06652832    -0.11749660
        92.03372955    -0.13303910
        90.99295044    -0.14869975
        89.94741821    -0.16404055
        88.89911652    -0.17975734
        87.84941101    -0.19560777
        86.79926300    -0.21179460
        85.74931335    -0.22827910
        84.69996643    -0.24488972
        83.65145874    -0.26173255
        82.60393524    -0.27921090
        81.55741882    -0.29641423
        80.51184082    -0.31414291
        79.46713257    -0.33196065
        78.42318726    -0.35001335
        77.37989044    -0.36822793
        76.33711243    -0.38689849
        75.29478455    -0.40533873
        74.25284576    -0.42465863
        73.21125031    -0.44396791
        72.16997528    -0.46361253
        71.12907410    -0.48387226
        70.08861542    -0.50441569
        69.04870605    -0.52554768
        68.00947571    -0.54744416
        66.97108459    -0.56969744
        65.93373108    -0.59293300
        64.89761353    -0.61672884
        63.86296844    -0.64151388
        62.83001328    -0.66665393
        61.79901505    -0.69325453
        60.77020264    -0.72004110
        59.74379730    -0.74780697
        58.72002411    -0.77665526
        57.69905472    -0.80595750
        56.68110657    -0.83587605
        55.66631699    -0.86663288
        54.65478897    -0.89746696
        53.64661789    -0.92922240
        52.64189148    -0.96060342
        51.64065933    -0.99270540
        50.64288330    -1.02412474
        49.64850998    -1.05563080
        48.65750122    -1.08627641
        47.66975403    -1.11628401
        46.68514252    -1.14506543
        45.70355606    -1.17299139
        44.72477341    -1.19861400
        43.74858475    -1.22469628
        42.77479553    -1.25328743
        41.80311966    -1.29349744
        40.83340073    -1.35217345
        39.86536789    -1.41093767
        38.89867783    -1.41967046
        37.93313980    -1.42970932
        36.96851349    -1.44147170
        36.00452042    -1.45380199
        35.04093552    -1.46632516
        34.07756424    -1.47810566
        33.11424637    -1.48932827
        32.15077972    -1.49979603
        31.18712044    -1.50964725
        30.22326851    -1.51868784
        29.25918388    -1.52725399
        28.29500771    -1.53538334
        27.33088493    -1.54320705
        26.36713409    -1.55185831
        25.40413094    -1.56003892
        24.44231987    -1.56919968
        23.48231697    -1.57888615
        22.52489853    -1.58975470
        21.57083511    -1.60148299
        20.62104225    -1.61481607
        19.67666435    -1.62951529
        18.73873901    -1.64484060
        17.80852318    -1.66231024
        16.88725281    -1.68072808
        15.97617531    -1.70008433
        15.07654476    -1.72067869
        14.18963528    -1.74146545
        13.31662083    -1.76282704
        12.45862198    -1.78337753
        11.61672211    -1.80337489
        10.79191685    -1.82213652
         9.98521328    -1.83881247
         9.19761467    -1.85314572
         8.43021965    -1.86506975
         7.68427992    -1.87255061
         6.96132612    -1.87766206
         6.26327229    -1.87890804
         5.59254646    -1.87715304
         4.95219612    -1.87191188
         4.34585428    -1.86397779
         3.77757406    -1.85474288
         3.25144410    -1.84494317
         2.77090883    -1.83268893
         2.33812213    -1.82037961
         1.95347202    -1.80536878
         1.61557329    -1.79000628
         1.32163739    -1.76764119
         1.06803751    -1.74001563
         0.85080022    -1.70206583
         0.66598576    -1.65098941
         0.51000237    -1.58776033
         0.37973732    -1.50455916
         0.27254361    -1.40494907
         0.18615459    -1.28270090
         0.11851818    -1.14587772
         0.06784593    -0.99190336
         0.03260224    -0.82458597
         0.01062508    -0.67282134
         0.00053411    -0.55608207
         0.00386896    -0.42426643
         0.02534458    -0.20831297
         0.06793084     0.06009411
         0.13074544     0.31198904
         0.21387661     0.52445942
         0.31732148     0.69403636
         0.44156530     0.81933534
         0.58765125     0.90659702
         0.75725180     0.96185899
         0.95279098     0.99097466
         1.17747641     0.99999714
         1.43541336     0.99305350
         1.73185730     0.97326767
         2.07305503     0.94442952
         2.46554899     0.90745032
         2.91532946     0.86533904
         3.42719078     0.81950086
         4.00358057     0.77205092
         4.64338732     0.72353548
         5.34193230     0.67555982
         6.09184837     0.62984675
         6.88468981     0.58592540
         7.71227551     0.54417878
         8.56748772     0.50563645
         9.44452763     0.46879432
        10.33888054     0.43470404
        11.24707413     0.40278909
        12.16648674     0.37294641
        13.09509754     0.34504339
        14.03142643     0.31920072
        14.97433949     0.29485568
        15.92296982     0.27217945
        16.87663460     0.25162241
        17.83483124     0.23192511
        18.79717445     0.21371369
        19.76330948     0.19759332
        20.73299599     0.18203716
        21.70600700     0.16839187
        22.68212509     0.15537296
        23.66116714     0.14367519
        24.64296341     0.13333444
        25.62734413     0.12395369
        26.61415291     0.11527997
        27.60320663     0.10749864
        28.59432411     0.10117798
        29.58736038     0.09502917
        30.58214760     0.09026950
        31.57850266     0.08572393
        32.57627106     0.08243137
        33.57532883     0.07946115
        34.57550049     0.07747614
        35.57667542     0.07600909
        36.57874298     0.07543778
        37.58157349     0.07527214
        38.58510971     0.07579916
        39.58928299     0.07724004
        40.59406662     0.07906687
        41.59943390     0.08167701
        42.60541153     0.08499341
        43.61204147     0.08900058
        44.61938858     0.09365725
        45.62754059     0.09889256
        46.63663101     0.10478293
        47.64682388     0.11132013
        48.65828323     0.11833303
        49.67124557     0.12592380
        50.68594742     0.13367121
        51.70262909     0.14138930
        52.72162628     0.14868568
