 RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     5.9163742
Re          => 0.15000000E+07
Cl          =>     1.3000000
Cd          =>     0.0171940
Cm          =>    -0.1751481
 240
       100.00000000     0.01022053
        99.53577423    -0.00734007
        98.98347473    -0.02671039
        98.29846191    -0.04860413
        97.45646667    -0.07105290
        96.50114441    -0.09227108
        95.47174835    -0.11253213
        94.38728333    -0.13129626
        93.27026367    -0.14900647
        92.13385010    -0.16590856
        90.98466492    -0.18256901
        89.82719421    -0.19917224
        88.66447449    -0.21575640
        87.49855804    -0.23274551
        86.33102417    -0.25001392
        85.16307068    -0.26768765
        83.99542999    -0.28576633
        82.82868958    -0.30431744
        81.66323090    -0.32332346
        80.49932098    -0.34281191
        79.33704376    -0.36268994
        78.17648315    -0.38312599
        77.01773071    -0.40399823
        75.86079407    -0.42525706
        74.70568085    -0.44726619
        73.55246735    -0.46969804
        72.40122986    -0.49263868
        71.25205994    -0.51643378
        70.10511780    -0.54066819
        68.96058655    -0.56577009
        67.81865692    -0.59139901
        66.67958832    -0.61786944
        65.54362488    -0.64532095
        64.41102600    -0.67298478
        63.28205872    -0.70206171
        62.15700531    -0.73153061
        61.03614044    -0.76187950
        59.91969299    -0.79288381
        58.80790329    -0.82470638
        57.70093918    -0.85678262
        56.59894943    -0.88986546
        55.50212097    -0.92293328
        54.41050720    -0.95674378
        53.32413483    -0.99036390
        52.24300766    -1.02438271
        51.16707230    -1.05819476
        50.09629059    -1.09185565
        49.03049088    -1.12527049
        47.96950150    -1.15771997
        46.91320801    -1.18957508
        45.86126328    -1.22106445
        44.81342316    -1.25085223
        43.76950836    -1.27924502
        42.72915268    -1.30656540
        41.69195175    -1.33168662
        40.65766907    -1.35528910
        39.62601852    -1.37630808
        38.59654999    -1.39581859
        37.56894302    -1.41537464
        36.54300308    -1.44160473
        35.51839066    -1.48491752
        34.49488449    -1.53694761
        33.47219467    -1.55412066
        32.45022202    -1.55981219
        31.42895126    -1.56855500
        30.40821457    -1.57881534
        29.38826942    -1.58916080
        28.36917877    -1.60006750
        27.35125732    -1.61104834
        26.33489609    -1.62235391
        25.32063484    -1.63388240
        24.30912590    -1.64584935
        23.30122375    -1.65877640
        22.29785728    -1.67189372
        21.30007935    -1.68624985
        20.30904388    -1.70150506
        19.32614136    -1.71788442
        18.35263634    -1.73473370
        17.38995171    -1.75303304
        16.43957520    -1.77176034
        15.50292492    -1.79178226
        14.58138657    -1.81158650
        13.67630386    -1.83225524
        12.78896141    -1.85260165
        11.92059898    -1.87288773
        11.07235432    -1.89161623
        10.24541473    -1.91019619
         9.44096375    -1.92754900
         8.66026974    -1.94299614
         7.90478516    -1.95650947
         7.17619944    -1.96958244
         6.47652149    -1.97965968
         5.80812407    -1.98975646
         5.17374086    -1.99721372
         4.57633209    -2.00460553
         4.01886463    -2.01199460
         3.50389767    -2.01824641
         3.03318548    -2.02577257
         2.60731697    -2.03181767
         2.22556281    -2.03829360
         1.88601804    -2.04031944
         1.58588016    -2.04278684
         1.32185936    -2.03789020
         1.09053600    -2.02800965
         0.88863194    -2.00754118
         0.71320146    -1.97837579
         0.56161255    -1.93592322
         0.43163133    -1.87549436
         0.32140389    -1.79889095
         0.22941306    -1.69848263
         0.15439439    -1.57437551
         0.09528882    -1.43656147
         0.05117710    -1.27411473
         0.02113094    -1.09764016
         0.00445567    -0.90927881
         0.00008672    -0.70835775
         0.00728993    -0.50799578
         0.02674424    -0.30803713
         0.05932219    -0.10957884
         0.10588500     0.07889276
         0.16742279     0.25570408
         0.24488994     0.41496012
         0.33942783     0.55619854
         0.45235324     0.67658752
         0.58524042     0.77463919
         0.73997700     0.85521942
         0.91880542     0.91551733
         1.12437034     0.95828199
         1.35968399     0.98568195
         1.62812340     0.99848771
         1.93323755     0.99853492
         2.27852654     0.98740381
         2.66711807     0.96637642
         3.10131097     0.93722945
         3.58226418     0.90142000
         4.10971594     0.86010212
         4.68202734     0.81469226
         5.29641342     0.76675850
         5.94938278     0.71665102
         6.63712406     0.66623574
         7.35585833     0.61511105
         8.10202885     0.56451863
         8.87245274     0.51502877
         9.66427708     0.46587184
        10.47502232     0.41829994
        11.30249977     0.37147823
        12.14473724     0.32633713
        13.00001907     0.28314456
        13.86683846     0.24104176
        14.74378872     0.20031206
        15.62965202     0.16099368
        16.52333450     0.12369459
        17.42386627     0.08767843
        18.33030701     0.05362904
        19.24197388     0.02082145
        20.15819168    -0.00961530
        21.07839775    -0.03883004
        22.00213051    -0.06603586
        22.92892456    -0.09094309
        23.85859299    -0.11455619
        24.79080200    -0.13598131
        25.72535515    -0.15514205
        26.66225433    -0.17171405
        27.60135841    -0.18712889
        28.54264069    -0.19969974
        29.48623276    -0.21021305
        30.43216705    -0.21856962
        31.38045883    -0.22484384
        32.33129501    -0.22857772
        33.28487778    -0.23033677
        34.24131012    -0.22976910
        35.20078659    -0.22755311
        36.16346741    -0.22270010
        37.12956238    -0.21637379
        38.09927368    -0.20791303
        39.07278824    -0.19780038
        40.05030823    -0.18582283
        41.03206635    -0.17292629
        42.01822281    -0.15876101
        43.00898361    -0.14463256
        44.00453186    -0.13140331
        45.00510025    -0.12053417
        46.01091385    -0.11221885
        47.02217102    -0.10555267
        48.03908539    -0.09975683
        49.06189346    -0.09363353
        50.09089279    -0.08580732
        51.12631226    -0.01687991
        52.16848373     0.06222015
        53.21780396     0.09179281
        54.27462006     0.10963457
        55.33942032     0.12784468
        56.41271591     0.14771120
        57.49505615     0.16913824
        58.58705521     0.19132237
        59.68928909     0.21428154
        60.80190659     0.23744993
        61.92418289     0.26076743
        63.05254745     0.28418109
        64.17662811     0.30692163
        65.28913116     0.32915118
