  
       RFOIL         Version 3.00
  
 Calculated polar for: MHKF1-240                       
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      1.50000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000000E+02    -0.97985697E+00     0.15174676E+00     0.15000000E+01     0.20863023E-01     0.50000001E-01     0.30621672E-01     0.14852174E+00      94     0.51737409E-01
-0.17999998E+02    -0.87909186E+00     0.11549219E+00     0.15000000E+01    -0.76391455E-02     0.50000001E-01     0.41801836E-01     0.10980883E+00      95     0.45763321E-01
-0.16000000E+02    -0.82379836E+00     0.95177993E-01     0.15000000E+01    -0.21686558E-01     0.50000001E-01     0.50000001E-01     0.89160837E-01      97     0.35038978E-01
-0.15000001E+02    -0.78726047E+00     0.86344972E-01     0.15000000E+01    -0.27052511E-01     0.50000001E-01     0.50000001E-01     0.80120355E-01      97     0.35038978E-01
-0.13999999E+02    -0.74979824E+00     0.77848002E-01     0.15000000E+01    -0.31689718E-01     0.50000001E-01     0.50000001E-01     0.71423806E-01      98     0.30331856E-01
-0.13000000E+02    -0.69975919E+00     0.74008010E-01     0.15000000E+01    -0.36270838E-01     0.50000001E-01     0.50000001E-01     0.67428745E-01      99     0.26073169E-01
-0.12000000E+02    -0.66016001E+00     0.67201540E-01     0.15000000E+01    -0.39686140E-01     0.50000001E-01     0.50000001E-01     0.60441606E-01     100     0.22255627E-01
-0.10999999E+02    -0.61871970E+00     0.60009252E-01     0.15000000E+01    -0.42689111E-01     0.50000001E-01     0.50000001E-01     0.53078938E-01     101     0.18860180E-01
-0.10000000E+02    -0.57654005E+00     0.52405998E-01     0.15000000E+01    -0.45209575E-01     0.50000001E-01     0.50000001E-01     0.45315545E-01     102     0.15858801E-01
-0.89999990E+01    -0.53490859E+00     0.44516314E-01     0.15000000E+01    -0.47187131E-01     0.50000001E-01     0.50000001E-01     0.37273988E-01     103     0.13218594E-01
-0.79999990E+01    -0.49677387E+00     0.36400579E-01     0.15000000E+01    -0.48385531E-01     0.50000001E-01     0.50000001E-01     0.29013086E-01     103     0.13218594E-01
-0.69999995E+01    -0.46745217E+00     0.30438472E-01     0.15000000E+01    -0.48105307E-01     0.50000001E-01     0.50000001E-01     0.22910379E-01     104     0.10905360E-01
-0.59999995E+01    -0.43889973E+00     0.25070231E-01     0.15000000E+01    -0.48108071E-01     0.50000001E-01     0.50000001E-01     0.17392345E-01     105     0.88863196E-02
-0.49999990E+01    -0.31597185E+00     0.21996116E-01     0.15000000E+01    -0.60562618E-01     0.50000001E-01     0.50000001E-01     0.14173744E-01     107     0.56161257E-02
-0.39999995E+01    -0.16957140E+00     0.19953892E-01     0.15000000E+01    -0.75039320E-01     0.50000001E-01     0.50000001E-01     0.12004525E-01     109     0.32140389E-02
-0.30000000E+01    -0.15431173E-01     0.18553194E-01     0.15000000E+01    -0.89476570E-01     0.50000001E-01     0.50000001E-01     0.10495922E-01     111     0.15439439E-02
-0.19999989E+01     0.14043126E+00     0.17589625E-01     0.15000000E+01    -0.10320638E+00     0.50000001E-01     0.50000001E-01     0.94417818E-02     114     0.21130938E-03
-0.99999946E+00     0.29468194E+00     0.16952218E-01     0.15000000E+01    -0.11578157E+00     0.50000001E-01     0.50000001E-01     0.87319510E-02     116     0.86722412E-06
 0.00000000E+00     0.44530827E+00     0.16582411E-01     0.15000000E+01    -0.12693247E+00     0.50000001E-01     0.50000001E-01     0.83048316E-02     119     0.59322192E-03
