 RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     6.5301633
Re          => 0.15000000E+07
Cl          =>     1.2999998
Cd          =>     0.0212011
Cm          =>    -0.1624359
 240
       100.00000000     0.01403224
        99.53577423     0.00395882
        98.98347473    -0.00795245
        98.29846191    -0.02243280
        97.45646667    -0.03909933
        96.50114441    -0.05674409
        95.47174835    -0.07490455
        94.38728333    -0.09305906
        93.27026367    -0.11104368
        92.13385010    -0.12880419
        90.98466492    -0.14650498
        89.82719421    -0.16423486
        88.66447449    -0.18200491
        87.49855804    -0.20003508
        86.33102417    -0.21829854
        85.16307068    -0.23686932
        83.99542999    -0.25577828
        82.82868958    -0.27507636
        81.66323090    -0.29476485
        80.49932098    -0.31488594
        79.33704376    -0.33539495
        78.17648315    -0.35639390
        77.01773071    -0.37782964
        75.86079407    -0.39968583
        74.70568085    -0.42217931
        73.55246735    -0.44514331
        72.40122986    -0.46863458
        71.25205994    -0.49286911
        70.10511780    -0.51761717
        68.96058655    -0.54314643
        67.81865692    -0.56927210
        66.67958832    -0.59616131
        65.54362488    -0.62396163
        64.41102600    -0.65219158
        63.28205872    -0.68156189
        62.15700531    -0.71150631
        61.03614044    -0.74227577
        59.91969299    -0.77371937
        58.80790329    -0.80594784
        57.70093918    -0.83865076
        56.59894943    -0.87217981
        55.50212097    -0.90594333
        54.41050720    -0.94037694
        53.32413483    -0.97480744
        52.24300766    -1.00964630
        51.16707230    -1.04448688
        50.09629059    -1.07922161
        49.03049088    -1.11389410
        47.96950150    -1.14778912
        46.91320801    -1.18146026
        45.86126328    -1.21474969
        44.81342316    -1.24675047
        43.76950836    -1.27795398
        42.72915268    -1.30828178
        41.69195175    -1.33718932
        40.65766907    -1.36525571
        39.62601852    -1.39151275
        38.59654999    -1.41681635
        37.56894302    -1.44045699
        36.54300308    -1.46269667
        35.51839066    -1.48336589
        34.49488449    -1.50341260
        33.47219467    -1.52114975
        32.45022202    -1.53843677
        31.42895126    -1.55431306
        30.40821457    -1.56968749
        29.38826942    -1.58348572
        28.36917877    -1.59765542
        27.35125732    -1.61108434
        26.33489609    -1.62445509
        25.32063484    -1.63769567
        24.30912590    -1.65138113
        23.30122375    -1.66620123
        22.29785728    -1.68040931
        21.30007935    -1.69658148
        20.30904388    -1.71355045
        19.32614136    -1.73164165
        18.35263634    -1.74999774
        17.38995171    -1.77061522
        16.43957520    -1.79117405
        15.50292492    -1.81362212
        14.58138657    -1.83541906
        13.67630386    -1.85834730
        12.78896141    -1.88108361
