  
       RFOIL         Version 3.00
  
 Calculated polar for: MHKF1-400                       
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      1.50000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.22000000E+02    -0.13343480E+01     0.16355011E+00     0.15000000E+01     0.72105080E-01     0.10000000E+01     0.21123102E+00     0.16073950E+00      82     0.74595638E-01
-0.20000000E+02    -0.13300116E+01     0.13794126E+00     0.15000000E+01     0.50482426E-01     0.10000000E+01     0.24328326E+00     0.13499983E+00      83     0.69001533E-01
-0.19000000E+02    -0.11206156E+01     0.14562310E+00     0.15000000E+01     0.20120833E-01     0.10000000E+01     0.24915810E+00     0.14282113E+00      85     0.58409438E-01
-0.17000000E+02    -0.13247204E+01     0.10173795E+00     0.15000000E+01     0.30762840E-01     0.10000000E+01     0.27945852E+00     0.98466545E-01      86     0.53429537E-01
-0.15000001E+02    -0.15293288E+01     0.60323760E-01     0.15000000E+01     0.45103088E-01     0.10000000E+01     0.30297628E+00     0.56653090E-01      86     0.53429537E-01
-0.14000000E+02    -0.14279515E+01     0.51996730E-01     0.15000000E+01     0.25352834E-01     0.10000000E+01     0.31170911E+00     0.48207425E-01      88     0.44149637E-01
-0.13000000E+02    -0.12625041E+01     0.50031930E-01     0.15000000E+01     0.49447594E-03     0.88585562E+00     0.31936210E+00     0.45922186E-01      89     0.39868139E-01
-0.12000000E+02    -0.11002551E+01     0.49506847E-01     0.15000000E+01    -0.20614341E-01     0.79731560E+00     0.32684481E+00     0.44954251E-01      91     0.32058757E-01
-0.11000000E+02    -0.93331933E+00     0.49454771E-01     0.15000000E+01    -0.41712537E-01     0.73422259E+00     0.33355486E+00     0.44587210E-01      93     0.25276724E-01
-0.10000000E+02    -0.76253396E+00     0.49729537E-01     0.15000000E+01    -0.63250102E-01     0.68171817E+00     0.34075242E+00     0.44629879E-01      95     0.19507883E-01
-0.90000000E+01    -0.59474629E+00     0.50105065E-01     0.15000000E+01    -0.83123073E-01     0.64171040E+00     0.34795451E+00     0.44790365E-01      97     0.14693596E-01
-0.80000000E+01    -0.43101969E+00     0.50444923E-01     0.15000000E+01    -0.10124016E+00     0.60980457E+00     0.35512811E+00     0.44935592E-01      99     0.10744649E-01
-0.69999995E+01    -0.26976320E+00     0.50682995E-01     0.15000000E+01    -0.11832935E+00     0.58326584E+00     0.36212000E+00     0.45004908E-01     101     0.75600930E-02
-0.60000000E+01    -0.10949288E+00     0.50807692E-01     0.15000000E+01    -0.13494013E+00     0.56044877E+00     0.36943203E+00     0.45009602E-01     103     0.50420854E-02
-0.50000010E+01     0.45539752E-01     0.50732564E-01     0.15000000E+01    -0.14972772E+00     0.53963286E+00     0.37686223E+00     0.44808324E-01     106     0.23334133E-02
-0.39999995E+01     0.19485860E+00     0.50624102E-01     0.15000000E+01    -0.16255045E+00     0.52167761E+00     0.38422477E+00     0.44583268E-01     108     0.11444299E-02
-0.30000000E+01     0.34240168E+00     0.50550878E-01     0.15000000E+01    -0.17474815E+00     0.50516689E+00     0.39138347E+00     0.44428121E-01     111     0.16626349E-03
-0.20000007E+01     0.48847246E+00     0.50505530E-01     0.15000000E+01    -0.18642506E+00     0.48959935E+00     0.39910835E+00     0.44318423E-01     114     0.50939627E-04
-0.99999946E+00     0.63297784E+00     0.50505433E-01     0.15000000E+01    -0.19751388E+00     0.47454029E+00     0.40714127E+00     0.44268738E-01     117     0.76413678E-03
 0.00000000E+00     0.77588111E+00     0.50525557E-01     0.15000000E+01    -0.20805822E+00     0.46060032E+00     0.41520134E+00     0.44226386E-01     119     0.17522519E-02
 0.99999946E+00     0.91830760E+00     0.50593007E-01     0.15000000E+01    -0.21842195E+00     0.44722190E+00     0.42356944E+00     0.44268277E-01     121     0.32001506E-02
 0.20000007E+01     0.10597776E+01     0.50694924E-01     0.15000000E+01    -0.22845024E+00     0.43418258E+00     0.43202460E+00     0.44352248E-01     124     0.63551203E-02
 0.30000000E+01     0.11998391E+01     0.50815936E-01     0.15000000E+01    -0.23802057E+00     0.42091659E+00     0.44110668E+00     0.44444881E-01     126     0.92169279E-02
 0.39999995E+01     0.13386073E+01     0.50930761E-01     0.15000000E+01    -0.24717277E+00     0.40843096E+00     0.45056117E+00     0.44534743E-01     128     0.12787100E-01
 0.49999990E+01     0.14759158E+01     0.51049132E-01     0.15000000E+01    -0.25587663E+00     0.39603925E+00     0.46020740E+00     0.44627558E-01     130     0.17165622E-01
 0.60000000E+01     0.16117027E+01     0.51368609E-01     0.15000000E+01    -0.26414624E+00     0.38325840E+00     0.47022480E+00     0.44925950E-01     131     0.19690191E-01
 0.69999995E+01     0.17459230E+01     0.51820178E-01     0.15000000E+01    -0.27197459E+00     0.37086758E+00     0.48077002E+00     0.45377381E-01     133     0.25469935E-01
 0.80000010E+01     0.18784862E+01     0.52298702E-01     0.15000000E+01    -0.27930945E+00     0.35859373E+00     0.49133444E+00     0.45882408E-01     135     0.32284800E-01
 0.89999990E+01     0.20085757E+01     0.52855112E-01     0.15000000E+01    -0.28598329E+00     0.34582481E+00     0.50273681E+00     0.46460923E-01     136     0.36093973E-01
 0.10000000E+02     0.21354547E+01     0.53563789E-01     0.15000000E+01    -0.29185414E+00     0.33353609E+00     0.51443714E+00     0.47192577E-01     138     0.44515990E-01
 0.11000001E+02     0.22579975E+01     0.54487403E-01     0.15000000E+01    -0.29668158E+00     0.32130584E+00     0.52657366E+00     0.48138574E-01     139     0.49119253E-01
 0.11999999E+02     0.23736835E+01     0.55811781E-01     0.15000000E+01    -0.29995731E+00     0.30864596E+00     0.53897828E+00     0.49476556E-01     140     0.53972911E-01
 0.13000000E+02     0.24785080E+01     0.57782229E-01     0.15000000E+01    -0.30079839E+00     0.29650348E+00     0.55152208E+00     0.51501982E-01     142     0.64384110E-01
 0.14000001E+02     0.24790869E+01     0.66264637E-01     0.15000000E+01    -0.27940416E+00     0.28519291E+00     0.56133437E+00     0.60212150E-01     143     0.69914997E-01
 0.14999999E+02     0.23586009E+01     0.84694646E-01     0.15000000E+01    -0.24621928E+00     0.27423435E+00     0.56699204E+00     0.79165056E-01     143     0.69914997E-01
 0.16000000E+02     0.22473202E+01     0.10495877E+00     0.15000000E+01    -0.23010062E+00     0.26107451E+00     0.57287163E+00     0.99883623E-01     143     0.69914997E-01
 0.17000002E+02     0.21601846E+01     0.12486031E+00     0.15000000E+01    -0.22622362E+00     0.24517351E+00     0.57976836E+00     0.12017274E+00     143     0.69914997E-01
 0.17999998E+02     0.21046286E+01     0.14220266E+00     0.15000000E+01    -0.22955793E+00     0.22914021E+00     0.58760977E+00     0.13777682E+00     144     0.75643562E-01
 0.19000000E+02     0.20734010E+01     0.15769556E+00     0.15000000E+01    -0.23711570E+00     0.21278802E+00     0.59638220E+00     0.15348187E+00     144     0.75643562E-01
