 RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     3.7245424
Re          => 0.15000000E+07
Cl          =>     1.3000000
Cd          =>     0.0508788
Cm          =>    -0.2445516
 240
       100.00000000    -0.17481695
        99.35591125    -0.21347903
        98.61029816    -0.25340411
        97.72332001    -0.29043779
        96.66572571    -0.32070109
        95.45607758    -0.34754953
        94.12747192    -0.36920533
        92.67805481    -0.38795862
        91.13559723    -0.40570340
        89.53013611    -0.42423210
        87.90418243    -0.44407162
        86.27909088    -0.46574780
        84.65103912    -0.48941240
        83.01482391    -0.51528651
        81.37584686    -0.54283136
        79.75126648    -0.57214540
        78.14651489    -0.60210174
        76.56177521    -0.63284701
        74.99516296    -0.66432804
        73.44448853    -0.69638509
        71.90730286    -0.72870153
        70.38216400    -0.76157230
        68.86766815    -0.79546171
        67.36277771    -0.82955474
        65.86724854    -0.86462265
        64.38139343    -0.90088660
        62.90562820    -0.93787521
        61.44079590    -0.97618538
        59.98844910    -1.01599109
        58.55003738    -1.05644858
        57.12689590    -1.09880054
        55.72058105    -1.14172566
        54.33233261    -1.18605554
        52.96345901    -1.23100889
        51.61502457    -1.27672422
        50.28754425    -1.32202733
        48.98143387    -1.36716878
        47.69705200    -1.41171372
        46.43448257    -1.45253623
        45.19316101    -1.49143565
        43.97304916    -1.52857196
        42.77333069    -1.58666503
        41.59355545    -1.74963582
        40.43305206    -1.83846271
        39.29103851    -1.85817397
        38.16682053    -1.87797797
        37.05958557    -1.89958704
        35.96868515    -1.92453301
        34.89351273    -1.95261419
        33.83336639    -1.98230827
        32.78792572    -2.01250815
        31.75651169    -2.04200912
        30.73876572    -2.06984401
        29.73446846    -2.09487700
        28.74344635    -2.11920428
        27.76552963    -2.13901114
        26.80067444    -2.15736508
        25.84890366    -2.17272902
        24.91033745    -2.18518710
        23.98517227    -2.19480705
        23.07361794    -2.20186877
        22.17584801    -2.20490670
        21.29218864    -2.20663595
        20.42289162    -2.20231557
        19.56821060    -2.19869637
        18.72848511    -2.18959618
        17.90397835    -2.17758489
        17.09488869    -2.16061997
        16.30133820    -2.14456272
        15.52348614    -2.12013197
        14.76151466    -2.09586310
        14.01548100    -2.06647944
        13.28549194    -2.03445148
        12.57167053    -1.99732888
        11.87408924    -1.95941460
        11.19277287    -1.91482913
        10.52788448    -1.86887586
         9.87967682    -1.81948102
         9.24835396    -1.76746047
         8.63424206    -1.71317470
         8.03781986    -1.65413749
         7.45956373    -1.59511554
         6.90015316    -1.53215659
         6.36030865    -1.46897995
         5.84094381    -1.40367734
         5.34295368    -1.33869088
         4.86730242    -1.26955903
         4.41496372    -1.20312846
         3.98681378    -1.13685477
         3.58360362    -1.06797945
         3.20587564    -1.00018799
         2.85390902    -0.93423873
         2.52767253    -0.86580330
         2.22683716    -0.80176395
         1.95078826    -0.73238212
         1.69864595    -0.66941959
         1.46935964    -0.60384530
         1.26172006    -0.53518146
         1.07446492    -0.46954688
         0.90631706    -0.40331039
         0.75600928    -0.33770201
         0.62234163    -0.26696667
         0.50420856    -0.20267652
         0.40059033    -0.13209198
         0.31056979    -0.06411099
         0.23334134     0.00696325
         0.16817728     0.07666909
         0.11444299     0.14504991
         0.07160433     0.21381734
         0.03914080     0.28136024
         0.01662635     0.34564361
         0.00375996     0.41334757
         0.00002561     0.47624210
         0.00509396     0.53772634
         0.01923222     0.59804052
         0.04287294     0.65245479
         0.07641368     0.70690924
         0.12035634     0.75718540
         0.17522518     0.80486590
         0.24156520     0.84516633
         0.32001504     0.88247037
         0.41128016     0.91422921
         0.51615137     0.94210070
         0.63551205     0.96384186
         0.77033436     0.98056310
         0.92169279     0.99206299
         1.09074295     0.99858046
         1.27871001     0.99985629
         1.48688364     0.99614501
         1.71656215     0.98776597
         1.96901917     0.97442037
         2.24547505     0.95643449
         2.54699349     0.93440038
         2.87445116     0.90851372
         3.22848010     0.87736553
         3.60939717     0.84393388
         4.01721144     0.80705190
         4.45159912     0.76633483
         4.91192532     0.72275341
         5.39729118     0.67798883
         5.90655470     0.62935680
         6.43841124     0.57996762
         6.99149990     0.52871853
         7.56435633     0.47641662
         8.15558052     0.42218336
         8.76377106     0.36789611
         9.38758087     0.31297824
        10.02574825     0.25783709
        10.67714214     0.20267735
        11.34083462     0.14746027
        12.01574516     0.09294450
        12.70109367     0.03915459
        13.39616585    -0.01399827
        14.10033703    -0.06582200
        14.81306076    -0.11762833
        15.53382874    -0.16582726
        16.26235771    -0.21407662
        16.99834251    -0.25972542
        17.74158859    -0.30247304
        18.49196815    -0.34605953
        19.24942398    -0.38508555
        20.01397705    -0.42075488
        20.78564835    -0.45557413
        21.56468391    -0.48600861
        22.35118675    -0.51530975
        23.14537239    -0.54106766
        23.94764328    -0.56328267
        24.75831985    -0.58247727
        25.57777214    -0.59885687
        26.40641022    -0.61136574
        27.24481201    -0.62145263
        28.09358788    -0.62806886
        28.95314789    -0.63136095
        29.82410431    -0.63149399
        30.70718002    -0.62819272
        31.60297012    -0.62168735
        32.51222229    -0.61298531
