  
       RFOIL         Version 3.00
  
 Calculated polar for: MHKF1-400                       
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      1.50000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.15000001E+02    -0.67220563E+00     0.14860131E+00     0.15000000E+01     0.19770734E-01     0.50000001E-01     0.50000001E-01     0.14126511E+00      92     0.28539091E-01
-0.13999999E+02    -0.40007874E+00     0.16031398E+00     0.15000000E+01    -0.18173588E-01     0.50000001E-01     0.50000001E-01     0.15344884E+00      94     0.22268372E-01
-0.13000000E+02    -0.40032974E+00     0.15153816E+00     0.15000000E+01    -0.19436862E-01     0.50000001E-01     0.50000001E-01     0.14440614E+00      95     0.19507883E-01
-0.12000000E+02    -0.39927271E+00     0.14044315E+00     0.15000000E+01    -0.20799533E-01     0.50000001E-01     0.50000001E-01     0.13305317E+00      96     0.16986459E-01
-0.10000000E+02    -0.47007638E+00     0.10369032E+00     0.15000000E+01    -0.15717285E-01     0.50000001E-01     0.50000001E-01     0.95599085E-01      97     0.14693596E-01
-0.89999990E+01    -0.39426461E+00     0.99451371E-01     0.15000000E+01    -0.25462272E-01     0.50000001E-01     0.50000001E-01     0.91346063E-01      99     0.10744649E-01
-0.79999990E+01    -0.43089736E+00     0.82045615E-01     0.15000000E+01    -0.22902183E-01     0.50000001E-01     0.50000001E-01     0.73668092E-01      99     0.10744649E-01
-0.69999995E+01    -0.50422806E+00     0.59598036E-01     0.15000000E+01    -0.21077812E-01     0.50000001E-01     0.50000001E-01     0.50837420E-01     100     0.90631703E-02
-0.59999995E+01    -0.35086966E+00     0.55266421E-01     0.15000000E+01    -0.45725610E-01     0.50000001E-01     0.50000001E-01     0.46354171E-01     102     0.62234164E-02
-0.49999990E+01    -0.18222226E+00     0.53027570E-01     0.15000000E+01    -0.70389949E-01     0.50000001E-01     0.50000001E-01     0.43997556E-01     104     0.40059034E-02
-0.39999995E+01    -0.97865416E-02     0.51946606E-01     0.15000000E+01    -0.94142966E-01     0.50000001E-01     0.50000001E-01     0.42815417E-01     107     0.16817728E-02
-0.30000000E+01     0.16315347E+00     0.51578782E-01     0.15000000E+01    -0.11685491E+00     0.50000001E-01     0.50000001E-01     0.42356186E-01     110     0.39140802E-03
-0.19999989E+01     0.33338067E+00     0.51602293E-01     0.15000000E+01    -0.13790190E+00     0.50000001E-01     0.50000001E-01     0.42299632E-01     113     0.25606550E-06
-0.99999946E+00     0.50077057E+00     0.51869620E-01     0.15000000E+01    -0.15754913E+00     0.50000001E-01     0.50000001E-01     0.42492479E-01     115     0.19232223E-03
 0.00000000E+00     0.66350269E+00     0.52254561E-01     0.15000000E+01    -0.17538723E+00     0.50000001E-01     0.50000001E-01     0.42810574E-01     118     0.12035634E-02
 0.10000012E+01     0.82116324E+00     0.52734397E-01     0.15000000E+01    -0.19142105E+00     0.50000001E-01     0.50000001E-01     0.43229181E-01     121     0.32001506E-02
 0.20000007E+01     0.97315317E+00     0.53368185E-01     0.15000000E+01    -0.20556323E+00     0.50000001E-01     0.50000001E-01     0.43807704E-01     123     0.51615136E-02
 0.30000000E+01     0.11186175E+01     0.54272484E-01     0.15000000E+01    -0.21763729E+00     0.50000001E-01     0.50000001E-01     0.44671670E-01     125     0.77033439E-02
 0.40000014E+01     0.12571348E+01     0.55323791E-01     0.15000000E+01    -0.22761109E+00     0.50000001E-01     0.50000001E-01     0.45708247E-01     127     0.10907429E-01
