 RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     4.2738729
Re          => 0.15000000E+07
Cl          =>     1.3000004
Cd          =>     0.0548201
Cm          =>    -0.2318228
 240
       100.00000000    -0.15848540
        99.35591125    -0.18183886
        98.61029816    -0.20836352
        97.72332001    -0.23658024
        96.66572571    -0.26445076
        95.45607758    -0.29220542
        94.12747192    -0.31779179
        92.67805481    -0.34190425
        91.13559723    -0.36511800
        89.53013611    -0.38852939
        87.90418243    -0.41225776
        86.27909088    -0.43689951
        84.65103912    -0.46279523
        83.01482391    -0.49032387
        81.37584686    -0.51916045
        79.75126648    -0.54935127
        78.14651489    -0.58019394
        76.56177521    -0.61169499
        74.99516296    -0.64396089
        73.44448853    -0.67680472
        71.90730286    -0.70998079
        70.38216400    -0.74391323
        68.86766815    -0.77866584
        67.36277771    -0.81386334
        65.86724854    -0.84997326
        64.38139343    -0.88747293
        62.90562820    -0.92563897
        61.44079590    -0.96515626
        59.98844910    -1.00618374
        58.55003738    -1.04824674
        57.12689590    -1.09202921
        55.72058105    -1.13663709
        54.33233261    -1.18309438
        52.96345901    -1.23014796
        51.61502457    -1.27885139
        50.28754425    -1.32791150
        48.98143387    -1.37764561
        47.69705200    -1.42842400
        46.43448257    -1.47783172
        45.19316101    -1.52882326
        43.97304916    -1.57913840
        42.77333069    -1.62827837
        41.59355545    -1.67746174
        40.43305206    -1.72559750
        39.29103851    -1.77093995
        38.16682053    -1.81703627
        37.05958557    -1.86023247
        35.96868515    -1.90117586
        34.89351273    -1.94101560
        33.83336639    -1.97770917
        32.78792572    -2.01316571
        31.75651169    -2.04633617
        30.73876572    -2.07608247
        29.73446846    -2.10287189
        28.74344635    -2.12967467
        27.76552963    -2.15005422
        26.80067444    -2.17048240
        25.84890366    -2.18679714
        24.91033745    -2.20130873
        23.98517227    -2.21178222
        23.07361794    -2.22033620
        22.17584801    -2.22485447
        21.29218864    -2.22891808
        20.42289162    -2.22422171
        19.56821060    -2.22357917
        18.72848511    -2.21597004
        17.90397835    -2.20521665
        17.09488869    -2.18914557
        16.30133820    -2.17502642
        15.52348614    -2.15274787
        14.76151466    -2.12783265
        14.01548100    -2.10162973
        13.28549194    -2.07055974
        12.57167053    -2.03349733
        11.87408924    -1.99803698
        11.19277287    -1.95356834
        10.52788448    -1.90932214
         9.87967682    -1.85987389
         9.24835396    -1.80874884
         8.63424206    -1.75455940
         8.03781986    -1.69460738
         7.45956373    -1.63267696
         6.90015316    -1.56334007
         6.36030865    -1.50056422
         5.84094381    -1.44593441
         5.34295368    -1.40688932
         4.86730242    -1.33413184
         4.41496372    -1.26350939
         3.98681378    -1.19767272
         3.58360362    -1.12934387
         3.20587564    -1.06071675
         2.85390902    -0.99688727
         2.52767253    -0.92879862
         2.22683716    -0.86508209
         1.95078826    -0.79631287
         1.69864595    -0.73351485
         1.46935964    -0.67002195
         1.26172006    -0.60009617
         1.07446492    -0.53491026
         0.90631706    -0.46891424
         0.75600928    -0.40290150
         0.62234163    -0.33302984
         0.50420856    -0.26641747
         0.40059033    -0.19650446
         0.31056979    -0.12746356
         0.23334134    -0.05483055
         0.16817728     0.01616388
         0.11444299     0.08528208
         0.07160433     0.15693752
         0.03914080     0.22568373
         0.01662635     0.29342744
         0.00375996     0.36184016
         0.00002561     0.42902514
         0.00509396     0.49182191
         0.01923222     0.55598563
         0.04287294     0.61341250
         0.07641368     0.67112452
         0.12035634     0.72410494
         0.17522518     0.77660334
         0.24156520     0.81841683
         0.32001504     0.86062127
         0.41128016     0.89499670
         0.51615137     0.92630738
         0.63551205     0.95170361
         0.77033436     0.97126621
         0.92169279     0.98586386
         1.09074295     0.99569333
         1.27871001     0.99972582
         1.48688364     0.99881065
