  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T27                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.24000000E+02    -0.10283782E+01     0.14570485E+00     0.16000000E+02    -0.12099896E-01     0.99796927E+00     0.32481253E-01     0.14379478E+00      88     0.75073726E-01
-0.23000002E+02    -0.98602557E+00     0.13779001E+00     0.16000000E+02    -0.20757021E-01     0.99765730E+00     0.34179080E-01     0.13584059E+00      89     0.67752108E-01
-0.21500002E+02    -0.91997713E+00     0.12532800E+00     0.16000000E+02    -0.33738166E-01     0.99693000E+00     0.36576893E-01     0.12332492E+00      90     0.60823578E-01
-0.20500000E+02    -0.87094402E+00     0.11734891E+00     0.16000000E+02    -0.42135723E-01     0.99537277E+00     0.39018568E-01     0.11532290E+00      91     0.54339148E-01
-0.19500000E+02    -0.83508217E+00     0.11074966E+00     0.16000000E+02    -0.44670090E-01     0.61017257E+00     0.40789787E-01     0.10746130E+00      92     0.48335075E-01
-0.19000002E+02    -0.78037155E+00     0.11170407E+00     0.16000000E+02    -0.49534332E-01     0.56943727E+00     0.42611070E-01     0.10836687E+00      93     0.42829528E-01
-0.18000000E+02    -0.76802093E+00     0.10034001E+00     0.16000000E+02    -0.52154940E-01     0.53815657E+00     0.44911578E-01     0.96837312E-01      93     0.42829528E-01
-0.17500000E+02    -0.72710633E+00     0.98963037E-01     0.16000000E+02    -0.56005653E-01     0.52259004E+00     0.46537980E-01     0.95443673E-01      94     0.37822437E-01
-0.17000002E+02    -0.70508552E+00     0.96404396E-01     0.16000000E+02    -0.57780035E-01     0.50853205E+00     0.48132807E-01     0.92843808E-01      94     0.37822437E-01
-0.16500000E+02    -0.68767273E+00     0.93252033E-01     0.16000000E+02    -0.59850711E-01     0.49900544E+00     0.49572781E-01     0.89644477E-01      95     0.33297669E-01
-0.16000002E+02    -0.66436708E+00     0.90731531E-01     0.16000000E+02    -0.61587524E-01     0.49068615E+00     0.51192399E-01     0.87086745E-01      95     0.33297669E-01
-0.15500001E+02    -0.64577818E+00     0.87901056E-01     0.16000000E+02    -0.63466631E-01     0.48121217E+00     0.53395234E-01     0.84222443E-01      96     0.29227415E-01
-0.15000001E+02    -0.62746453E+00     0.84873617E-01     0.16000000E+02    -0.65395191E-01     0.47368467E+00     0.55016913E-01     0.81155002E-01      96     0.29227415E-01
-0.14500000E+02    -0.60148537E+00     0.82809746E-01     0.16000000E+02    -0.66871732E-01     0.46765548E+00     0.56923222E-01     0.79068251E-01      97     0.25576653E-01
-0.14000001E+02    -0.58320338E+00     0.79982430E-01     0.16000000E+02    -0.68686873E-01     0.45963964E+00     0.59297398E-01     0.76207124E-01      97     0.25576653E-01
-0.13500001E+02    -0.55876905E+00     0.77835478E-01     0.16000000E+02    -0.70140123E-01     0.45438477E+00     0.61811939E-01     0.74044272E-01      98     0.22307370E-01
-0.13000001E+02    -0.53810030E+00     0.75260274E-01     0.16000000E+02    -0.71766585E-01     0.44724232E+00     0.64607807E-01     0.71438104E-01      98     0.22307370E-01
-0.12500001E+02    -0.52013934E+00     0.72309390E-01     0.16000000E+02    -0.73407464E-01     0.44281149E+00     0.67764752E-01     0.68469077E-01      99     0.19381767E-01
-0.12000000E+02    -0.49383259E+00     0.70105329E-01     0.16000000E+02    -0.74687757E-01     0.43712655E+00     0.70765659E-01     0.66245794E-01      99     0.19381767E-01
-0.11500001E+02    -0.47569013E+00     0.66830993E-01     0.16000000E+02    -0.76177686E-01     0.43296158E+00     0.74552521E-01     0.62960930E-01     100     0.16763927E-01
-0.11000001E+02    -0.45874298E+00     0.63119113E-01     0.16000000E+02    -0.77625096E-01     0.42879573E+00     0.79703733E-01     0.59233330E-01     100     0.16763927E-01
-0.10500001E+02    -0.44170725E+00     0.59156161E-01     0.16000000E+02    -0.79001606E-01     0.42344877E+00     0.84642105E-01     0.55252150E-01     101     0.14421528E-01
-0.10000001E+02    -0.42580995E+00     0.54807965E-01     0.16000000E+02    -0.80304973E-01     0.41945681E+00     0.88895462E-01     0.50887592E-01     101     0.14421528E-01
-0.95000010E+01    -0.41543704E+00     0.49687505E-01     0.16000000E+02    -0.81570461E-01     0.41579556E+00     0.97211622E-01     0.45763150E-01     102     0.12325595E-01
-0.90000000E+01    -0.41202691E+00     0.43580338E-01     0.16000000E+02    -0.82700484E-01     0.41126573E+00     0.10802020E+00     0.39659347E-01     102     0.12325595E-01
-0.85000019E+01    -0.42152187E+00     0.35650883E-01     0.16000000E+02    -0.83853096E-01     0.40964302E+00     0.11739122E+00     0.31713471E-01     103     0.10451236E-01
-0.80000010E+01    -0.46757260E+00     0.24021087E-01     0.16000000E+02    -0.84038310E-01     0.40615228E+00     0.12186940E+00     0.20001007E-01     103     0.10451236E-01
-0.75000005E+01    -0.40920037E+00     0.74427207E-02     0.16000000E+02    -0.13319254E+00     0.40175459E+00     0.27279666E+00     0.34739003E-02     104     0.87768603E-02
-0.70000014E+01    -0.34230033E+00     0.70781172E-02     0.16000000E+02    -0.13594207E+00     0.39780450E+00     0.29861355E+00     0.31863744E-02     105     0.72842813E-02
-0.65000010E+01    -0.27730247E+00     0.69734766E-02     0.16000000E+02    -0.13791108E+00     0.39241672E+00     0.30843365E+00     0.30794037E-02     106     0.59582922E-02
-0.60000000E+01    -0.21241632E+00     0.69037210E-02     0.16000000E+02    -0.13976932E+00     0.38836274E+00     0.31476593E+00     0.30070245E-02     107     0.47860891E-02
-0.55000014E+01    -0.14773548E+00     0.68616825E-02     0.16000000E+02    -0.14154251E+00     0.38451356E+00     0.32058385E+00     0.29559901E-02     108     0.37573036E-02
-0.50000010E+01    -0.83368301E-01     0.68544894E-02     0.16000000E+02    -0.14319479E+00     0.37927216E+00     0.32531354E+00     0.29262397E-02     109     0.28634572E-02
-0.45000000E+01    -0.18817523E-01     0.68400279E-02     0.16000000E+02    -0.14486744E+00     0.37602443E+00     0.32904208E+00     0.29046093E-02     110     0.20977957E-02
-0.40000014E+01     0.45391567E-01     0.68549775E-02     0.16000000E+02    -0.14643157E+00     0.37238267E+00     0.33318576E+00     0.28983844E-02     111     0.14551239E-02
-0.35000007E+01     0.10982803E+00     0.68548149E-02     0.16000000E+02    -0.14806113E+00     0.36785138E+00     0.33884585E+00     0.28971182E-02     112     0.93188853E-03
-0.30000000E+01     0.17391603E+00     0.68864147E-02     0.16000000E+02    -0.14954299E+00     0.36471102E+00     0.34104371E+00     0.29119877E-02     114     0.23333222E-03
-0.25000012E+01     0.23773853E+00     0.69363108E-02     0.16000000E+02    -0.15094839E+00     0.36128128E+00     0.34260285E+00     0.29333946E-02     115     0.60354974E-04
-0.20000007E+01     0.30168843E+00     0.69790101E-02     0.16000000E+02    -0.15238084E+00     0.35716221E+00     0.34492466E+00     0.29631066E-02     116     0.43318187E-06
-0.15000000E+01     0.36560914E+00     0.70246519E-02     0.16000000E+02    -0.15379280E+00     0.35424802E+00     0.34723616E+00     0.30017439E-02     117     0.38301725E-04
-0.10000012E+01     0.42918056E+00     0.70910710E-02     0.16000000E+02    -0.15510894E+00     0.35101649E+00     0.34905335E+00     0.30493634E-02     118     0.16620255E-03
-0.50000060E+00     0.49260929E+00     0.71653621E-02     0.16000000E+02    -0.15636903E+00     0.34707499E+00     0.35050517E+00     0.31057252E-02     119     0.38239817E-03
 0.00000000E+00     0.55614960E+00     0.72335671E-02     0.16000000E+02    -0.15765125E+00     0.34441638E+00     0.35282245E+00     0.31668707E-02     120     0.69524674E-03
 0.49999887E+00     0.61943179E+00     0.73156785E-02     0.16000000E+02    -0.15888032E+00     0.34146333E+00     0.35542482E+00     0.32413993E-02     121     0.11120313E-02
 0.99999946E+00     0.68246484E+00     0.74098357E-02     0.16000000E+02    -0.16003580E+00     0.33746833E+00     0.35738048E+00     0.33242186E-02     122     0.16372061E-02
 0.14999983E+01     0.74553293E+00     0.74994718E-02     0.16000000E+02    -0.16117397E+00     0.33515039E+00     0.35914031E+00     0.34111994E-02     123     0.22752350E-02
 0.19999989E+01     0.80827475E+00     0.76048947E-02     0.16000000E+02    -0.16224359E+00     0.33241615E+00     0.36125487E+00     0.35074884E-02     124     0.30308000E-02
 0.24999995E+01     0.87078744E+00     0.77217203E-02     0.16000000E+02    -0.16327085E+00     0.32872683E+00     0.36411288E+00     0.36182245E-02     125     0.39082086E-02
 0.29999983E+01     0.93337631E+00     0.78317393E-02     0.16000000E+02    -0.16428921E+00     0.32624143E+00     0.36620212E+00     0.37344368E-02     126     0.49119266E-02
 0.34999990E+01     0.99467361E+00     0.79986257E-02     0.16000000E+02    -0.16505684E+00     0.31759849E+00     0.36811915E+00     0.38647773E-02     127     0.60465392E-02
 0.39999995E+01     0.10557872E+01     0.81707677E-02     0.16000000E+02    -0.16578005E+00     0.30972248E+00     0.37032473E+00     0.40053087E-02     128     0.73172259E-02
 0.44999986E+01     0.11169934E+01     0.83372081E-02     0.16000000E+02    -0.16651978E+00     0.30308339E+00     0.37335891E+00     0.41600806E-02     129     0.87298052E-02
 0.49999990E+01     0.11772568E+01     0.85422834E-02     0.16000000E+02    -0.16707158E+00     0.29375666E+00     0.37560323E+00     0.43326640E-02     130     0.10290815E-01
 0.54999995E+01     0.12365875E+01     0.87846061E-02     0.16000000E+02    -0.16743617E+00     0.28277808E+00     0.37758255E+00     0.45271134E-02     131     0.12008118E-01
 0.60000000E+01     0.12939787E+01     0.91182338E-02     0.16000000E+02    -0.16744849E+00     0.26440498E+00     0.38006282E+00     0.47746603E-02     132     0.13890646E-01
 0.69999981E+01     0.13776699E+01     0.11462145E-01     0.16000000E+02    -0.16186784E+00     0.12070636E+00     0.38516495E+00     0.63619325E-02     133     0.15949279E-01
 0.74999986E+01     0.14236195E+01     0.12346051E-01     0.16000000E+02    -0.15977818E+00     0.84705338E-01     0.38710946E+00     0.70553818E-02     134     0.18196480E-01
 0.79999990E+01     0.14735453E+01     0.12961221E-01     0.16000000E+02    -0.15840435E+00     0.69892727E-01     0.38981408E+00     0.75892857E-02     135     0.20647235E-01
 0.85000000E+01     0.15224737E+01     0.13563995E-01     0.16000000E+02    -0.15684308E+00     0.58972709E-01     0.39300179E+00     0.81380233E-02     136     0.23319028E-01
 0.90000000E+01     0.15700748E+01     0.14165331E-01     0.16000000E+02    -0.15502053E+00     0.52424606E-01     0.39537561E+00     0.87029655E-02     137     0.26232461E-01
 0.94999971E+01     0.16151097E+01     0.14831064E-01     0.16000000E+02    -0.15272179E+00     0.46650246E-01     0.39740750E+00     0.93326699E-02     137     0.26232461E-01
 0.99999981E+01     0.16578528E+01     0.15545821E-01     0.16000000E+02    -0.15001328E+00     0.42613983E-01     0.40056020E+00     0.10030362E-01     138     0.29411485E-01
 0.10499999E+02     0.16882538E+01     0.16500913E-01     0.16000000E+02    -0.14487006E+00     0.39763574E-01     0.40352246E+00     0.10986933E-01     139     0.32884005E-01
 0.10999999E+02     0.17232808E+01     0.17498307E-01     0.16000000E+02    -0.14082967E+00     0.37089158E-01     0.40591097E+00     0.11983998E-01     139     0.32884005E-01
 0.11500000E+02     0.17552317E+01     0.18717501E-01     0.16000000E+02    -0.13642380E+00     0.34463529E-01     0.40822536E+00     0.13198959E-01     140     0.36681708E-01
 0.12000000E+02     0.17866900E+01     0.20066051E-01     0.16000000E+02    -0.13213503E+00     0.32450188E-01     0.41175422E+00     0.14564060E-01     140     0.36681708E-01
 0.12499997E+02     0.18122581E+01     0.21808581E-01     0.16000000E+02    -0.12712702E+00     0.30493699E-01     0.41424137E+00     0.16321942E-01     141     0.40840175E-01
 0.12999998E+02     0.18356344E+01     0.23820002E-01     0.16000000E+02    -0.12211983E+00     0.29195786E-01     0.41652837E+00     0.18362977E-01     141     0.40840175E-01
 0.13499999E+02     0.18512805E+01     0.26504211E-01     0.16000000E+02    -0.11653506E+00     0.27816286E-01     0.41905877E+00     0.21087762E-01     142     0.45398347E-01
 0.13999999E+02     0.18564515E+01     0.30148104E-01     0.16000000E+02    -0.11058084E+00     0.26752014E-01     0.42224911E+00     0.24799138E-01     142     0.45398347E-01
 0.14500000E+02     0.18436942E+01     0.35442900E-01     0.16000000E+02    -0.10471603E+00     0.25843462E-01     0.42415911E+00     0.30209327E-01     142     0.45398347E-01
 0.15000001E+02     0.17751660E+01     0.45682840E-01     0.16000000E+02    -0.10092583E+00     0.25669971E-01     0.42503080E+00     0.40722180E-01     142     0.45398347E-01
 0.15499998E+02     0.15011461E+01     0.72118714E-01     0.16000000E+02    -0.10438036E+00     0.28170720E-01     0.42076737E+00     0.67883082E-01     141     0.40840175E-01
 0.15999998E+02     0.14184303E+01     0.87266266E-01     0.16000000E+02    -0.10850646E+00     0.28168127E-01     0.42158851E+00     0.83273746E-01     141     0.40840175E-01
 0.16499998E+02     0.13942696E+01     0.96669033E-01     0.16000000E+02    -0.11206804E+00     0.27649336E-01     0.42242995E+00     0.92796214E-01     141     0.40840175E-01
 0.17000000E+02     0.13809088E+01     0.10500465E+00     0.16000000E+02    -0.11578099E+00     0.26838467E-01     0.42475930E+00     0.10122762E+00     141     0.40840175E-01
 0.17500000E+02     0.13797815E+01     0.11175019E+00     0.16000000E+02    -0.11898624E+00     0.25887653E-01     0.42627844E+00     0.10804127E+00     142     0.45398347E-01
 0.18000000E+02     0.13829684E+01     0.11784429E+00     0.16000000E+02    -0.12216144E+00     0.24833390E-01     0.42812249E+00     0.11419427E+00     142     0.45398347E-01
 0.18499998E+02     0.13878978E+01     0.12378485E+00     0.16000000E+02    -0.12551779E+00     0.23951950E-01     0.43087956E+00     0.12019055E+00     142     0.45398347E-01
 0.18999998E+02     0.13938416E+01     0.12953424E+00     0.16000000E+02    -0.12902981E+00     0.22802921E-01     0.43370557E+00     0.12599242E+00     143     0.50397053E-01
 0.19499998E+02     0.14029919E+01     0.13490279E+00     0.16000000E+02    -0.13252763E+00     0.22171218E-01     0.43485409E+00     0.13141210E+00     143     0.50397053E-01
 0.20000000E+02     0.14140269E+01     0.13990697E+00     0.16000000E+02    -0.13595328E+00     0.21621982E-01     0.43768236E+00     0.13646427E+00     143     0.50397053E-01
