  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T36_v2             
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.12000000E+02    -0.26755586E+00     0.93713582E-01     0.13000000E+02    -0.40065955E-01     0.50000001E-01     0.50000001E-01     0.88578001E-01      96     0.93848221E-02
-0.11500001E+02    -0.23684953E+00     0.90831339E-01     0.13000000E+02    -0.42101063E-01     0.50000001E-01     0.50000001E-01     0.85668243E-01      97     0.81395451E-02
-0.10500001E+02    -0.16768965E+00     0.88266715E-01     0.13000000E+02    -0.47298070E-01     0.50000001E-01     0.50000001E-01     0.83078466E-01      98     0.69827633E-02
-0.10000001E+02    -0.14392515E+00     0.85058212E-01     0.13000000E+02    -0.49182184E-01     0.50000001E-01     0.50000001E-01     0.79827875E-01      99     0.59136827E-02
-0.95000010E+01    -0.11406858E+00     0.82675487E-01     0.13000000E+02    -0.50820157E-01     0.50000001E-01     0.50000001E-01     0.77416606E-01     100     0.49317535E-02
-0.90000000E+01    -0.89437209E-01     0.79611719E-01     0.13000000E+02    -0.52595910E-01     0.50000001E-01     0.50000001E-01     0.74313551E-01     101     0.40368550E-02
-0.85000019E+01    -0.62290072E-01     0.76965459E-01     0.13000000E+02    -0.54246116E-01     0.50000001E-01     0.50000001E-01     0.71633942E-01     102     0.32292409E-02
-0.80000010E+01    -0.33684317E-01     0.74499078E-01     0.13000000E+02    -0.55814300E-01     0.50000001E-01     0.50000001E-01     0.69137782E-01     102     0.32292409E-02
-0.75000005E+01    -0.83977962E-02     0.71799904E-01     0.13000000E+02    -0.57445966E-01     0.50000001E-01     0.50000001E-01     0.66402636E-01     103     0.25093697E-02
-0.70000014E+01     0.22492224E-01     0.69806479E-01     0.13000000E+02    -0.58854539E-01     0.50000001E-01     0.50000001E-01     0.64385220E-01     104     0.18779053E-02
-0.65000010E+01     0.48875038E-01     0.67475505E-01     0.13000000E+02    -0.60357463E-01     0.50000001E-01     0.50000001E-01     0.62022001E-01     105     0.13357622E-02
-0.60000000E+01     0.74722022E-01     0.65265879E-01     0.13000000E+02    -0.61818644E-01     0.50000001E-01     0.50000001E-01     0.59780113E-01     105     0.13357622E-02
-0.55000014E+01     0.10641020E+00     0.63600793E-01     0.13000000E+02    -0.63061781E-01     0.50000001E-01     0.50000001E-01     0.58095142E-01     106     0.88392844E-03
