  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T21                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21400000E+02    -0.97614473E+00     0.88698246E-01     0.10000000E+02    -0.70006505E-01     0.57581753E+00     0.70436955E-02     0.85445665E-01      97     0.75851202E-01
-0.21100002E+02    -0.97096413E+00     0.83982527E-01     0.10000000E+02    -0.76154269E-01     0.57345247E+00     0.70713060E-02     0.80664836E-01      97     0.75851202E-01
-0.21000000E+02    -0.97772133E+00     0.81666134E-01     0.10000000E+02    -0.78229889E-01     0.57287574E+00     0.71405894E-02     0.78311443E-01      97     0.75851202E-01
-0.20900000E+02    -0.98199302E+00     0.79752102E-01     0.10000000E+02    -0.79937980E-01     0.57234955E+00     0.71274545E-02     0.76364562E-01      97     0.75851202E-01
-0.20800001E+02    -0.98484063E+00     0.78055874E-01     0.10000000E+02    -0.81421703E-01     0.57162583E+00     0.71376222E-02     0.74639842E-01      97     0.75851202E-01
-0.20700003E+02    -0.98795396E+00     0.76375291E-01     0.10000000E+02    -0.82888246E-01     0.57100713E+00     0.72095175E-02     0.72932683E-01      97     0.75851202E-01
-0.20600000E+02    -0.99019778E+00     0.74753605E-01     0.10000000E+02    -0.84250145E-01     0.57027954E+00     0.71591819E-02     0.71282089E-01      97     0.75851202E-01
-0.20500000E+02    -0.99072093E+00     0.73492683E-01     0.10000000E+02    -0.85331708E-01     0.56957024E+00     0.72267060E-02     0.70000693E-01      97     0.75851202E-01
-0.20400002E+02    -0.99319488E+00     0.71894117E-01     0.10000000E+02    -0.86673066E-01     0.56888205E+00     0.72501148E-02     0.68374850E-01      97     0.75851202E-01
-0.20300001E+02    -0.99169683E+00     0.70892088E-01     0.10000000E+02    -0.87485373E-01     0.56435663E+00     0.72130673E-02     0.67342572E-01      97     0.75851202E-01
