  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T21                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      2.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21200001E+02    -0.51087707E+00     0.20616463E+00     0.20000000E+01     0.20997794E-01     0.10000000E+01     0.97131282E-02     0.20504403E+00     101     0.47999002E-01
-0.21100002E+02    -0.50537044E+00     0.20634606E+00     0.20000000E+01     0.20351829E-01     0.10000000E+01     0.96903220E-02     0.20523393E+00     102     0.41903831E-01
-0.21000000E+02    -0.50119323E+00     0.20560378E+00     0.20000000E+01     0.19338239E-01     0.10000000E+01     0.96744411E-02     0.20449501E+00     102     0.41903831E-01
-0.20900000E+02    -0.49657968E+00     0.20514597E+00     0.20000000E+01     0.18393442E-01     0.10000000E+01     0.96493438E-02     0.20404159E+00     102     0.41903831E-01
-0.20800001E+02    -0.49245259E+00     0.20467329E+00     0.20000000E+01     0.17567333E-01     0.10000000E+01     0.96234074E-02     0.20357439E+00     102     0.41903831E-01
-0.20700003E+02    -0.48886013E+00     0.20396431E+00     0.20000000E+01     0.16696706E-01     0.10000000E+01     0.96029658E-02     0.20286904E+00     102     0.41903831E-01
-0.20600000E+02    -0.48368171E+00     0.20369382E+00     0.20000000E+01     0.15735008E-01     0.10000000E+01     0.95535936E-02     0.20260203E+00     102     0.41903831E-01
-0.20500000E+02    -0.47926277E+00     0.20321502E+00     0.20000000E+01     0.14950822E-01     0.10000000E+01     0.95115397E-02     0.20213021E+00     102     0.41903831E-01
-0.20400002E+02    -0.47493428E+00     0.20248425E+00     0.20000000E+01     0.13927426E-01     0.10000000E+01     0.94704768E-02     0.20140290E+00     102     0.41903831E-01
-0.20300001E+02    -0.47005570E+00     0.20222400E+00     0.20000000E+01     0.13089552E-01     0.10000000E+01     0.94172703E-02     0.20114852E+00     102     0.41903831E-01
-0.20200001E+02    -0.46606028E+00     0.20141180E+00     0.20000000E+01     0.12074398E-01     0.10000000E+01     0.93776369E-02     0.20034006E+00     102     0.41903831E-01
-0.20100000E+02    -0.46157998E+00     0.20099857E+00     0.20000000E+01     0.11248115E-01     0.10000000E+01     0.92929434E-02     0.19993120E+00     102     0.41903831E-01
-0.20000002E+02    -0.45683596E+00     0.20061125E+00     0.20000000E+01     0.10382138E-01     0.10000000E+01     0.91671422E-02     0.19954911E+00     102     0.41903831E-01
-0.19800001E+02    -0.48548320E+00     0.18031330E+00     0.20000000E+01     0.23731001E-03     0.10000000E+01     0.12488539E-01     0.17915709E+00     102     0.41903831E-01
-0.19700001E+02    -0.48199308E+00     0.17924529E+00     0.20000000E+01    -0.82804583E-03     0.10000000E+01     0.12567399E-01     0.17809376E+00     102     0.41903831E-01
-0.18700001E+02    -0.49630541E+00     0.14880592E+00     0.20000000E+01    -0.23932423E-01     0.75921726E+00     0.15053899E-01     0.14652796E+00     102     0.41903831E-01
-0.18200001E+02    -0.76246369E+00     0.75091287E-01     0.20000000E+01    -0.79271778E-01     0.99911684E+00     0.15293033E-01     0.72664633E-01     100     0.54487012E-01
-0.18000000E+02    -0.76110637E+00     0.70166238E-01     0.20000000E+01    -0.85214376E-01     0.81829637E+00     0.15416435E-01     0.67059420E-01     100     0.54487012E-01
-0.17900000E+02    -0.76349688E+00     0.68309799E-01     0.20000000E+01    -0.86614616E-01     0.79959905E+00     0.15465781E-01     0.65089568E-01     100     0.54487012E-01
-0.17800001E+02    -0.76555759E+00     0.66526413E-01     0.20000000E+01    -0.87967187E-01     0.78569490E+00     0.15520619E-01     0.63214548E-01     100     0.54487012E-01
-0.17700001E+02    -0.76685905E+00     0.65255329E-01     0.20000000E+01    -0.89205906E-01     0.77453172E+00     0.15574877E-01     0.61866343E-01     100     0.54487012E-01
-0.17600000E+02    -0.76715845E+00     0.64138263E-01     0.20000000E+01    -0.90273663E-01     0.76500493E+00     0.15632365E-01     0.60683087E-01     100     0.54487012E-01
-0.17500000E+02    -0.76806939E+00     0.62934369E-01     0.20000000E+01    -0.91398157E-01     0.75702876E+00     0.15692543E-01     0.59416667E-01     100     0.54487012E-01
-0.17400002E+02    -0.76782608E+00     0.61886188E-01     0.20000000E+01    -0.92341557E-01     0.74961883E+00     0.15739219E-01     0.58310084E-01     100     0.54487012E-01
-0.17300001E+02    -0.76806861E+00     0.60764700E-01     0.20000000E+01    -0.93330048E-01     0.74320310E+00     0.15803121E-01     0.57136953E-01     100     0.54487012E-01
-0.17200001E+02    -0.76704729E+00     0.59824411E-01     0.20000000E+01    -0.94142199E-01     0.73708969E+00     0.15874041E-01     0.56147132E-01     100     0.54487012E-01
-0.17100000E+02    -0.76598960E+00     0.58856037E-01     0.20000000E+01    -0.94946884E-01     0.73148996E+00     0.15947346E-01     0.55133164E-01     100     0.54487012E-01
-0.17000002E+02    -0.76547658E+00     0.57849023E-01     0.20000000E+01    -0.95782161E-01     0.72641701E+00     0.16001116E-01     0.54078594E-01     100     0.54487012E-01
-0.16900000E+02    -0.76368582E+00     0.56994658E-01     0.20000000E+01    -0.96464127E-01     0.71950185E+00     0.16062189E-01     0.53174544E-01     100     0.54487012E-01
-0.16800001E+02    -0.76209474E+00     0.56114670E-01     0.20000000E+01    -0.97166866E-01     0.71506959E+00     0.16142786E-01     0.52253556E-01     100     0.54487012E-01
-0.16700001E+02    -0.76023960E+00     0.55286102E-01     0.20000000E+01    -0.97822390E-01     0.71086192E+00     0.16200397E-01     0.51387560E-01     100     0.54487012E-01
-0.16600000E+02    -0.75737226E+00     0.54546576E-01     0.20000000E+01    -0.98377265E-01     0.70665377E+00     0.16289603E-01     0.50606165E-01     100     0.54487012E-01
-0.16500000E+02    -0.75554967E+00     0.53695485E-01     0.20000000E+01    -0.99017933E-01     0.70296258E+00     0.16337454E-01     0.49721774E-01     100     0.54487012E-01
-0.16400002E+02    -0.75242990E+00     0.53004351E-01     0.20000000E+01    -0.99543624E-01     0.69923669E+00     0.16401650E-01     0.48996881E-01     100     0.54487012E-01
-0.16300001E+02    -0.74903190E+00     0.52336771E-01     0.20000000E+01    -0.10001873E+00     0.69557393E+00     0.16472060E-01     0.48287541E-01     101     0.47999002E-01
-0.16200001E+02    -0.74553502E+00     0.51662840E-01     0.20000000E+01    -0.10049776E+00     0.69223553E+00     0.16529988E-01     0.47586288E-01     101     0.47999002E-01
