  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T27                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      5.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23600000E+02    -0.99280149E+00     0.15619685E+00     0.50000000E+01     0.62567936E-02     0.99872822E+00     0.38892478E-01     0.15393932E+00      89     0.67752108E-01
-0.23500000E+02    -0.98968774E+00     0.15523054E+00     0.50000000E+01     0.53246086E-02     0.99870068E+00     0.39071240E-01     0.15296540E+00      89     0.67752108E-01
-0.23000002E+02    -0.97056413E+00     0.15092333E+00     0.50000000E+01     0.77190273E-03     0.99855125E+00     0.40049955E-01     0.14862837E+00      89     0.67752108E-01
-0.22900002E+02    -0.96619737E+00     0.15012570E+00     0.50000000E+01    -0.18383621E-03     0.99851394E+00     0.40114045E-01     0.14782348E+00      89     0.67752108E-01
-0.22800001E+02    -0.96115577E+00     0.14929001E+00     0.50000000E+01    -0.11969085E-02     0.99846423E+00     0.40295504E-01     0.14698006E+00      90     0.60823578E-01
-0.22700001E+02    -0.95715684E+00     0.14860421E+00     0.50000000E+01    -0.18473273E-02     0.99845058E+00     0.40519692E-01     0.14628823E+00      90     0.60823578E-01
-0.22600002E+02    -0.95419848E+00     0.14752339E+00     0.50000000E+01    -0.27834154E-02     0.99842346E+00     0.40718164E-01     0.14519534E+00      90     0.60823578E-01
-0.22500000E+02    -0.95030147E+00     0.14660807E+00     0.50000000E+01    -0.36396175E-02     0.99839592E+00     0.40771298E-01     0.14426640E+00      90     0.60823578E-01
-0.22400002E+02    -0.94538677E+00     0.14587122E+00     0.50000000E+01    -0.45626424E-02     0.99835551E+00     0.40918525E-01     0.14352268E+00      90     0.60823578E-01
-0.22300001E+02    -0.94152147E+00     0.14518987E+00     0.50000000E+01    -0.51317597E-02     0.99833709E+00     0.41055676E-01     0.14283593E+00      90     0.60823578E-01
