  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T30                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23900000E+02    -0.93221426E+00     0.16382532E+00     0.10000000E+02     0.84364116E-02     0.52453977E+00     0.39260812E-01     0.16025279E+00      87     0.64913616E-01
-0.23800001E+02    -0.92855746E+00     0.16314407E+00     0.10000000E+02     0.76314351E-02     0.53168517E+00     0.39748039E-01     0.15959081E+00      87     0.64913616E-01
-0.23500000E+02    -0.91348088E+00     0.16133362E+00     0.10000000E+02     0.53361589E-02     0.51908875E+00     0.39365679E-01     0.15772787E+00      87     0.64913616E-01
-0.23400002E+02    -0.91213214E+00     0.16040932E+00     0.10000000E+02     0.43762880E-02     0.51731312E+00     0.40781401E-01     0.15680858E+00      88     0.58372140E-01
-0.23200001E+02    -0.90769076E+00     0.15811916E+00     0.10000000E+02     0.22473801E-02     0.51439500E+00     0.41295350E-01     0.15449326E+00      88     0.58372140E-01
-0.23100000E+02    -0.90281779E+00     0.15746294E+00     0.10000000E+02     0.13907915E-02     0.50366831E+00     0.41466698E-01     0.15380460E+00      88     0.58372140E-01
-0.23000002E+02    -0.89857703E+00     0.15687962E+00     0.10000000E+02     0.81154116E-03     0.50742388E+00     0.41557927E-01     0.15322576E+00      88     0.58372140E-01
-0.22900002E+02    -0.89381099E+00     0.15622620E+00     0.10000000E+02     0.71930699E-05     0.50025433E+00     0.41808777E-01     0.15255383E+00      88     0.58372140E-01
-0.22800001E+02    -0.88923860E+00     0.15560046E+00     0.10000000E+02    -0.72163134E-03     0.49953148E+00     0.41975945E-01     0.15192188E+00      88     0.58372140E-01
-0.22700001E+02    -0.88468522E+00     0.15493405E+00     0.10000000E+02    -0.15034985E-02     0.49096194E+00     0.42357672E-01     0.15123047E+00      88     0.58372140E-01
-0.22600002E+02    -0.88035846E+00     0.15427838E+00     0.10000000E+02    -0.22217953E-02     0.49597305E+00     0.42511314E-01     0.15058342E+00      88     0.58372140E-01
