  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T30                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     18.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21500002E+02    -0.89412701E+00     0.13965581E+00     0.18000000E+02    -0.14403854E-01     0.66414309E+00     0.58794502E-01     0.13675258E+00      89     0.52287284E-01
-0.20000002E+02    -0.83659881E+00     0.12768787E+00     0.18000000E+02    -0.24720341E-01     0.55510706E+00     0.65799072E-01     0.12448004E+00      90     0.46679072E-01
-0.18500002E+02    -0.77172822E+00     0.11699018E+00     0.18000000E+02    -0.33272039E-01     0.50947642E+00     0.74231572E-01     0.11365722E+00      91     0.41550286E-01
-0.17500000E+02    -0.73731154E+00     0.10826139E+00     0.18000000E+02    -0.39102808E-01     0.48998576E+00     0.82198247E-01     0.10486599E+00      92     0.36888096E-01
-0.17000002E+02    -0.68965071E+00     0.10832918E+00     0.18000000E+02    -0.43673903E-01     0.48004222E+00     0.87423302E-01     0.10497648E+00      93     0.32668442E-01
-0.16500000E+02    -0.67776233E+00     0.10315810E+00     0.18000000E+02    -0.45912899E-01     0.47407502E+00     0.92136450E-01     0.99780560E-01      93     0.32668442E-01
-0.16000002E+02    -0.65720439E+00     0.10015876E+00     0.18000000E+02    -0.47719885E-01     0.46525532E+00     0.97454458E-01     0.96765243E-01      94     0.28860003E-01
-0.15500001E+02    -0.64811856E+00     0.96325025E-01     0.18000000E+02    -0.49842231E-01     0.46009690E+00     0.10509054E+00     0.92923947E-01      94     0.28860003E-01
-0.14500000E+02    -0.64452070E+00     0.82429297E-01     0.18000000E+02    -0.53261608E-01     0.45047987E+00     0.12328755E+00     0.79011977E-01      95     0.25427796E-01
-0.14000001E+02    -0.63002545E+00     0.84555574E-01     0.18000000E+02    -0.55909742E-01     0.44555938E+00     0.13455147E+00     0.81167348E-01      96     0.22336682E-01
-0.13500001E+02    -0.63191092E+00     0.80634415E-01     0.18000000E+02    -0.57827186E-01     0.43969619E+00     0.14896911E+00     0.77269994E-01      96     0.22336682E-01
