  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T33                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21000000E+02    -0.81457233E+00     0.14084961E+00     0.16000000E+02    -0.15487863E-01     0.54080003E+00     0.71877621E-01     0.13758501E+00      87     0.45182135E-01
-0.20000002E+02    -0.76860952E+00     0.13394395E+00     0.16000000E+02    -0.21985572E-01     0.51441789E+00     0.75865321E-01     0.13059394E+00      88     0.40837713E-01
-0.19000002E+02    -0.72284830E+00     0.12694395E+00     0.16000000E+02    -0.28158955E-01     0.49169120E+00     0.80610968E-01     0.12352256E+00      89     0.36834702E-01
-0.17000002E+02    -0.63139689E+00     0.11282662E+00     0.16000000E+02    -0.39262090E-01     0.45920405E+00     0.93033291E-01     0.10930810E+00      92     0.26666561E-01
-0.16500000E+02    -0.57461518E+00     0.11434783E+00     0.16000000E+02    -0.44565357E-01     0.45210591E+00     0.98105319E-01     0.11088856E+00      92     0.26666561E-01
-0.16000002E+02    -0.56023753E+00     0.10940593E+00     0.16000000E+02    -0.46769809E-01     0.44467533E+00     0.10217259E+00     0.10591283E+00      93     0.23817979E-01
-0.14500000E+02    -0.51889402E+00     0.95130473E-01     0.16000000E+02    -0.52767359E-01     0.43054339E+00     0.12367962E+00     0.91627814E-01      94     0.21205073E-01
-0.14000001E+02    -0.51154006E+00     0.89739315E-01     0.16000000E+02    -0.54762878E-01     0.42687944E+00     0.13398087E+00     0.86245596E-01      95     0.18808823E-01
-0.13500001E+02    -0.51255667E+00     0.83657250E-01     0.16000000E+02    -0.56702096E-01     0.42180049E+00     0.14885360E+00     0.80189146E-01      95     0.18808823E-01
