  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T24                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      6.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23900000E+02    -0.10655241E+01     0.15030161E+00     0.60000000E+01    -0.10094756E-02     0.99825257E+00     0.31008553E-01     0.14813665E+00      87     0.70922226E-01
-0.23800001E+02    -0.10626595E+01     0.14933775E+00     0.60000000E+01    -0.19062267E-02     0.99823445E+00     0.31135326E-01     0.14716560E+00      87     0.70922226E-01
-0.23500000E+02    -0.10588299E+01     0.14532948E+00     0.60000000E+01    -0.56085982E-02     0.99815047E+00     0.31666540E-01     0.14312072E+00      87     0.70922226E-01
-0.23400002E+02    -0.10561852E+01     0.14424308E+00     0.60000000E+01    -0.65687327E-02     0.99812365E+00     0.31929005E-01     0.14202790E+00      88     0.64354502E-01
-0.23300001E+02    -0.10530093E+01     0.14334740E+00     0.60000000E+01    -0.74952669E-02     0.99808747E+00     0.32059997E-01     0.14112593E+00      88     0.64354502E-01
-0.23200001E+02    -0.10504735E+01     0.14225918E+00     0.60000000E+01    -0.84551256E-02     0.99805999E+00     0.32278944E-01     0.14003211E+00      88     0.64354502E-01
-0.23100000E+02    -0.10479566E+01     0.14109956E+00     0.60000000E+01    -0.94827097E-02     0.99803776E+00     0.32101154E-01     0.13885510E+00      88     0.64354502E-01
-0.22900002E+02    -0.10408807E+01     0.13858090E+00     0.60000000E+01    -0.12298086E-01     0.99785548E+00     0.32328531E-01     0.13631393E+00      88     0.64354502E-01
-0.22800001E+02    -0.10392208E+01     0.13778079E+00     0.60000000E+01    -0.12755998E-01     0.99789524E+00     0.32584962E-01     0.13551034E+00      88     0.64354502E-01
-0.22700001E+02    -0.10346463E+01     0.13674191E+00     0.60000000E+01    -0.13996920E-01     0.99780214E+00     0.32726746E-01     0.13446377E+00      88     0.64354502E-01
