  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T27                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     20.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23700001E+02    -0.10229036E+01     0.14067043E+00     0.20000000E+02    -0.18222947E-01     0.99774665E+00     0.31755261E-01     0.13879256E+00      89     0.67752108E-01
-0.23600000E+02    -0.10176185E+01     0.13997859E+00     0.20000000E+02    -0.19158173E-01     0.99768019E+00     0.31982031E-01     0.13809985E+00      89     0.67752108E-01
-0.23500000E+02    -0.10122819E+01     0.13935082E+00     0.20000000E+02    -0.19908216E-01     0.99763566E+00     0.31886961E-01     0.13746791E+00      89     0.67752108E-01
-0.23400002E+02    -0.10074142E+01     0.13871165E+00     0.20000000E+02    -0.20618485E-01     0.99761337E+00     0.31990826E-01     0.13682713E+00      89     0.67752108E-01
-0.23300001E+02    -0.10023193E+01     0.13786590E+00     0.20000000E+02    -0.21786613E-01     0.99748504E+00     0.32592367E-01     0.13598363E+00      89     0.67752108E-01
-0.23200001E+02    -0.99860775E+00     0.13734491E+00     0.20000000E+02    -0.22087129E-01     0.99755007E+00     0.32503434E-01     0.13545898E+00      89     0.67752108E-01
-0.23100000E+02    -0.99378330E+00     0.13648257E+00     0.20000000E+02    -0.23153476E-01     0.99746794E+00     0.32729380E-01     0.13459319E+00      89     0.67752108E-01
-0.22900002E+02    -0.98884785E+00     0.13426264E+00     0.20000000E+02    -0.24997212E-01     0.99744093E+00     0.32870226E-01     0.13235125E+00      89     0.67752108E-01
-0.22800001E+02    -0.98392886E+00     0.13351773E+00     0.20000000E+02    -0.25920996E-01     0.99736011E+00     0.33269614E-01     0.13160527E+00      89     0.67752108E-01
-0.22700001E+02    -0.97913432E+00     0.13286392E+00     0.20000000E+02    -0.26669038E-01     0.99731922E+00     0.33647552E-01     0.13095166E+00      89     0.67752108E-01
-0.22600002E+02    -0.97259367E+00     0.13207495E+00     0.20000000E+02    -0.27934745E-01     0.99710083E+00     0.33929322E-01     0.13016289E+00      89     0.67752108E-01
-0.22500000E+02    -0.96829206E+00     0.13152489E+00     0.20000000E+02    -0.28297558E-01     0.99717391E+00     0.33761263E-01     0.12960881E+00      90     0.60823578E-01
-0.22400002E+02    -0.96334606E+00     0.13084149E+00     0.20000000E+02    -0.29036615E-01     0.99710715E+00     0.34063719E-01     0.12892531E+00      90     0.60823578E-01
-0.22300001E+02    -0.95909530E+00     0.13008864E+00     0.20000000E+02    -0.29816169E-01     0.99704587E+00     0.34519397E-01     0.12817514E+00      90     0.60823578E-01
-0.22200001E+02    -0.95360988E+00     0.12923223E+00     0.20000000E+02    -0.30962596E-01     0.99679095E+00     0.34584343E-01     0.12731123E+00      90     0.60823578E-01
-0.22000000E+02    -0.94941729E+00     0.12691186E+00     0.20000000E+02    -0.32849316E-01     0.99670953E+00     0.34931507E-01     0.12497856E+00      90     0.60823578E-01
-0.21900002E+02    -0.94477069E+00     0.12617406E+00     0.20000000E+02    -0.33653803E-01     0.99655843E+00     0.35320599E-01     0.12424389E+00      90     0.60823578E-01
