  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T30                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23900000E+02    -0.98630691E+00     0.16259205E+00     0.12000000E+02     0.10738032E-01     0.99847531E+00     0.52031964E-01     0.16070433E+00      87     0.64913616E-01
-0.23800001E+02    -0.98282689E+00     0.16176389E+00     0.12000000E+02     0.95425174E-02     0.99842018E+00     0.53664472E-01     0.15988658E+00      87     0.64913616E-01
-0.23700001E+02    -0.97808123E+00     0.16110937E+00     0.12000000E+02     0.88153025E-02     0.99840188E+00     0.53944662E-01     0.15923220E+00      87     0.64913616E-01
-0.23600000E+02    -0.97420090E+00     0.16030553E+00     0.12000000E+02     0.77566113E-02     0.99835509E+00     0.54426871E-01     0.15843223E+00      87     0.64913616E-01
-0.23500000E+02    -0.96904993E+00     0.15978424E+00     0.12000000E+02     0.71333158E-02     0.99834490E+00     0.54247722E-01     0.15790217E+00      87     0.64913616E-01
-0.23100000E+02    -0.95425010E+00     0.15564257E+00     0.12000000E+02     0.25704508E-02     0.99813235E+00     0.55534959E-01     0.15374188E+00      88     0.58372140E-01
-0.23000002E+02    -0.95050943E+00     0.15504386E+00     0.12000000E+02     0.18621053E-02     0.99812043E+00     0.56477740E-01     0.15314816E+00      88     0.58372140E-01
-0.22900002E+02    -0.94514549E+00     0.15437925E+00     0.12000000E+02     0.10014900E-02     0.99807209E+00     0.56674078E-01     0.15248157E+00      88     0.58372140E-01
-0.22800001E+02    -0.93962628E+00     0.15367365E+00     0.12000000E+02    -0.31770905E-05     0.99800372E+00     0.57231233E-01     0.15177479E+00      88     0.58372140E-01
-0.22700001E+02    -0.93341655E+00     0.15289834E+00     0.12000000E+02    -0.11913880E-02     0.99788499E+00     0.57612043E-01     0.15099813E+00      88     0.58372140E-01
-0.22200001E+02    -0.91624784E+00     0.14830661E+00     0.12000000E+02    -0.57293698E-02     0.99770099E+00     0.59698232E-01     0.14639287E+00      88     0.58372140E-01
-0.22100000E+02    -0.91192412E+00     0.14758323E+00     0.12000000E+02    -0.65620327E-02     0.99764538E+00     0.60363241E-01     0.14567390E+00      88     0.58372140E-01
-0.22000000E+02    -0.90500343E+00     0.14679165E+00     0.12000000E+02    -0.78424560E-02     0.99747109E+00     0.60675744E-01     0.14488040E+00      89     0.52287284E-01
-0.21900002E+02    -0.90063363E+00     0.14613096E+00     0.12000000E+02    -0.86238850E-02     0.99743062E+00     0.61438654E-01     0.14422303E+00      89     0.52287284E-01
-0.21800001E+02    -0.89385831E+00     0.14544523E+00     0.12000000E+02    -0.96118208E-02     0.99730325E+00     0.61116509E-01     0.14353094E+00      89     0.52287284E-01
-0.21700001E+02    -0.88742250E+00     0.14437956E+00     0.12000000E+02    -0.11206529E-01     0.99700195E+00     0.62315520E-01     0.14246523E+00      89     0.52287284E-01
-0.21400000E+02    -0.87742645E+00     0.14132683E+00     0.12000000E+02    -0.14014691E-01     0.99684918E+00     0.63504986E-01     0.13939475E+00      89     0.52287284E-01
-0.21300001E+02    -0.87190831E+00     0.14054793E+00     0.12000000E+02    -0.15014388E-01     0.99669844E+00     0.63988395E-01     0.13861699E+00      89     0.52287284E-01
-0.21200001E+02    -0.86437154E+00     0.13967685E+00     0.12000000E+02    -0.16538797E-01     0.99620605E+00     0.64521991E-01     0.13774616E+00      89     0.52287284E-01
