  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T36                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      6.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.15700001E+02    -0.42251894E+00     0.12492739E+00     0.60000000E+01    -0.19320553E-01     0.50000001E-01     0.50000001E-01     0.11948583E+00      91     0.17008992E-01
-0.15600002E+02    -0.41692999E+00     0.12417319E+00     0.60000000E+01    -0.19973764E-01     0.50000001E-01     0.50000001E-01     0.11872270E+00      91     0.17008992E-01
-0.15500001E+02    -0.41186166E+00     0.12346923E+00     0.60000000E+01    -0.20518122E-01     0.50000001E-01     0.50000001E-01     0.11801101E+00      91     0.17008992E-01
-0.15400001E+02    -0.40795931E+00     0.12248849E+00     0.60000000E+01    -0.21205554E-01     0.50000001E-01     0.50000001E-01     0.11701708E+00      91     0.17008992E-01
-0.15300001E+02    -0.40334275E+00     0.12164963E+00     0.60000000E+01    -0.21877093E-01     0.50000001E-01     0.50000001E-01     0.11616830E+00      91     0.17008992E-01
-0.15200001E+02    -0.39733371E+00     0.12101405E+00     0.60000000E+01    -0.22426218E-01     0.50000001E-01     0.50000001E-01     0.11552393E+00      91     0.17008992E-01
-0.15100001E+02    -0.39168674E+00     0.12037504E+00     0.60000000E+01    -0.22973539E-01     0.50000001E-01     0.50000001E-01     0.11487787E+00      92     0.15287923E-01
-0.15000001E+02    -0.38617706E+00     0.11976177E+00     0.60000000E+01    -0.23457292E-01     0.50000001E-01     0.50000001E-01     0.11425832E+00      92     0.15287923E-01
-0.14900000E+02    -0.38025218E+00     0.11913694E+00     0.60000000E+01    -0.24006112E-01     0.50000001E-01     0.50000001E-01     0.11362570E+00      92     0.15287923E-01
-0.14800000E+02    -0.37445185E+00     0.11850720E+00     0.60000000E+01    -0.24554737E-01     0.50000001E-01     0.50000001E-01     0.11298906E+00      92     0.15287923E-01
-0.14700002E+02    -0.36875355E+00     0.11784276E+00     0.60000000E+01    -0.25118066E-01     0.50000001E-01     0.50000001E-01     0.11231677E+00      92     0.15287923E-01
-0.14600000E+02    -0.36352786E+00     0.11710233E+00     0.60000000E+01    -0.25689630E-01     0.50000001E-01     0.50000001E-01     0.11156689E+00      92     0.15287923E-01
-0.14500000E+02    -0.35868460E+00     0.11631364E+00     0.60000000E+01    -0.26242333E-01     0.50000001E-01     0.50000001E-01     0.11076983E+00      92     0.15287923E-01
-0.14400001E+02    -0.35488835E+00     0.11530508E+00     0.60000000E+01    -0.26933996E-01     0.50000001E-01     0.50000001E-01     0.10974766E+00      93     0.13668647E-01
-0.14300001E+02    -0.34898162E+00     0.11467309E+00     0.60000000E+01    -0.27477214E-01     0.50000001E-01     0.50000001E-01     0.10910796E+00      93     0.13668647E-01
-0.14200001E+02    -0.34322786E+00     0.11403206E+00     0.60000000E+01    -0.27990388E-01     0.50000001E-01     0.50000001E-01     0.10845985E+00      93     0.13668647E-01
-0.14100001E+02    -0.33744675E+00     0.11342644E+00     0.60000000E+01    -0.28461868E-01     0.50000001E-01     0.50000001E-01     0.10784717E+00      93     0.13668647E-01
-0.14000001E+02    -0.33147261E+00     0.11282032E+00     0.60000000E+01    -0.28970575E-01     0.50000001E-01     0.50000001E-01     0.10723381E+00      93     0.13668647E-01
-0.13900002E+02    -0.32561901E+00     0.11217908E+00     0.60000000E+01    -0.29501842E-01     0.50000001E-01     0.50000001E-01     0.10658524E+00      93     0.13668647E-01
-0.13800001E+02    -0.31996047E+00     0.11152843E+00     0.60000000E+01    -0.30007940E-01     0.50000001E-01     0.50000001E-01     0.10592726E+00      93     0.13668647E-01
-0.13700001E+02    -0.31425425E+00     0.11088586E+00     0.60000000E+01    -0.30509604E-01     0.50000001E-01     0.50000001E-01     0.10527752E+00      94     0.12147127E-01
-0.13600001E+02    -0.30930892E+00     0.11012782E+00     0.60000000E+01    -0.31030813E-01     0.50000001E-01     0.50000001E-01     0.10451038E+00      94     0.12147127E-01
