  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T27                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.24000000E+02    -0.99962384E+00     0.14541338E+00     0.16000000E+02    -0.13760932E-01     0.52226663E+00     0.24651418E-01     0.14198768E+00      89     0.67752108E-01
-0.23000002E+02    -0.96178788E+00     0.13774221E+00     0.16000000E+02    -0.21608589E-01     0.49097338E+00     0.25792714E-01     0.13419527E+00      89     0.67752108E-01
-0.22000000E+02    -0.92097723E+00     0.13036761E+00     0.16000000E+02    -0.28709520E-01     0.47913238E+00     0.26930613E-01     0.12674327E+00      90     0.60823578E-01
-0.21000000E+02    -0.87995917E+00     0.12310331E+00     0.16000000E+02    -0.35231583E-01     0.46294889E+00     0.28089652E-01     0.11939915E+00      91     0.54339148E-01
-0.20500000E+02    -0.80729580E+00     0.12699856E+00     0.16000000E+02    -0.42407870E-01     0.45700672E+00     0.29343454E-01     0.12337065E+00      91     0.54339148E-01
-0.18500002E+02    -0.77286029E+00     0.10489449E+00     0.16000000E+02    -0.49651694E-01     0.50000001E-01     0.32527823E-01     0.10044884E+00      93     0.42829528E-01
-0.18000000E+02    -0.72190028E+00     0.10530998E+00     0.16000000E+02    -0.53850368E-01     0.50000001E-01     0.33453703E-01     0.10089123E+00      94     0.37822437E-01
-0.17000002E+02    -0.68359011E+00     0.97394034E-01     0.16000000E+02    -0.57813901E-01     0.50000001E-01     0.35655633E-01     0.92903428E-01      94     0.37822437E-01
-0.16500000E+02    -0.66159916E+00     0.94316021E-01     0.16000000E+02    -0.59611443E-01     0.50000001E-01     0.36539964E-01     0.89788266E-01      95     0.33297669E-01
-0.16000002E+02    -0.64243168E+00     0.91374815E-01     0.16000000E+02    -0.61511632E-01     0.50000001E-01     0.38236957E-01     0.86813927E-01      95     0.33297669E-01
-0.15500001E+02    -0.62396008E+00     0.88329859E-01     0.16000000E+02    -0.63461900E-01     0.50000001E-01     0.39081816E-01     0.83727263E-01      96     0.29227415E-01
-0.15000001E+02    -0.59885037E+00     0.86075276E-01     0.16000000E+02    -0.64982615E-01     0.50000001E-01     0.40151522E-01     0.81444964E-01      96     0.29227415E-01
-0.14500000E+02    -0.57882947E+00     0.83114706E-01     0.16000000E+02    -0.66811815E-01     0.50000001E-01     0.40957596E-01     0.78441814E-01      97     0.25576653E-01
