  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T36_v2             
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000002E+02    -0.84491265E+00     0.13551614E+00     0.13000000E+02     0.62654662E-03     0.48426056E+00     0.12838036E+00     0.13237752E+00      82     0.38310602E-01
-0.19000002E+02    -0.82083470E+00     0.12542582E+00     0.13000000E+02    -0.68061496E-02     0.47601974E+00     0.14008296E+00     0.12226699E+00      83     0.35290882E-01
-0.17500000E+02    -0.78053439E+00     0.11127355E+00     0.13000000E+02    -0.16440285E-01     0.46119112E+00     0.16114914E+00     0.10810938E+00      85     0.29829627E-01
-0.16500000E+02    -0.76206928E+00     0.10070513E+00     0.13000000E+02    -0.22512615E-01     0.45186737E+00     0.17632681E+00     0.97525984E-01      86     0.27352797E-01
-0.16000002E+02    -0.75328124E+00     0.95387287E-01     0.13000000E+02    -0.25371373E-01     0.44837466E+00     0.18408617E+00     0.92207082E-01      87     0.25025984E-01
-0.15000001E+02    -0.71080261E+00     0.92030920E-01     0.13000000E+02    -0.31473115E-01     0.43919766E+00     0.19975686E+00     0.88876240E-01      88     0.22837475E-01
-0.14500000E+02    -0.70471543E+00     0.87827429E-01     0.13000000E+02    -0.33638533E-01     0.43630496E+00     0.20716351E+00     0.84666669E-01      89     0.20777214E-01
-0.14000001E+02    -0.69985622E+00     0.83624378E-01     0.13000000E+02    -0.35732672E-01     0.43345523E+00     0.21529023E+00     0.80456860E-01      89     0.20777214E-01
-0.13500001E+02    -0.70488441E+00     0.78652292E-01     0.13000000E+02    -0.38028520E-01     0.43076178E+00     0.22312337E+00     0.75456440E-01      90     0.18836718E-01
-0.13000001E+02    -0.69029301E+00     0.76010875E-01     0.13000000E+02    -0.39750054E-01     0.42638990E+00     0.23117296E+00     0.72816513E-01      90     0.18836718E-01
-0.12500001E+02    -0.69439489E+00     0.72447851E-01     0.13000000E+02    -0.41872244E-01     0.42367336E+00     0.23817679E+00     0.69228940E-01      91     0.17008992E-01
-0.12000000E+02    -0.68697846E+00     0.70375673E-01     0.13000000E+02    -0.43671511E-01     0.42119202E+00     0.24444501E+00     0.67145281E-01      92     0.15287923E-01
-0.11500001E+02    -0.68018252E+00     0.68316780E-01     0.13000000E+02    -0.45400016E-01     0.41836232E+00     0.25128543E+00     0.65072097E-01      92     0.15287923E-01
-0.11000001E+02    -0.67826575E+00     0.50266620E-01     0.13000000E+02    -0.46792608E-01     0.41571787E+00     0.25787586E+00     0.46992194E-01      93     0.13668647E-01
-0.10500001E+02    -0.66954494E+00     0.47058109E-01     0.13000000E+02    -0.48337497E-01     0.41169220E+00     0.26388684E+00     0.43755859E-01      93     0.13668647E-01
-0.10000001E+02    -0.66472483E+00     0.43512989E-01     0.13000000E+02    -0.49771715E-01     0.40964338E+00     0.27021071E+00     0.40194906E-01      94     0.12147127E-01
-0.95000010E+01    -0.68117350E+00     0.38559951E-01     0.13000000E+02    -0.51144768E-01     0.40757006E+00     0.27659139E+00     0.35203513E-01      94     0.12147127E-01
-0.90000000E+01    -0.71332538E+00     0.32828365E-01     0.13000000E+02    -0.51971085E-01     0.40571061E+00     0.28354833E+00     0.29425448E-01      95     0.10720035E-01
-0.80000010E+01    -0.68097430E+00     0.10268649E-01     0.13000000E+02    -0.87419800E-01     0.39942652E+00     0.29809517E+00     0.64712036E-02      96     0.93848221E-02
-0.75000005E+01    -0.60254043E+00     0.95315920E-02     0.13000000E+02    -0.93045078E-01     0.39610669E+00     0.30160630E+00     0.56886300E-02      97     0.81395451E-02
-0.70000014E+01    -0.52839875E+00     0.91368202E-02     0.13000000E+02    -0.97259544E-01     0.39290985E+00     0.30513409E+00     0.52723465E-02      98     0.69827633E-02
-0.65000010E+01    -0.45620075E+00     0.88889375E-02     0.13000000E+02    -0.10081691E+00     0.38929719E+00     0.30804336E+00     0.50001359E-02      99     0.59136827E-02
-0.60000000E+01    -0.38488531E+00     0.87093581E-02     0.13000000E+02    -0.10404664E+00     0.38605285E+00     0.31091478E+00     0.48024622E-02     101     0.40368550E-02
-0.55000014E+01    -0.31309843E+00     0.85186930E-02     0.13000000E+02    -0.10738671E+00     0.38331610E+00     0.31406847E+00     0.46020010E-02     102     0.32292409E-02
-0.50000010E+01    -0.24252664E+00     0.84092701E-02     0.13000000E+02    -0.11034586E+00     0.38036624E+00     0.31637499E+00     0.44691521E-02     103     0.25093697E-02
-0.45000000E+01    -0.17225139E+00     0.83252564E-02     0.13000000E+02    -0.11318652E+00     0.37701929E+00     0.31914487E+00     0.43629892E-02     104     0.18779053E-02
-0.40000014E+01    -0.10133652E+00     0.82130181E-02     0.13000000E+02    -0.11616653E+00     0.37447020E+00     0.32225507E+00     0.42517395E-02     105     0.13357622E-02
-0.35000007E+01    -0.31339172E-01     0.81578866E-02     0.13000000E+02    -0.11887255E+00     0.37194610E+00     0.32454252E+00     0.41823415E-02     106     0.88392844E-03
-0.30000000E+01     0.38208012E-01     0.81332130E-02     0.13000000E+02    -0.12144169E+00     0.36921641E+00     0.32716835E+00     0.41357409E-02     107     0.52343018E-03
-0.25000012E+01     0.10812639E+00     0.80968831E-02     0.13000000E+02    -0.12409312E+00     0.36611032E+00     0.32988659E+00     0.40894374E-02     108     0.25559045E-03
-0.20000007E+01     0.17791562E+00     0.80656875E-02     0.13000000E+02    -0.12666520E+00     0.36388284E+00     0.33260286E+00     0.40603792E-02     110     0.45936558E-05
-0.15000000E+01     0.24684837E+00     0.80804760E-02     0.13000000E+02    -0.12899941E+00     0.36162218E+00     0.33456221E+00     0.40608677E-02     111     0.22930024E-04
-0.10000012E+01     0.31622511E+00     0.80844127E-02     0.13000000E+02    -0.13145730E+00     0.35917354E+00     0.33791322E+00     0.40565948E-02     112     0.13751644E-03
-0.50000060E+00     0.38516971E+00     0.81116837E-02     0.13000000E+02    -0.13378792E+00     0.35591176E+00     0.34032008E+00     0.40732548E-02     113     0.34877725E-03
 0.00000000E+00     0.45393416E+00     0.81384089E-02     0.13000000E+02    -0.13601962E+00     0.35417032E+00     0.34283459E+00     0.41029234E-02     114     0.65841351E-03
 0.49999887E+00     0.52257097E+00     0.81783812E-02     0.13000000E+02    -0.13822185E+00     0.35214907E+00     0.34551415E+00     0.41397694E-02     115     0.10680658E-02
