  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO-2026-HT1-T18                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      1.50000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.19500000E+02    -0.65252882E+00     0.19977619E+00     0.15000000E+01     0.41096933E-01     0.10000000E+01     0.93380418E-02     0.19849677E+00     103     0.40209584E-01
-0.19400002E+02    -0.64817327E+00     0.19939667E+00     0.15000000E+01     0.40305700E-01     0.10000000E+01     0.92935432E-02     0.19812247E+00     103     0.40209584E-01
-0.19300001E+02    -0.64320850E+00     0.19930319E+00     0.15000000E+01     0.39575856E-01     0.10000000E+01     0.92543168E-02     0.19803643E+00     103     0.40209584E-01
-0.19200001E+02    -0.63870889E+00     0.19893405E+00     0.15000000E+01     0.38726870E-01     0.10000000E+01     0.91941506E-02     0.19766930E+00     104     0.34667194E-01
-0.17300001E+02    -0.10107933E+01     0.62144913E-01     0.15000000E+01    -0.66703856E-01     0.10000000E+01     0.12062437E-01     0.59142012E-01     100     0.59696004E-01
-0.17200001E+02    -0.10195735E+01     0.60170341E-01     0.15000000E+01    -0.68206511E-01     0.10000000E+01     0.12063050E-01     0.57107966E-01     100     0.59696004E-01
-0.17100000E+02    -0.10296892E+01     0.58166545E-01     0.15000000E+01    -0.69620810E-01     0.10000000E+01     0.12078148E-01     0.55043709E-01     100     0.59696004E-01
-0.17000002E+02    -0.10392774E+01     0.56270961E-01     0.15000000E+01    -0.70832498E-01     0.10000000E+01     0.12118013E-01     0.53091373E-01     100     0.59696004E-01
-0.16900000E+02    -0.10473390E+01     0.54576237E-01     0.15000000E+01    -0.71827076E-01     0.10000000E+01     0.12142459E-01     0.51343568E-01     100     0.59696004E-01
-0.16800001E+02    -0.10549001E+01     0.52987225E-01     0.15000000E+01    -0.72694398E-01     0.10000000E+01     0.12191908E-01     0.49705058E-01     100     0.59696004E-01
-0.16700001E+02    -0.10606256E+01     0.51585212E-01     0.15000000E+01    -0.73392577E-01     0.10000000E+01     0.12220445E-01     0.48257895E-01     100     0.59696004E-01
-0.16600000E+02    -0.10661360E+01     0.50190482E-01     0.15000000E+01    -0.74032716E-01     0.10000000E+01     0.12269857E-01     0.46819542E-01     100     0.59696004E-01
-0.16500000E+02    -0.10712495E+01     0.48843469E-01     0.15000000E+01    -0.74611135E-01     0.10000000E+01     0.12327812E-01     0.45430373E-01     100     0.59696004E-01
-0.16400002E+02    -0.10745571E+01     0.47642812E-01     0.15000000E+01    -0.75088859E-01     0.10000000E+01     0.12363274E-01     0.44191707E-01     100     0.59696004E-01
