  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO-2026-HT1-T18                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      1.50000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.18400000E+02    -0.11207196E+01     0.82924917E-01     0.15000000E+01    -0.42872347E-01     0.98971480E+00     0.80500674E-02     0.80016665E-01      99     0.66996463E-01
-0.18300001E+02    -0.11468201E+01     0.77001855E-01     0.15000000E+01    -0.46874728E-01     0.98971480E+00     0.80200909E-02     0.73965035E-01      99     0.66996463E-01
-0.18200001E+02    -0.11662254E+01     0.73138952E-01     0.15000000E+01    -0.49069185E-01     0.98971480E+00     0.80110813E-02     0.70012048E-01      99     0.66996463E-01
-0.18100002E+02    -0.11789056E+01     0.70056058E-01     0.15000000E+01    -0.50822932E-01     0.98971480E+00     0.80158580E-02     0.66859290E-01      99     0.66996463E-01
-0.18000000E+02    -0.11892514E+01     0.67425139E-01     0.15000000E+01    -0.52206181E-01     0.98971480E+00     0.79997657E-02     0.64164959E-01      99     0.66996463E-01
-0.17900000E+02    -0.11987230E+01     0.65018021E-01     0.15000000E+01    -0.53399019E-01     0.98971480E+00     0.80222124E-02     0.61700199E-01      99     0.66996463E-01
-0.17800001E+02    -0.12099950E+01     0.62965728E-01     0.15000000E+01    -0.53981278E-01     0.98971480E+00     0.80205323E-02     0.59592672E-01      99     0.66996463E-01
-0.17700001E+02    -0.12167584E+01     0.61015386E-01     0.15000000E+01    -0.54810673E-01     0.98971480E+00     0.80380356E-02     0.57593826E-01      99     0.66996463E-01
-0.17600000E+02    -0.12225884E+01     0.59207331E-01     0.15000000E+01    -0.55535637E-01     0.98971480E+00     0.80352537E-02     0.55738892E-01      99     0.66996463E-01
-0.17500000E+02    -0.12301323E+01     0.57519864E-01     0.15000000E+01    -0.55935107E-01     0.98971480E+00     0.80591571E-02     0.54006126E-01      99     0.66996463E-01
-0.17400002E+02    -0.12347941E+01     0.55887487E-01     0.15000000E+01    -0.56505732E-01     0.98971480E+00     0.80770962E-02     0.52330498E-01      99     0.66996463E-01
-0.17300001E+02    -0.12390199E+01     0.54320794E-01     0.15000000E+01    -0.57018247E-01     0.98971480E+00     0.80940258E-02     0.50722472E-01      99     0.66996463E-01
-0.17200001E+02    -0.12422674E+01     0.52897390E-01     0.15000000E+01    -0.57435744E-01     0.98971480E+00     0.81078131E-02     0.49260270E-01      99     0.66996463E-01
-0.17100000E+02    -0.12451872E+01     0.51525045E-01     0.15000000E+01    -0.57819363E-01     0.98971480E+00     0.81530334E-02     0.47852010E-01      99     0.66996463E-01
-0.17000002E+02    -0.12480019E+01     0.50164972E-01     0.15000000E+01    -0.58180653E-01     0.98971480E+00     0.81703756E-02     0.46454452E-01      99     0.66996463E-01
-0.16900000E+02    -0.12517158E+01     0.48952371E-01     0.15000000E+01    -0.58250308E-01     0.98971480E+00     0.81729619E-02     0.45204129E-01      99     0.66996463E-01
-0.16800001E+02    -0.12535353E+01     0.47725312E-01     0.15000000E+01    -0.58521368E-01     0.98971480E+00     0.82122413E-02     0.43942969E-01      99     0.66996463E-01
-0.16600000E+02    -0.12621306E+01     0.45535147E-01     0.15000000E+01    -0.58166675E-01     0.98765242E+00     0.82660988E-02     0.41682716E-01      99     0.66996463E-01
