  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO-2026-HT1-T27                
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      1.50000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.24000000E+02    -0.10346001E+01     0.16587916E+00     0.15000000E+01     0.21828977E-01     0.99972147E+00     0.18924212E-01     0.16248515E+00      90     0.74356169E-01
-0.23900000E+02    -0.10345716E+01     0.16647638E+00     0.15000000E+01     0.21727804E-01     0.99972147E+00     0.18865928E-01     0.16306935E+00      90     0.74356169E-01
-0.23800001E+02    -0.10350529E+01     0.16759028E+00     0.15000000E+01     0.21828208E-01     0.99972147E+00     0.18992051E-01     0.16416924E+00      90     0.74356169E-01
-0.23700001E+02    -0.10309449E+01     0.16715199E+00     0.15000000E+01     0.21191411E-01     0.99972147E+00     0.19088540E-01     0.16371876E+00      90     0.74356169E-01
-0.23600000E+02    -0.10275439E+01     0.16669114E+00     0.15000000E+01     0.20609690E-01     0.99972147E+00     0.19172177E-01     0.16324914E+00      90     0.74356169E-01
-0.23500000E+02    -0.10283363E+01     0.16768050E+00     0.15000000E+01     0.20776477E-01     0.99972147E+00     0.19154781E-01     0.16422532E+00      90     0.74356169E-01
-0.23400002E+02    -0.10201424E+01     0.16581412E+00     0.15000000E+01     0.19388529E-01     0.99972147E+00     0.19307226E-01     0.16234910E+00      90     0.74356169E-01
-0.23300001E+02    -0.10205469E+01     0.16666521E+00     0.15000000E+01     0.19486254E-01     0.99972147E+00     0.19425329E-01     0.16318592E+00      90     0.74356169E-01
-0.23200001E+02    -0.10129539E+01     0.16484678E+00     0.15000000E+01     0.18121233E-01     0.99972147E+00     0.19489683E-01     0.16135925E+00      90     0.74356169E-01
-0.23000002E+02    -0.10110145E+01     0.16513576E+00     0.15000000E+01     0.17674185E-01     0.99840188E+00     0.19649640E-01     0.16163205E+00      91     0.67116134E-01
-0.22900002E+02    -0.10073687E+01     0.16469362E+00     0.15000000E+01     0.17117048E-01     0.99840188E+00     0.19754568E-01     0.16118297E+00      91     0.67116134E-01
-0.22700001E+02    -0.10030100E+01     0.16481391E+00     0.15000000E+01     0.16636023E-01     0.99728942E+00     0.19831674E-01     0.16129027E+00      91     0.67116134E-01
-0.22600002E+02    -0.10034801E+01     0.16574283E+00     0.15000000E+01     0.16925143E-01     0.99728942E+00     0.19943221E-01     0.16220535E+00      91     0.67116134E-01
-0.22500000E+02    -0.99992782E+00     0.16524310E+00     0.15000000E+01     0.16432559E-01     0.99728942E+00     0.19894881E-01     0.16169885E+00      91     0.67116134E-01
-0.22400002E+02    -0.99660933E+00     0.16487755E+00     0.15000000E+01     0.16023930E-01     0.99728942E+00     0.20169800E-01     0.16133247E+00      91     0.67116134E-01
-0.22300001E+02    -0.99280870E+00     0.16439950E+00     0.15000000E+01     0.15434669E-01     0.99728942E+00     0.20056246E-01     0.16084331E+00      91     0.67116134E-01
-0.22200001E+02    -0.98535341E+00     0.16275126E+00     0.15000000E+01     0.14217002E-01     0.99728942E+00     0.20202173E-01     0.15919463E+00      91     0.67116134E-01
-0.22100000E+02    -0.98905212E+00     0.16435970E+00     0.15000000E+01     0.15079241E-01     0.99728942E+00     0.20269729E-01     0.16078922E+00      91     0.67116134E-01
-0.22000000E+02    -0.98585904E+00     0.16385366E+00     0.15000000E+01     0.14618106E-01     0.99728942E+00     0.20360440E-01     0.16027473E+00      91     0.67116134E-01
-0.21900002E+02    -0.97932577E+00     0.16253969E+00     0.15000000E+01     0.13584360E-01     0.99728942E+00     0.20446707E-01     0.15895614E+00      91     0.67116134E-01
-0.21800001E+02    -0.97877216E+00     0.16294669E+00     0.15000000E+01     0.13773737E-01     0.99728942E+00     0.20594891E-01     0.15935658E+00      91     0.67116134E-01
-0.21500002E+02    -0.97200239E+00     0.16294108E+00     0.15000000E+01     0.13411619E-01     0.99711627E+00     0.20902488E-01     0.15932731E+00      92     0.60260147E-01
-0.21400000E+02    -0.96830738E+00     0.16250043E+00     0.15000000E+01     0.13050547E-01     0.99711627E+00     0.21020334E-01     0.15888081E+00      92     0.60260147E-01
-0.21300001E+02    -0.96482193E+00     0.16214991E+00     0.15000000E+01     0.12740148E-01     0.99711627E+00     0.21164278E-01     0.15852450E+00      92     0.60260147E-01
-0.21200001E+02    -0.96111482E+00     0.16177970E+00     0.15000000E+01     0.12351733E-01     0.99711627E+00     0.21183459E-01     0.15814580E+00      92     0.60260147E-01
