  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO-2026-HT1-T36                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =      1.50000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.23900000E+02    -0.85872966E+00     0.17957838E+00     0.15000000E+01     0.64143673E-01     0.10000000E+01     0.36027391E-01     0.17596450E+00      82     0.55048723E-01
-0.23800001E+02    -0.85309243E+00     0.17924468E+00     0.15000000E+01     0.63335672E-01     0.10000000E+01     0.36351245E-01     0.17563574E+00      82     0.55048723E-01
-0.23700001E+02    -0.84755594E+00     0.17891282E+00     0.15000000E+01     0.62581092E-01     0.10000000E+01     0.36446594E-01     0.17530319E+00      82     0.55048723E-01
-0.23600000E+02    -0.84216714E+00     0.17883964E+00     0.15000000E+01     0.61844073E-01     0.10000000E+01     0.36566969E-01     0.17523175E+00      82     0.55048723E-01
-0.23500000E+02    -0.83646101E+00     0.17836161E+00     0.15000000E+01     0.60966499E-01     0.10000000E+01     0.36729343E-01     0.17475356E+00      82     0.55048723E-01
-0.23400002E+02    -0.83116776E+00     0.17836155E+00     0.15000000E+01     0.60319103E-01     0.10000000E+01     0.36855184E-01     0.17475685E+00      82     0.55048723E-01
-0.23300001E+02    -0.82492918E+00     0.17770162E+00     0.15000000E+01     0.59384946E-01     0.10000000E+01     0.37215013E-01     0.17409383E+00      82     0.55048723E-01
-0.23200001E+02    -0.81968588E+00     0.17745182E+00     0.15000000E+01     0.58702610E-01     0.10000000E+01     0.37219040E-01     0.17384337E+00      82     0.55048723E-01
-0.23100000E+02    -0.81440455E+00     0.17729416E+00     0.15000000E+01     0.57976104E-01     0.10000000E+01     0.37259493E-01     0.17368606E+00      82     0.55048723E-01
-0.23000002E+02    -0.80819440E+00     0.17668225E+00     0.15000000E+01     0.57064161E-01     0.10000000E+01     0.37671249E-01     0.17306794E+00      83     0.49685318E-01
-0.22900002E+02    -0.80262411E+00     0.17635222E+00     0.15000000E+01     0.56328379E-01     0.10000000E+01     0.37855171E-01     0.17273505E+00      83     0.49685318E-01
-0.22800001E+02    -0.79706186E+00     0.17610346E+00     0.15000000E+01     0.55617642E-01     0.10000000E+01     0.37895825E-01     0.17248575E+00      83     0.49685318E-01
-0.22700001E+02    -0.79106516E+00     0.17569244E+00     0.15000000E+01     0.54871637E-01     0.10000000E+01     0.38086638E-01     0.17206831E+00      83     0.49685318E-01
-0.22600002E+02    -0.78540385E+00     0.17545848E+00     0.15000000E+01     0.54126039E-01     0.10000000E+01     0.38105413E-01     0.17183670E+00      83     0.49685318E-01
-0.22500000E+02    -0.77948582E+00     0.17516874E+00     0.15000000E+01     0.53374711E-01     0.10000000E+01     0.38233630E-01     0.17154323E+00      83     0.49685318E-01
-0.22400002E+02    -0.77299291E+00     0.17458288E+00     0.15000000E+01     0.52490909E-01     0.10000000E+01     0.38416009E-01     0.17094827E+00      83     0.49685318E-01
-0.22300001E+02    -0.76697117E+00     0.17413250E+00     0.15000000E+01     0.51722288E-01     0.10000000E+01     0.38465165E-01     0.17049471E+00      83     0.49685318E-01
-0.22200001E+02    -0.76204193E+00     0.17421930E+00     0.15000000E+01     0.51132787E-01     0.10000000E+01     0.38861040E-01     0.17059793E+00      84     0.44949658E-01
-0.22100000E+02    -0.75730616E+00     0.17432635E+00     0.15000000E+01     0.50542414E-01     0.10000000E+01     0.39173119E-01     0.17071529E+00      84     0.44949658E-01
-0.22000000E+02    -0.75227880E+00     0.17420296E+00     0.15000000E+01     0.49894646E-01     0.10000000E+01     0.39602023E-01     0.17060547E+00      84     0.44949658E-01
-0.21900002E+02    -0.74708176E+00     0.17400612E+00     0.15000000E+01     0.49256340E-01     0.10000000E+01     0.39762903E-01     0.17041497E+00      84     0.44949658E-01
-0.21800001E+02    -0.74134511E+00     0.17380428E+00     0.15000000E+01     0.48443075E-01     0.10000000E+01     0.40002849E-01     0.17022651E+00      84     0.44949658E-01
-0.21700001E+02    -0.73599344E+00     0.17351781E+00     0.15000000E+01     0.47818072E-01     0.10000000E+01     0.40268686E-01     0.16994599E+00      84     0.44949658E-01
-0.21600000E+02    -0.73051912E+00     0.17324595E+00     0.15000000E+01     0.47130406E-01     0.10000000E+01     0.40544704E-01     0.16968171E+00      84     0.44949658E-01
-0.21500002E+02    -0.72479284E+00     0.17291057E+00     0.15000000E+01     0.46400473E-01     0.10000000E+01     0.40640794E-01     0.16934542E+00      85     0.40733963E-01
-0.21400000E+02    -0.71914464E+00     0.17257588E+00     0.15000000E+01     0.45689166E-01     0.10000000E+01     0.40944573E-01     0.16902050E+00      84     0.44949658E-01
-0.21300001E+02    -0.71358711E+00     0.17234580E+00     0.15000000E+01     0.44958141E-01     0.10000000E+01     0.41008890E-01     0.16879258E+00      85     0.40733963E-01
-0.21200001E+02    -0.70798427E+00     0.17194530E+00     0.15000000E+01     0.44264834E-01     0.10000000E+01     0.41158173E-01     0.16839376E+00      85     0.40733963E-01
-0.21100002E+02    -0.70234865E+00     0.17157212E+00     0.15000000E+01     0.43533295E-01     0.10000000E+01     0.41315950E-01     0.16802233E+00      85     0.40733963E-01
-0.21000000E+02    -0.69636208E+00     0.17114857E+00     0.15000000E+01     0.42760517E-01     0.10000000E+01     0.41587893E-01     0.16759993E+00      85     0.40733963E-01
-0.20900000E+02    -0.69121146E+00     0.17091560E+00     0.15000000E+01     0.42102631E-01     0.10000000E+01     0.41911118E-01     0.16737154E+00      85     0.40733963E-01
-0.20800001E+02    -0.68508643E+00     0.17040910E+00     0.15000000E+01     0.41329071E-01     0.10000000E+01     0.42280830E-01     0.16686529E+00      86     0.36951054E-01
-0.20700003E+02    -0.67972505E+00     0.17010987E+00     0.15000000E+01     0.40669907E-01     0.10000000E+01     0.42136021E-01     0.16656634E+00      85     0.40733963E-01
-0.20600000E+02    -0.67350304E+00     0.16962299E+00     0.15000000E+01     0.39886344E-01     0.10000000E+01     0.42699650E-01     0.16607741E+00      86     0.36951054E-01
-0.20500000E+02    -0.66759884E+00     0.16921714E+00     0.15000000E+01     0.39238863E-01     0.10000000E+01     0.42902686E-01     0.16567445E+00      86     0.36951054E-01
-0.20400002E+02    -0.66196632E+00     0.16893166E+00     0.15000000E+01     0.38549945E-01     0.10000000E+01     0.42814020E-01     0.16538762E+00      86     0.36951054E-01
-0.20300001E+02    -0.65526986E+00     0.16843288E+00     0.15000000E+01     0.37772350E-01     0.10000000E+01     0.43169655E-01     0.16488701E+00      86     0.36951054E-01
-0.20200001E+02    -0.64931571E+00     0.16806899E+00     0.15000000E+01     0.37062995E-01     0.10000000E+01     0.43334231E-01     0.16452163E+00      86     0.36951054E-01
-0.20100000E+02    -0.64277190E+00     0.16752596E+00     0.15000000E+01     0.36320504E-01     0.10000000E+01     0.43620653E-01     0.16397622E+00      86     0.36951054E-01
-0.20000002E+02    -0.63775098E+00     0.16737112E+00     0.15000000E+01     0.35724275E-01     0.10000000E+01     0.43531764E-01     0.16382585E+00      86     0.36951054E-01
-0.19900000E+02    -0.63060963E+00     0.16681683E+00     0.15000000E+01     0.34895223E-01     0.10000000E+01     0.43775041E-01     0.16326833E+00      87     0.33531472E-01
-0.19800001E+02    -0.62708461E+00     0.16683632E+00     0.15000000E+01     0.34399152E-01     0.10000000E+01     0.44792339E-01     0.16331118E+00      87     0.33531472E-01
-0.19700001E+02    -0.62237507E+00     0.16662769E+00     0.15000000E+01     0.33860199E-01     0.10000000E+01     0.45067474E-01     0.16311119E+00      87     0.33531472E-01
-0.19600000E+02    -0.61661118E+00     0.16624480E+00     0.15000000E+01     0.33121016E-01     0.10000000E+01     0.45417100E-01     0.16273677E+00      87     0.33531472E-01
-0.19500000E+02    -0.61106139E+00     0.16590489E+00     0.15000000E+01     0.32490484E-01     0.10000000E+01     0.45536380E-01     0.16240074E+00      87     0.33531472E-01
-0.19400002E+02    -0.60531354E+00     0.16550179E+00     0.15000000E+01     0.31791378E-01     0.10000000E+01     0.46033937E-01     0.16200906E+00      87     0.33531472E-01
-0.19300001E+02    -0.60028780E+00     0.16517916E+00     0.15000000E+01     0.31123148E-01     0.10000000E+01     0.46258830E-01     0.16169447E+00      87     0.33531472E-01
-0.19200001E+02    -0.59440762E+00     0.16474773E+00     0.15000000E+01     0.30438952E-01     0.10000000E+01     0.46451218E-01     0.16126642E+00      88     0.30420093E-01
-0.19100000E+02    -0.58891362E+00     0.16434658E+00     0.15000000E+01     0.29831905E-01     0.10000000E+01     0.46813298E-01     0.16087371E+00      88     0.30420093E-01
-0.19000002E+02    -0.58612245E+00     0.16459009E+00     0.15000000E+01     0.30126855E-01     0.89819109E+00     0.46910655E-01     0.16087094E+00      88     0.30420093E-01
-0.18600000E+02    -0.56217688E+00     0.16132289E+00     0.15000000E+01     0.27226347E-01     0.60733759E+00     0.48238937E-01     0.15636644E+00      88     0.30420093E-01
-0.18400000E+02    -0.55020463E+00     0.16043708E+00     0.15000000E+01     0.25893182E-01     0.59432167E+00     0.48971213E-01     0.15542294E+00      89     0.27573153E-01
-0.18300001E+02    -0.54397631E+00     0.15998939E+00     0.15000000E+01     0.25182243E-01     0.58650827E+00     0.49290225E-01     0.15493312E+00      89     0.27573153E-01
-0.18200001E+02    -0.53799945E+00     0.15951990E+00     0.15000000E+01     0.24489991E-01     0.57908297E+00     0.49262010E-01     0.15443331E+00      89     0.27573153E-01
-0.18100002E+02    -0.53171343E+00     0.15908252E+00     0.15000000E+01     0.23855709E-01     0.57689458E+00     0.49629722E-01     0.15398340E+00      89     0.27573153E-01
-0.18000000E+02    -0.52523595E+00     0.15859659E+00     0.15000000E+01     0.23135912E-01     0.57012278E+00     0.49900968E-01     0.15346062E+00      89     0.27573153E-01
-0.17900000E+02    -0.51859188E+00     0.15811220E+00     0.15000000E+01     0.22443384E-01     0.56655335E+00     0.50060656E-01     0.15295760E+00      90     0.24956182E-01
-0.17800001E+02    -0.51403099E+00     0.15775789E+00     0.15000000E+01     0.21866471E-01     0.56303495E+00     0.50460991E-01     0.15259549E+00      89     0.27573153E-01
-0.17700001E+02    -0.50931686E+00     0.15738671E+00     0.15000000E+01     0.21276582E-01     0.55895036E+00     0.51366266E-01     0.15221041E+00      90     0.24956182E-01
-0.17600000E+02    -0.50424731E+00     0.15693820E+00     0.15000000E+01     0.20636473E-01     0.55595392E+00     0.52049361E-01     0.15175228E+00      90     0.24956182E-01
-0.17500000E+02    -0.49881950E+00     0.15649152E+00     0.15000000E+01     0.19976342E-01     0.55288029E+00     0.52701801E-01     0.15130696E+00      90     0.24956182E-01
-0.17400002E+02    -0.49367133E+00     0.15603854E+00     0.15000000E+01     0.19362606E-01     0.54907334E+00     0.53163081E-01     0.15084216E+00      90     0.24956182E-01
-0.17300001E+02    -0.48846573E+00     0.15556701E+00     0.15000000E+01     0.18768029E-01     0.54816914E+00     0.53582855E-01     0.15037340E+00      90     0.24956182E-01
-0.17200001E+02    -0.48278859E+00     0.15506445E+00     0.15000000E+01     0.18075794E-01     0.54435390E+00     0.54083064E-01     0.14985530E+00      91     0.22541339E-01
-0.17100000E+02    -0.47689497E+00     0.15453386E+00     0.15000000E+01     0.17418614E-01     0.54159677E+00     0.54110184E-01     0.14930516E+00      91     0.22541339E-01
-0.17000002E+02    -0.47148892E+00     0.15400440E+00     0.15000000E+01     0.16743707E-01     0.53885353E+00     0.54806314E-01     0.14876527E+00      91     0.22541339E-01
-0.16900000E+02    -0.46608707E+00     0.15346554E+00     0.15000000E+01     0.16115928E-01     0.53716850E+00     0.55338912E-01     0.14822274E+00      91     0.22541339E-01
-0.16800001E+02    -0.46042863E+00     0.15297692E+00     0.15000000E+01     0.15497912E-01     0.53464979E+00     0.55751644E-01     0.14772473E+00      91     0.22541339E-01
-0.16700001E+02    -0.45452011E+00     0.15251406E+00     0.15000000E+01     0.14885020E-01     0.53253442E+00     0.56103211E-01     0.14725240E+00      91     0.22541339E-01
-0.16600000E+02    -0.44845009E+00     0.15203235E+00     0.15000000E+01     0.14259627E-01     0.53108686E+00     0.56487396E-01     0.14675982E+00      91     0.22541339E-01
-0.16500000E+02    -0.44268370E+00     0.15153201E+00     0.15000000E+01     0.13637992E-01     0.52847338E+00     0.56786150E-01     0.14624432E+00      92     0.20306207E-01
-0.16400002E+02    -0.43625778E+00     0.15103036E+00     0.15000000E+01     0.13012012E-01     0.52695310E+00     0.57246160E-01     0.14572471E+00      92     0.20306207E-01
-0.16300001E+02    -0.42984933E+00     0.15050499E+00     0.15000000E+01     0.12412287E-01     0.52438354E+00     0.57668231E-01     0.14517678E+00      92     0.20306207E-01
-0.16200001E+02    -0.42376497E+00     0.15001412E+00     0.15000000E+01     0.11746569E-01     0.52260751E+00     0.57939112E-01     0.14468199E+00      92     0.20306207E-01
-0.16100000E+02    -0.41962352E+00     0.14955245E+00     0.15000000E+01     0.11206035E-01     0.52085340E+00     0.59340868E-01     0.14422850E+00      92     0.20306207E-01
-0.16000002E+02    -0.41469568E+00     0.14901848E+00     0.15000000E+01     0.10597990E-01     0.51927191E+00     0.60373828E-01     0.14369774E+00      92     0.20306207E-01
-0.15900001E+02    -0.40955183E+00     0.14847931E+00     0.15000000E+01     0.99588055E-02     0.51731652E+00     0.61364595E-01     0.14315741E+00      93     0.18232975E-01
-0.15800000E+02    -0.40443099E+00     0.14794593E+00     0.15000000E+01     0.94223926E-02     0.51657397E+00     0.61950307E-01     0.14262463E+00      93     0.18232975E-01
-0.15700001E+02    -0.39909190E+00     0.14733435E+00     0.15000000E+01     0.87329373E-02     0.51444745E+00     0.62862955E-01     0.14200731E+00      93     0.18232975E-01
-0.15600002E+02    -0.39356279E+00     0.14677519E+00     0.15000000E+01     0.81597939E-02     0.51283526E+00     0.62900841E-01     0.14143397E+00      93     0.18232975E-01
-0.15500001E+02    -0.38866788E+00     0.14618383E+00     0.15000000E+01     0.76055224E-02     0.51244748E+00     0.64045884E-01     0.14084381E+00      93     0.18232975E-01
-0.15400001E+02    -0.38274354E+00     0.14560568E+00     0.15000000E+01     0.69119041E-02     0.51002127E+00     0.64575151E-01     0.14024611E+00      93     0.18232975E-01
-0.15300001E+02    -0.37731624E+00     0.14502968E+00     0.15000000E+01     0.63937912E-02     0.50830507E+00     0.65284982E-01     0.13966672E+00      94     0.16306816E-01
-0.15200001E+02    -0.37155759E+00     0.14448082E+00     0.15000000E+01     0.58048833E-02     0.50689340E+00     0.66514328E-01     0.13911773E+00      94     0.16306816E-01
-0.15100001E+02    -0.36558455E+00     0.14398138E+00     0.15000000E+01     0.52389102E-02     0.50572193E+00     0.67085914E-01     0.13860962E+00      94     0.16306816E-01
-0.15000001E+02    -0.35967600E+00     0.14344501E+00     0.15000000E+01     0.46399040E-02     0.50417751E+00     0.67855999E-01     0.13806479E+00      94     0.16306816E-01
-0.14900000E+02    -0.35508627E+00     0.14291283E+00     0.15000000E+01     0.41056834E-02     0.50301224E+00     0.69753155E-01     0.13753951E+00      94     0.16306816E-01
-0.14800000E+02    -0.34965906E+00     0.14234322E+00     0.15000000E+01     0.34936520E-02     0.50180602E+00     0.71104333E-01     0.13697314E+00      94     0.16306816E-01
-0.14700002E+02    -0.34501302E+00     0.14174971E+00     0.15000000E+01     0.29766047E-02     0.50095987E+00     0.72422311E-01     0.13638321E+00      95     0.14515942E-01
-0.14600000E+02    -0.34011492E+00     0.14117005E+00     0.15000000E+01     0.24467753E-02     0.49933898E+00     0.73934667E-01     0.13580161E+00      95     0.14515942E-01
-0.14500000E+02    -0.33488536E+00     0.14053528E+00     0.15000000E+01     0.18529498E-02     0.49821183E+00     0.75253651E-01     0.13516350E+00      95     0.14515942E-01
-0.14400001E+02    -0.32950854E+00     0.13989790E+00     0.15000000E+01     0.12493290E-02     0.49719864E+00     0.76271713E-01     0.13451928E+00      95     0.14515942E-01
-0.14300001E+02    -0.32446957E+00     0.13921475E+00     0.15000000E+01     0.66533615E-03     0.49536809E+00     0.77708766E-01     0.13382111E+00      95     0.14515942E-01
-0.14200001E+02    -0.31978807E+00     0.13854769E+00     0.15000000E+01     0.82435319E-04     0.49434203E+00     0.80256678E-01     0.13315292E+00      96     0.12850851E-01
-0.14100001E+02    -0.31615257E+00     0.13784836E+00     0.15000000E+01    -0.44081965E-03     0.49358469E+00     0.84179990E-01     0.13247843E+00      96     0.12850851E-01
-0.14000001E+02    -0.31101424E+00     0.13723405E+00     0.15000000E+01    -0.10007517E-02     0.49199131E+00     0.86106166E-01     0.13187289E+00      96     0.12850851E-01
-0.13900002E+02    -0.30843598E+00     0.13654836E+00     0.15000000E+01    -0.14477004E-02     0.49129573E+00     0.92587046E-01     0.13121122E+00      96     0.12850851E-01
-0.13800001E+02    -0.30569774E+00     0.13583542E+00     0.15000000E+01    -0.19281744E-02     0.49010333E+00     0.98145798E-01     0.13052598E+00      96     0.12850851E-01
-0.12100001E+02    -0.36377278E+00     0.11219448E+00     0.15000000E+01    -0.13398122E-01     0.47860420E+00     0.29031429E+00     0.10780246E+00      97     0.11303741E-01
-0.11600000E+02    -0.40305820E+00     0.98476447E-01     0.15000000E+01    -0.15004763E-01     0.47647637E+00     0.30148920E+00     0.93992740E-01      97     0.11303741E-01
-0.11500001E+02    -0.40131673E+00     0.97241379E-01     0.15000000E+01    -0.15364297E-01     0.47570652E+00     0.30261463E+00     0.92750989E-01      97     0.11303741E-01
-0.11300001E+02    -0.42850387E+00     0.90443023E-01     0.15000000E+01    -0.15893659E-01     0.47523096E+00     0.30711508E+00     0.85890278E-01      97     0.11303741E-01
-0.11200001E+02    -0.42344362E+00     0.89706704E-01     0.15000000E+01    -0.16280921E-01     0.47437105E+00     0.30836138E+00     0.85158765E-01      97     0.11303741E-01
-0.11000001E+02    -0.45999843E+00     0.81841506E-01     0.15000000E+01    -0.16749322E-01     0.47412512E+00     0.31313437E+00     0.77214018E-01      97     0.11303741E-01
-0.10900001E+02    -0.45122764E+00     0.81665456E-01     0.15000000E+01    -0.17103925E-01     0.47314683E+00     0.31370598E+00     0.77042058E-01      97     0.11303741E-01
-0.10800001E+02    -0.44750899E+00     0.80814362E-01     0.15000000E+01    -0.17453078E-01     0.47235060E+00     0.31453413E+00     0.76185204E-01      97     0.11303741E-01
-0.10700001E+02    -0.46163410E+00     0.77555537E-01     0.15000000E+01    -0.17704533E-01     0.47207326E+00     0.31638199E+00     0.72890587E-01      97     0.11303741E-01
-0.10600001E+02    -0.49025747E+00     0.72522454E-01     0.15000000E+01    -0.17875414E-01     0.47227472E+00     0.31895378E+00     0.67788251E-01      97     0.11303741E-01
-0.10500001E+02    -0.48028514E+00     0.72547957E-01     0.15000000E+01    -0.18194504E-01     0.47126082E+00     0.31949833E+00     0.67821778E-01      97     0.11303741E-01
-0.10400002E+02    -0.47254059E+00     0.72274148E-01     0.15000000E+01    -0.18514886E-01     0.47033888E+00     0.32006654E+00     0.67548938E-01      97     0.11303741E-01
